# Fix print output for fix temp_monitor
Mobile temp: 1987.8679965759165498 K (Target: 973K)
Mobile temp: 1936.6336140343121315 K (Target: 973K)
Mobile temp: 1930.5575363596603893 K (Target: 973K)
Mobile temp: 2002.5062862525926448 K (Target: 973K)
Mobile temp: 2003.6736125463207827 K (Target: 973K)
Mobile temp: 1952.1131130536336968 K (Target: 973K)
Mobile temp: 1991.7040247949637433 K (Target: 973K)
Mobile temp: 2058.878450826009157 K (Target: 973K)
Mobile temp: 2001.3018514805908126 K (Target: 973K)
Mobile temp: 1918.9429937519798841 K (Target: 973K)
Mobile temp: 1928.7509942529259206 K (Target: 973K)
Mobile temp: 1902.7238132600566587 K (Target: 973K)
Mobile temp: 1888.7992616137571531 K (Target: 973K)
Mobile temp: 1893.1082700746105729 K (Target: 973K)
Mobile temp: 1896.5705199244146115 K (Target: 973K)
Mobile temp: 1949.9260060490560136 K (Target: 973K)
Mobile temp: 1976.5796951578340668 K (Target: 973K)
Mobile temp: 1954.5795557395897504 K (Target: 973K)
Mobile temp: 1917.9570609163242807 K (Target: 973K)
Mobile temp: 1940.7816164389053029 K (Target: 973K)
Mobile temp: 1949.9890806726409664 K (Target: 973K)
Mobile temp: 1931.0045959650626628 K (Target: 973K)
Mobile temp: 1986.9977676905739372 K (Target: 973K)
Mobile temp: 1917.2070108537320721 K (Target: 973K)
Mobile temp: 1865.2242917416911041 K (Target: 973K)
Mobile temp: 1868.8829905403852081 K (Target: 973K)
Mobile temp: 1892.5651331682599903 K (Target: 973K)
Mobile temp: 1931.5219630070037056 K (Target: 973K)
Mobile temp: 1942.8477886841276359 K (Target: 973K)
Mobile temp: 1955.7242144796668981 K (Target: 973K)
Mobile temp: 1841.0251410762075466 K (Target: 973K)
Mobile temp: 1781.0988770794042466 K (Target: 973K)
Mobile temp: 1820.4144716320947737 K (Target: 973K)
Mobile temp: 1896.1430930163605808 K (Target: 973K)
Mobile temp: 1930.1788233783936448 K (Target: 973K)
Mobile temp: 1981.0078642959963418 K (Target: 973K)
Mobile temp: 1944.9414009978215745 K (Target: 973K)
Mobile temp: 1950.052537897817956 K (Target: 973K)
Mobile temp: 1878.1844917585356143 K (Target: 973K)
Mobile temp: 1852.6630372389461172 K (Target: 973K)
Mobile temp: 1822.2785505955794179 K (Target: 973K)
Mobile temp: 1904.287436288677327 K (Target: 973K)
