# Time-averaged data for fix detailed_timeseries
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height v_E_interaction v_E_HAP_kcal v_E_CO2_kcal v_temp_current v_press_current
44000 -1391.65 -0.630654 0.000577701 -0.630654 1391.65 -1.93266e+07 -32041.7 1724.53 6089.17
45000 -1392.61 -1.02062 0.000577701 -1.02062 1392.61 -1.93265e+07 -32082.1 1695.34 7199.15
46000 -1391.73 -1.28338 0.000577701 -1.28338 1391.73 -1.93272e+07 -32077.2 1566.08 5618.51
47000 -1391.48 -1.18021 0.000577701 -1.18021 1391.48 -1.93276e+07 -32070.5 1541.75 5869.53
48000 -1391.4 -1.15396 0.000577701 -1.15396 1391.4 -1.93273e+07 -32068.1 1471.03 6083.75
49000 -1392.3 -1.14667 0.000577701 -1.14667 1392.3 -1.93275e+07 -32093.2 1376.16 5600.24
50000 -1391.01 -1.05916 0.000577701 -1.05916 1391.01 -1.93274e+07 -32076.8 1388.69 6962.01
51000 -696.645 -1.24439 0.000577701 -1.24439 696.645 -1.93276e+07 -16065 1298.9 5532.02
52000 -696.757 -1.27572 0.000577701 -1.27572 696.757 -1.93274e+07 -16072 1368.4 5409.57
53000 -1391.28 -0.977045 0.000577701 -0.977045 1391.28 -1.93278e+07 -32082.2 1254.7 6403.39
54000 -696.258 -1.15711 0.000577701 -1.15711 696.258 -1.93274e+07 -16046.2 1241.56 5690.19
55000 -695.016 -1.4037 0.000577701 -1.4037 695.016 -1.93276e+07 -16049.1 1175.2 5070.04
56000 -2.29281e-08 -6.94197 0.000577701 -6.94197 2.29281e-08 -1.93273e+07 -24.8403 1152.68 6331.08
57000 -2.29317e-08 -9.70988 0.000577701 -9.70988 2.29317e-08 -1.93271e+07 -64.6778 1136.03 5403.93
58000 -2.29524e-08 -11.2545 0.000577701 -11.2545 2.29524e-08 -1.93271e+07 -68.0017 1081.7 3479.27
59000 -2.28945e-08 -12.1856 0.000577701 -12.1856 2.28945e-08 -1.93268e+07 -69.6452 1103.21 4430.92
60000 -2.30591e-08 -12.0831 0.000577701 -12.0831 2.30591e-08 -1.93266e+07 -69.5385 994.723 3669.79
61000 -2.29647e-08 -10.9894 0.000577701 -10.9894 2.29647e-08 -1.93262e+07 -68.2677 1030.37 4914.7
62000 -2.29037e-08 -9.69698 0.000577701 -9.69698 2.29037e-08 -1.9326e+07 -68.4313 1010.33 5237.36
63000 -2.30412e-08 -8.45901 0.000577701 -8.45901 2.30412e-08 -1.93254e+07 -68.7023 976.445 4004.88
64000 -2.29226e-08 -7.29518 0.000577701 -7.29518 2.29226e-08 -1.93254e+07 -68.9386 1025.35 2764.07
65000 -2.2966e-08 -6.21189 0.000577701 -6.21189 2.2966e-08 -1.93248e+07 -68.8118 973.993 3935.54
66000 -2.28863e-08 -4.83352 0.000577701 -4.83352 2.28863e-08 -1.93246e+07 -64.9478 963.495 2419.17
67000 -2.29208e-08 -3.08411 0.000577701 -3.08411 2.29208e-08 -1.93244e+07 -62.7759 895.959 3408.92
68000 -2.29514e-08 -2.49224 0.000577701 -2.49224 2.29514e-08 -1.93241e+07 -61.3452 986.9 2365.35
69000 -2.28619e-08 -4.19962 0.000577701 -4.19962 2.28619e-08 -1.93238e+07 -62.088 949.877 2617.11
70000 -2.29281e-08 -5.77627 0.000577701 -5.77627 2.29281e-08 -1.93237e+07 -66.6107 870.458 4623.72
71000 -2.29568e-08 -6.27665 0.000577701 -6.27665 2.29568e-08 -1.93233e+07 -69.3546 892.993 3611.36
72000 -2.2873e-08 -6.11344 0.000577701 -6.11344 2.2873e-08 -1.93228e+07 -70.5658 893.376 2561.8
73000 -2.28889e-08 -5.76306 0.000577701 -5.76306 2.28889e-08 -1.93228e+07 -70.6069 933.455 3040.8
74000 -2.29029e-08 -5.61265 0.000577701 -5.61265 2.29029e-08 -1.93225e+07 -70.6511 926.282 2653.98
75000 -2.29704e-08 -5.52389 0.000577701 -5.52389 2.29704e-08 -1.93225e+07 -70.6735 829.079 3154.12
76000 -2.29825e-08 -5.56251 0.000577701 -5.56251 2.29825e-08 -1.93223e+07 -70.6545 879.4 1769.77
77000 -2.29805e-08 -5.72192 0.000577701 -5.72192 2.29805e-08 -1.93218e+07 -70.6303 944.838 1646.75
78000 -2.29469e-08 -5.96111 0.000577701 -5.96111 2.29469e-08 -1.93217e+07 -70.6116 862.244 2158.03
79000 -2.30346e-08 -6.18387 0.000577701 -6.18387 2.30346e-08 -1.93214e+07 -70.6006 874.525 3154.26
