# Time-averaged data for fix co2_chemical
# TimeStep c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_coord_avg_extended c_coord_avg_CH c_coord_avg_CH_close c_count_molecular c_count_polarized c_count_carbonate c_count_bicarbonate
43900 2 2 2 2 0 0 1 0 0 0
44000 2 2 2 2 0 0 1 0 0 0
44100 1 2 2 2 0 0 0 1 0 0
44200 1 2 2 2 0 0 0 1 0 0
44300 1 2 2 2 0 0 0 1 0 0
44400 2 2 2 2 0 0 1 0 0 0
44500 2 2 2 2 0 0 1 0 0 0
44600 2 2 2 2 0 0 1 0 0 0
44700 2 2 2 2 0 0 1 0 0 0
44800 2 2 2 2 0 0 1 0 0 0
44900 2 2 2 2 0 0 1 0 0 0
45000 2 2 2 2 0 0 1 0 0 0
45100 2 2 2 2 0 0 1 0 0 0
45200 2 2 2 2 0 0 1 0 0 0
45300 2 2 2 2 0 0 1 0 0 0
45400 2 2 2 2 0 0 1 0 0 0
45500 2 2 2 2 0 0 1 0 0 0
45600 2 2 2 2 0 0 1 0 0 0
45700 2 2 2 2 0 0 1 0 0 0
45800 2 2 2 2 0 0 1 0 0 0
45900 2 2 2 2 0 0 1 0 0 0
46000 2 2 2 2 0 0 1 0 0 0
46100 2 2 2 2 0 0 1 0 0 0
46200 1 2 2 2 0 0 0 1 0 0
46300 1 2 2 2 0 0 0 1 0 0
46400 2 2 2 2 0 0 1 0 0 0
46500 2 2 2 2 0 0 1 0 0 0
46600 2 2 2 2 0 0 1 0 0 0
46700 2 2 2 2 0 0 1 0 0 0
46800 2 2 2 2 0 0 1 0 0 0
46900 2 2 2 2 0 0 1 0 0 0
47000 1 2 2 2 0 0 0 1 0 0
47100 2 2 2 2 0 0 1 0 0 0
47200 2 2 2 2 0 0 1 0 0 0
47300 2 2 2 2 0 0 1 0 0 0
47400 2 2 2 2 0 0 1 0 0 0
47500 2 2 2 2 0 0 1 0 0 0
47600 2 2 2 2 0 0 1 0 0 0
47700 2 2 2 2 0 0 1 0 0 0
47800 2 2 2 2 0 0 1 0 0 0
47900 2 2 2 2 0 0 1 0 0 0
48000 2 2 2 2 0 0 1 0 0 0
48100 2 2 2 2 0 0 1 0 0 0
48200 2 2 2 2 0 0 1 0 0 0
48300 2 2 2 2 0 0 1 0 0 0
48400 2 2 2 2 0 0 1 0 0 0
48500 2 2 2 2 0 0 1 0 0 0
48600 2 2 2 2 0 0 1 0 0 0
48700 2 2 2 2 0 0 1 0 0 0
48800 2 2 2 2 0 0 1 0 0 0
48900 2 2 2 2 0 0 1 0 0 0
49000 1 2 2 2 0 0 0 1 0 0
49100 2 2 2 2 0 0 1 0 0 0
49200 2 2 2 2 0 0 1 0 0 0
49300 2 2 2 2 0 0 1 0 0 0
49400 2 2 2 2 0 0 1 0 0 0
49500 1 2 2 2 0 0 0 1 0 0
49600 1 2 2 2 0 0 0 1 0 0
49700 1 2 2 2 0 0 0 1 0 0
49800 2 2 2 2 0 0 1 0 0 0
49900 2 2 2 2 0 0 1 0 0 0
50000 1 2 2 2 0 0 0 1 0 0
50100 1 2 2 2 0 0 0 1 0 0
50200 1 2 2 2 0 0 0 1 0 0
50300 1 2 2 2 0 0 0 1 0 0
50400 1 1 2 2 0 0 0 0 0 0
50500 1 1 2 2 0 0 0 0 0 0
50600 1 1 2 2 0 0 0 0 0 0
50700 1 1 2 2 0 0 0 0 0 0
50800 1 1 2 2 0 0 0 0 0 0
50900 1 1 2 2 0 0 0 0 0 0
51000 1 1 2 2 0 0 0 0 0 0
51100 1 1 2 2 0 0 0 0 0 0
51200 1 1 2 2 0 0 0 0 0 0
51300 1 1 2 2 0 0 0 0 0 0
51400 1 2 2 2 0 0 0 1 0 0
51500 1 2 2 2 0 0 0 1 0 0
51600 1 2 2 2 0 0 0 1 0 0
51700 1 1 2 2 0 0 0 0 0 0
51800 1 1 2 2 0 0 0 0 0 0
51900 1 1 2 2 0 0 0 0 0 0
52000 1 1 2 2 0 0 0 0 0 0
52100 1 1 2 2 0 0 0 0 0 0
52200 1 1 1 2 0 0 0 0 0 0
52300 1 1 1 2 0 0 0 0 0 0
52400 1 1 1 2 0 0 0 0 0 0
52500 1 1 1 2 0 0 0 0 0 0
52600 1 1 1 2 0 0 0 0 0 0
52700 1 1 1 2 0 0 0 0 0 0
52800 1 1 1 2 0 0 0 0 0 0
52900 1 1 2 2 0 0 0 0 0 0
53000 1 1 2 2 0 0 0 0 0 0
53100 1 2 2 2 0 0 0 1 0 0
53200 1 2 2 2 0 0 0 1 0 0
53300 1 2 2 2 0 0 0 1 0 0
53400 1 2 2 2 0 0 0 1 0 0
53500 1 1 2 2 0 0 0 0 0 0
53600 1 1 2 2 0 0 0 0 0 0
53700 1 1 1 2 0 0 0 0 0 0
53800 1 1 1 2 0 0 0 0 0 0
53900 1 1 1 2 0 0 0 0 0 0
54000 1 1 1 2 0 0 0 0 0 0
54100 1 1 1 2 0 0 0 0 0 0
54200 1 1 1 1 0 0 0 0 0 0
54300 1 1 1 1 0 0 0 0 0 0
54400 1 1 1 1 0 0 0 0 0 0
54500 1 1 1 1 0 0 0 0 0 0
54600 1 1 1 1 0 0 0 0 0 0
54700 1 1 1 1 0 0 0 0 0 0
54800 1 1 1 1 0 0 0 0 0 0
54900 1 1 1 1 0 0 0 0 0 0
55000 0 1 1 1 0 0 0 1 0 0
55100 0 0 1 1 0 0 0 0 0 0
55200 0 0 0.6 1 0 0 0 0 0 0
55300 0 0 0 1 0 0 0 0 0 0
55400 0 0 0 0 0 0 0 0 0 0
55500 0 0 0 0 0 0 0 0 0 0
55600 0 0 0 1 0 0 0 0 0 0
55700 0 0 0 1 0 0 0 0 0 0
55800 0 0 0 1 0 0 0 0 0 0
55900 0 0 0.7 1 0 0 0 0 0 0
56000 0 0 1 1 0 0 0 0 0 0
56100 0 0 1 1 0 0 0 0 0 0
56200 0 0 1 1 0 0 0 0 0 0
56300 0 0 0 1 0 0 0 0 0 0
56400 0 0 0 1 0 0 0 0 0 0
56500 0 0 0 1 0 0 0 0 0 0
56600 0 0 0 1 0 0 0 0 0 0
56700 0 0 0 0 0 0 0 0 0 0
56800 0 0 0 0 0 0 0 0 0 0
56900 0 0 0 0 0 0 0 0 0 0
57000 0 0 0 0 0 0 0 0 0 0
57100 0 0 0 0 0 0 0 0 0 0
57200 0 0 0 0 0 0 0 0 0 0
57300 0 0 0 0 0 0 0 0 0 0
57400 0 0 0 0 0 0 0 0 0 0
57500 0 0 0 0 0 0 0 0 0 0
57600 0 0 0 0 0 0 0 0 0 0
57700 0 0 0 0 0 0 0 0 0 0
57800 0 0 0 0 0 0 0 0 0 0
57900 0 0 0 0 0 0 0 0 0 0
58000 0 0 0 0 0 0 0 0 0 0
58100 0 0 0 0 0 0 0 0 0 0
58200 0 0 0 0 0 0 0 0 0 0
58300 0 0 0 0 0 0 0 0 0 0
58400 0 0 0 0 0 0 0 0 0 0
58500 0 0 0 0 0 0 0 0 0 0
58600 0 0 0 0 0 0 0 0 0 0
58700 0 0 0 0 0 0 0 0 0 0
58800 0 0 0 0 0 0 0 0 0 0
58900 0 0 0 0 0 0 0 0 0 0
59000 0 0 0 0 0 0 0 0 0 0
59100 0 0 0 0 0 0 0 0 0 0
59200 0 0 0 0 0 0 0 0 0 0
59300 0 0 0 0 0 0 0 0 0 0
59400 0 0 0 0 0 0 0 0 0 0
59500 0 0 0 0 0 0 0 0 0 0
59600 0 0 0 0 0 0 0 0 0 0
59700 0 0 0 0 0 0 0 0 0 0
59800 0 0 0 0 0 0 0 0 0 0
59900 0 0 0 0 0 0 0 0 0 0
60000 0 0 0 0 0 0 0 0 0 0
60100 0 0 0 0 0 0 0 0 0 0
60200 0 0 0 0 0 0 0 0 0 0
60300 0 0 0 0 0 0 0 0 0 0
60400 0 0 0 0 0 0 0 0 0 0
60500 0 0 0 0 0 0 0 0 0 0
60600 0 0 0 0 0 0 0 0 0 0
60700 0 0 0 0 0 0 0 0 0 0
60800 0 0 0 0 0 0 0 0 0 0
60900 0 0 0 0 0 0 0 0 0 0
61000 0 0 0 0 0 0 0 0 0 0
61100 0 0 0 0 0 0 0 0 0 0
61200 0 0 0 0 0 0 0 0 0 0
61300 0 0 0 0 0 0 0 0 0 0
61400 0 0 0 0 0 0 0 0 0 0
61500 0 0 0 0 0 0 0 0 0 0
61600 0 0 0 0 0 0 0 0 0 0
61700 0 0 0 0 0 0 0 0 0 0
61800 0 0 0 0 0 0 0 0 0 0
61900 0 0 0 0 0 0 0 0 0 0
62000 0 0 0 0 0 0 0 0 0 0
62100 0 0 0 0 0 0 0 0 0 0
62200 0 0 0 0 0 0 0 0 0 0
62300 0 0 0 0 0 0 0 0 0 0
62400 0 0 0 0 0 0 0 0 0 0
62500 0 0 0 0 0 0 0 0 0 0
62600 0 0 0 0 0 0 0 0 0 0
62700 0 0 0 0 0 0 0 0 0 0
62800 0 0 0 0 0 0 0 0 0 0
62900 0 0 0 0 0 0 0 0 0 0
63000 0 0 0 0 0 0 0 0 0 0
63100 0 0 0 0 0 0 0 0 0 0
63200 0 0 0 0 0 0 0 0 0 0
63300 0 0 0 0 0 0 0 0 0 0
63400 0 0 0 0 0 0 0 0 0 0
63500 0 0 0 0 0 0 0 0 0 0
63600 0 0 0 0 0 0 0 0 0 0
63700 0 0 0 0 0 0 0 0 0 0
63800 0 0 0 0 0 0 0 0 0 0
63900 0 0 0 0 0 0 0 0 0 0
64000 0 0 0 0 0 0 0 0 0 0
64100 0 0 0 0 0 0 0 0 0 0
64200 0 0 0 0 0 0 0 0 0 0
64300 0 0 0 0 0 0 0 0 0 0
64400 0 0 0 0 0 0 0 0 0 0
64500 0 0 0 0 0 0 0 0 0 0
64600 0 0 0 0 0 0 0 0 0 0
64700 0 0 0 0 0 0 0 0 0 0
64800 0 0 0 0 0 0 0 0 0 0
64900 0 0 0 0 0 0 0 0 0 0
