# Time-averaged data for fix thermodynamic_data
# TimeStep c_pe_total c_ke_total v_E_total v_E_interaction v_E_HAP v_E_CO2 v_E_binding v_E_interaction_kcal v_E_HAP_kcal v_E_CO2_kcal v_E_binding_kcal v_temp_current v_press_current v_vol_current v_coverage v_CO2_height c_temp_mobile_prod c_temp_system_prod
47000 -838458 346.505 -838112 1391.44 -838112 -1390.67 -1391.44 32087.8 -1.93276e+07 -32070.2 -32087.8 1549.53 5961.38 114288 0.000577701 -1.20404 1791.98 1549.53
47100 -838441 339.997 -838101 1391.85 -838102 -1390.52 -1391.85 32097.3 -1.93274e+07 -32066.6 -32097.3 1520.42 6018.13 114556 0.000577701 -1.0712 1743.49 1520.42
47200 -838447 353.088 -838094 1392.16 -838095 -1390.96 -1392.16 32104.5 -1.93272e+07 -32076.7 -32104.5 1578.96 6334.02 114602 0.000577701 -0.854341 1796.14 1578.96
47300 -838450 350.117 -838100 1392.75 -838102 -1390.48 -1392.75 32118.2 -1.93274e+07 -32065.7 -32118.2 1565.68 6438.23 114411 0.000577701 -1.00331 1813.49 1565.68
47400 -838443 356.206 -838087 1391.31 -838087 -1390.85 -1391.31 32084.9 -1.9327e+07 -32074.3 -32084.9 1592.91 6813.77 114324 0.000577701 -1.22754 1812.72 1592.91
47500 -838437 340.807 -838096 1393.4 -838098 -1391.7 -1393.4 32133.2 -1.93273e+07 -32094 -32133.2 1524.05 6900.58 114480 0.000577701 -1.19366 1749.84 1524.05
47600 -838424 325.52 -838099 1391.95 -838099 -1391.34 -1391.95 32099.6 -1.93273e+07 -32085.5 -32099.6 1455.68 5284.84 114376 0.000577701 -1.40963 1683.18 1455.68
47700 -838448 351.617 -838096 1392.85 -838098 -1391.37 -1392.85 32120.4 -1.93273e+07 -32086.1 -32120.4 1572.38 7403.79 114533 0.000577701 -1.082 1776.33 1572.38
47800 -838442 328.484 -838114 1392.02 -838114 -1391.66 -1392.02 32101.2 -1.93277e+07 -32093 -32101.2 1468.94 7594.78 114505 0.000577701 -1.04002 1695 1468.94
47900 -838427 329.17 -838098 1392.86 -838100 -1390.85 -1392.86 32120.6 -1.93273e+07 -32074.3 -32120.6 1472.01 7158.52 114232 0.000577701 -0.889714 1687.22 1472.01
48000 -838427 328.454 -838099 1391.32 -838100 -1390.62 -1391.32 32085.1 -1.93273e+07 -32069 -32085.1 1468.8 6160.85 114484 0.000577701 -1.16788 1667.95 1468.8
48100 -838429 321.819 -838107 1392.64 -838110 -1390.54 -1392.64 32115.5 -1.93276e+07 -32067 -32115.5 1439.13 5503.94 114403 0.000577701 -0.788361 1654.8 1439.13
48200 -838426 321.179 -838105 1391.1 -838106 -1390.32 -1391.1 32079.9 -1.93275e+07 -32062 -32079.9 1436.27 4047.52 114352 0.000577701 -0.961452 1641.27 1436.27
48300 -838440 326.507 -838114 1392.4 -838115 -1390.65 -1392.4 32110 -1.93277e+07 -32069.7 -32110 1460.1 4454.63 114362 0.000577701 -1.08014 1670.96 1460.1
48400 -838425 317.006 -838108 1392.75 -838110 -1390.46 -1392.75 32118 -1.93276e+07 -32065.3 -32118 1417.61 4448.83 114397 0.000577701 -1.07236 1609.11 1417.61
48500 -838415 307.096 -838108 1392.54 -838109 -1391.8 -1392.54 32113.1 -1.93276e+07 -32096.1 -32113.1 1373.29 5684.25 114545 0.000577701 -0.795341 1575.73 1373.29
48600 -838437 332.391 -838105 1393.36 -838107 -1390.96 -1393.36 32132.2 -1.93275e+07 -32076.7 -32132.2 1486.41 6344.3 114513 0.000577701 -1.05386 1699.84 1486.41
48700 -838431 330.517 -838100 1392.08 -838101 -1391.56 -1392.08 32102.7 -1.93274e+07 -32090.6 -32102.7 1478.03 7081.58 114415 0.000577701 -1.3612 1682.1 1478.03
48800 -838418 309.678 -838108 1393.24 -838109 -1392.03 -1393.24 32129.3 -1.93276e+07 -32101.5 -32129.3 1384.84 6471.49 114499 0.000577701 -1.35503 1601.54 1384.84
48900 -838413 317.088 -838096 1392.04 -838096 -1391.7 -1392.04 32101.7 -1.93273e+07 -32093.9 -32101.7 1417.98 5752 114451 0.000577701 -1.41364 1595.02 1417.98
49000 -838415 305.807 -838109 1392.36 -838110 -1391.68 -1392.36 32109.1 -1.93276e+07 -32093.4 -32109.1 1367.53 5579.68 114378 0.000577701 -1.17769 1556.58 1367.53
49100 -838421 307.216 -838114 1391.11 -838114 -1390.96 -1391.11 32080.1 -1.93277e+07 -32076.8 -32080.1 1373.83 5782.72 114422 0.000577701 -1.21882 1592.79 1373.83
49200 -838426 317.902 -838108 1392.15 -838109 -1390.72 -1392.15 32104.3 -1.93276e+07 -32071.3 -32104.3 1421.62 7171.06 114276 0.000577701 -0.994412 1602.74 1421.62
49300 -838435 322.219 -838113 1391.9 -838114 -1391.26 -1391.9 32098.5 -1.93277e+07 -32083.6 -32098.5 1440.92 5924.11 114373 0.000577701 -0.902899 1654.62 1440.92
49400 -838419 302.683 -838116 1391.55 -838117 -1390.09 -1391.55 32090.4 -1.93277e+07 -32056.7 -32090.4 1353.56 5948.52 114441 0.000577701 -0.957852 1538.38 1353.56
49500 -838421 309.32 -838111 1389.87 -838112 -1389.15 -1389.87 32051.7 -1.93276e+07 -32035.1 -32051.7 1383.24 6147.81 114387 0.000577701 -1.01334 1572.25 1383.24
49600 -838419 304.659 -838114 1390.25 -838115 -1389.37 -1390.25 32060.4 -1.93277e+07 -32040 -32060.4 1362.4 6002.78 114437 0.000577701 -0.801114 1568.99 1362.4
49700 -838431 319.114 -838111 1390.79 -838113 -1389.46 -1390.79 32072.8 -1.93276e+07 -32042.3 -32072.8 1427.04 7092.86 114279 0.000577701 -0.887249 1625.27 1427.04
49800 -838445 326.543 -838118 1391.2 -838119 -1390.45 -1391.2 32082.4 -1.93278e+07 -32065.1 -32082.4 1460.26 6628.54 114640 0.000577701 -0.955455 1667.21 1460.26
49900 -838433 323.536 -838110 1391.35 -838110 -1390.7 -1391.35 32085.8 -1.93276e+07 -32070.7 -32085.8 1446.81 7207.58 114279 0.000577701 -0.972891 1643.86 1446.81
50000 -838412 311.126 -838100 1390.99 -838101 -1390.93 -1390.99 32077.4 -1.93274e+07 -32076.2 -32077.4 1391.32 6986.83 114643 0.000577701 -1.07649 1600.99 1391.32
50100 -838420 320.613 -838099 1391.55 -838099 -1391.52 -1391.55 32090.4 -1.93273e+07 -32089.7 -32090.4 1433.74 5218.5 114330 0.000577701 -1.15356 1641.09 1433.74
50200 -838410 308.384 -838102 1391.21 -838101 -1391.5 -1391.21 32082.5 -1.93274e+07 -32089.3 -32082.5 1379.05 5705.08 114515 0.000577701 -1.20549 1558.75 1379.05
50300 -838416 307.978 -838108 1391.21 -838108 -1391.13 -1391.21 32082.6 -1.93275e+07 -32080.6 -32082.6 1377.24 5502.33 114521 0.000577701 -0.982498 1584.16 1377.24
