# Time-averaged data for fix rdf_CO_save
# TimeStep Number-of-rows
# Row c_rdf_CO_detailed[1] c_rdf_CO_detailed[2] c_rdf_CO_detailed[3]
44000 200
122 3.645 0 0.0019802
123 3.675 0 0.0019802
124 3.705 0 0.0019802
125 3.735 0 0.0019802
126 3.765 0 0.0019802
127 3.795 0 0.0019802
128 3.825 0 0.0019802
129 3.855 0 0.0019802
130 3.885 0 0.0019802
131 3.915 0 0.0019802
132 3.945 0 0.0019802
133 3.975 0 0.0019802
134 4.005 0 0.0019802
135 4.035 0 0.0019802
136 4.065 0 0.0019802
137 4.095 0 0.0019802
138 4.125 0 0.0019802
139 4.155 0 0.0019802
140 4.185 0 0.0019802
141 4.215 0 0.0019802
142 4.245 0 0.0019802
143 4.275 0 0.0019802
144 4.305 0 0.0019802
145 4.335 0 0.0019802
146 4.365 0 0.0019802
147 4.395 0 0.0019802
148 4.425 0 0.0019802
149 4.455 0 0.0019802
150 4.485 0 0.0019802
151 4.515 0 0.0019802
152 4.545 0 0.0019802
153 4.575 0 0.0019802
154 4.605 0 0.0019802
155 4.635 0 0.0019802
156 4.665 0 0.0019802
157 4.695 0 0.0019802
158 4.725 0 0.0019802
159 4.755 0 0.0019802
160 4.785 0 0.0019802
161 4.815 0 0.0019802
162 4.845 0 0.0019802
163 4.875 0 0.0019802
164 4.905 0 0.0019802
165 4.935 0 0.0019802
166 4.965 0 0.0019802
167 4.995 0 0.0019802
168 5.025 0 0.0019802
169 5.055 0 0.0019802
170 5.085 0 0.0019802
171 5.115 0 0.0019802
172 5.145 0 0.0019802
173 5.175 0 0.0019802
174 5.205 0 0.0019802
175 5.235 0 0.0019802
176 5.265 0 0.0019802
177 5.295 0 0.0019802
178 5.325 0 0.0019802
179 5.355 0 0.0019802
180 5.385 0 0.0019802
181 5.415 0 0.0019802
182 5.445 0 0.0019802
183 5.475 0 0.0019802
184 5.505 0 0.0019802
185 5.535 0 0.0019802
186 5.565 0 0.0019802
187 5.595 0 0.0019802
188 5.625 0 0.0019802
189 5.655 0 0.0019802
190 5.685 0 0.0019802
191 5.715 0 0.0019802
192 5.745 0 0.0019802
193 5.775 0 0.0019802
194 5.805 0 0.0019802
195 5.835 0 0.0019802
196 5.865 0 0.0019802
197 5.895 0 0.0019802
198 5.925 0 0.0019802
199 5.955 0 0.0019802
200 5.985 0 0.0019802
44400 200
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
