# Time-averaged data for fix rdf_C_H_save
# TimeStep Number-of-rows
# Row c_rdf_C_H_detailed[1] c_rdf_C_H_detailed[2] c_rdf_C_H_detailed[3]
44000 200
114 3.405 0 0
115 3.435 0 0
116 3.465 0 0
117 3.495 0 0
118 3.525 0 0
119 3.555 0 0
120 3.585 0 0
121 3.615 0 0
122 3.645 0 0
123 3.675 0 0
124 3.705 0 0
125 3.735 0 0
126 3.765 0 0
127 3.795 0 0
128 3.825 0 0
129 3.855 0 0
130 3.885 0 0
131 3.915 0 0
132 3.945 0 0
133 3.975 0 0
134 4.005 0 0
135 4.035 0 0
136 4.065 0 0
137 4.095 0 0
138 4.125 0 0
139 4.155 0 0
140 4.185 0 0
141 4.215 0 0
142 4.245 0 0
143 4.275 0 0
144 4.305 0 0
145 4.335 0 0
146 4.365 0 0
147 4.395 0 0
148 4.425 0 0
149 4.455 0 0
150 4.485 0 0
151 4.515 0 0
152 4.545 0 0
153 4.575 0 0
154 4.605 0 0
155 4.635 0 0
156 4.665 0 0
157 4.695 0 0
158 4.725 0 0
159 4.755 0 0
160 4.785 0 0
161 4.815 0 0
162 4.845 0 0
163 4.875 0 0
164 4.905 0 0
165 4.935 0 0
166 4.965 0 0
167 4.995 0 0
168 5.025 0 0
169 5.055 0 0
170 5.085 0 0
171 5.115 0 0
172 5.145 0 0
173 5.175 0 0
174 5.205 0 0
175 5.235 0 0
176 5.265 0 0
177 5.295 0 0
178 5.325 0 0
179 5.355 0 0
180 5.385 0 0
181 5.415 0 0
182 5.445 0 0
183 5.475 0 0
184 5.505 0 0
185 5.535 0 0
186 5.565 0 0
187 5.595 0 0
188 5.625 0 0
189 5.655 0 0
190 5.685 0 0
191 5.715 0 0
192 5.745 0 0
193 5.775 0 0
194 5.805 0 0
195 5.835 0 0
196 5.865 0 0
197 5.895 0 0
198 5.925 0 0
199 5.955 0 0
200 5.985 0 0
44300 200
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
