# Time-averaged data for fix co2_dynamics_monitor
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_count_molecular c_count_polarized c_count_carbonate
44000 -1391.65 -0.630654 0.000577701 -0.630654 2 2 2 1 0 0
44500 -1392.05 -0.766138 0.000577701 -0.766138 2 2 2 1 0 0
45000 -1392.61 -1.02062 0.000577701 -1.02062 2 2 2 1 0 0
45500 -1391.34 -1.12231 0.000577701 -1.12231 2 2 2 1 0 0
46000 -1391.73 -1.28338 0.000577701 -1.28338 2 2 2 1 0 0
46500 -1392.39 -1.17926 0.000577701 -1.17926 2 2 2 1 0 0
47000 -1391.48 -1.18021 0.000577701 -1.18021 1 2 2 0 1 0
47500 -1393.42 -1.20326 0.000577701 -1.20326 2 2 2 1 0 0
48000 -1391.4 -1.15396 0.000577701 -1.15396 2 2 2 1 0 0
48500 -1392.91 -0.755034 0.000577701 -0.755034 2 2 2 1 0 0
49000 -1392.3 -1.14667 0.000577701 -1.14667 1 2 2 0 1 0
49500 -1389.87 -0.986105 0.000577701 -0.986105 1 2 2 0 1 0
50000 -1391.01 -1.05916 0.000577701 -1.05916 1 2 2 0 1 0
50500 -1390.98 -1.16745 0.000577701 -1.16745 1 1 2 0 0 0
51000 -696.645 -1.24439 0.000577701 -1.24439 1 1 2 0 0 0
51500 -1391.53 -1.11983 0.000577701 -1.11983 1 2 2 0 1 0
52000 -696.757 -1.27572 0.000577701 -1.27572 1 1 2 0 0 0
52500 -695.451 -1.26732 0.000577701 -1.26732 1 1 1 0 0 0
53000 -1391.28 -0.977045 0.000577701 -0.977045 1 1 2 0 0 0
53500 -1390.79 -1.16983 0.000577701 -1.16983 1 1 2 0 0 0
54000 -696.258 -1.15711 0.000577701 -1.15711 1 1 1 0 0 0
54500 -695.865 -1.19654 0.000577701 -1.19654 1 1 1 0 0 0
55000 -695.016 -1.4037 0.000577701 -1.4037 0 1 1 0 1 0
55500 -2.30255e-08 -4.12648 0.000577701 -4.12648 0 0 0 0 0 0
56000 -2.29281e-08 -6.94197 0.000577701 -6.94197 0 0 1 0 0 0
56500 -2.30086e-08 -8.64167 0.000577701 -8.64167 0 0 0 0 0 0
57000 -2.29317e-08 -9.70988 0.000577701 -9.70988 0 0 0 0 0 0
57500 -2.29802e-08 -10.5367 0.000577701 -10.5367 0 0 0 0 0 0
58000 -2.29524e-08 -11.2545 0.000577701 -11.2545 0 0 0 0 0 0
58500 -2.29314e-08 -11.8204 0.000577701 -11.8204 0 0 0 0 0 0
59000 -2.28945e-08 -12.1856 0.000577701 -12.1856 0 0 0 0 0 0
59500 -2.29927e-08 -12.2583 0.000577701 -12.2583 0 0 0 0 0 0
60000 -2.30591e-08 -12.0831 0.000577701 -12.0831 0 0 0 0 0 0
60500 -2.29533e-08 -11.5926 0.000577701 -11.5926 0 0 0 0 0 0
61000 -2.29647e-08 -10.9894 0.000577701 -10.9894 0 0 0 0 0 0
61500 -2.30026e-08 -10.3145 0.000577701 -10.3145 0 0 0 0 0 0
62000 -2.29037e-08 -9.69698 0.000577701 -9.69698 0 0 0 0 0 0
62500 -2.29975e-08 -9.03672 0.000577701 -9.03672 0 0 0 0 0 0
63000 -2.30412e-08 -8.45901 0.000577701 -8.45901 0 0 0 0 0 0
63500 -2.30653e-08 -7.90173 0.000577701 -7.90173 0 0 0 0 0 0
64000 -2.29226e-08 -7.29518 0.000577701 -7.29518 0 0 0 0 0 0
64500 -2.30171e-08 -6.78166 0.000577701 -6.78166 0 0 0 0 0 0
65000 -2.2966e-08 -6.21189 0.000577701 -6.21189 0 0 0 0 0 0
65500 -2.28934e-08 -5.62583 0.000577701 -5.62583 0 0 0 0 0 0
66000 -2.28863e-08 -4.83352 0.000577701 -4.83352 0 0 0 0 0 0
66500 -2.2982e-08 -3.9651 0.000577701 -3.9651 0 0 0 0 0 0
67000 -2.29208e-08 -3.08411 0.000577701 -3.08411 0 0 0 0 0 0
67500 -2.29941e-08 -2.0675 0.000577701 -2.0675 0 0 1 0 0 0
68000 -2.29514e-08 -2.49224 0.000577701 -2.49224 0 0 0 0 0 0
68500 -2.2983e-08 -3.31474 0.000577701 -3.31474 0 0 0 0 0 0
69000 -2.28619e-08 -4.19962 0.000577701 -4.19962 0 0 0 0 0 0
69500 -2.29005e-08 -5.19513 0.000577701 -5.19513 0 0 1 0 0 0
70000 -2.29281e-08 -5.77627 0.000577701 -5.77627 0 0 0 0 0 0
70500 -2.29174e-08 -6.1248 0.000577701 -6.1248 0 0 0 0 0 0
71000 -2.29568e-08 -6.27665 0.000577701 -6.27665 0 0 0 0 0 0
71500 -2.3032e-08 -6.18341 0.000577701 -6.18341 0 0 0 0 0 0
72000 -2.2873e-08 -6.11344 0.000577701 -6.11344 0 0 0 0 0 0
72500 -2.29859e-08 -5.89852 0.000577701 -5.89852 0 0 0 0 0 0
73000 -2.28889e-08 -5.76306 0.000577701 -5.76306 0 0 0 0 0 0
73500 -2.29089e-08 -5.69961 0.000577701 -5.69961 0 0 0 0 0 0
74000 -2.29029e-08 -5.61265 0.000577701 -5.61265 0 0 0 0 0 0
74500 -2.29473e-08 -5.54567 0.000577701 -5.54567 0 0 0 0 0 0
75000 -2.29704e-08 -5.52389 0.000577701 -5.52389 0 0 0 0 0 0
75500 -2.29563e-08 -5.53071 0.000577701 -5.53071 0 0 0 0 0 0
76000 -2.29825e-08 -5.56251 0.000577701 -5.56251 0 0 0 0 0 0
76500 -2.30034e-08 -5.62348 0.000577701 -5.62348 0 0 0 0 0 0
77000 -2.29805e-08 -5.72192 0.000577701 -5.72192 0 0 0 0 0 0
