# Time-averaged data for fix proton_water
# TimeStep c_count_H_water c_count_O_carbonate c_avg_H_strong c_avg_H_mobile
61100 4 0 0.642361 1.59236
61200 1.8 0 0.625 1.59028
61300 3.3 0 0.623611 1.60903
61400 4.6 0 0.627778 1.61667
61500 3.6 0 0.638889 1.60417
61600 3.2 0 0.603472 1.6
61700 2.6 0 0.625 1.63264
61800 3.9 0 0.604167 1.59861
61900 2.1 0 0.604167 1.58125
62000 2 0 0.60625 1.59097
62100 3 0 0.59375 1.55625
62200 3 0 0.601389 1.54236
62300 3.5 0 0.625 1.54861
62400 3.1 0 0.601389 1.59097
62500 4 0 0.594444 1.58472
62600 2.4 0 0.563889 1.55833
62700 3.3 0 0.627778 1.55208
62800 2.6 0 0.624306 1.56042
62900 3.1 0 0.586111 1.53194
63000 3 0 0.613194 1.53264
63100 1.4 0 0.605556 1.55972
63200 1 0 0.579167 1.58403
63300 2 0 0.604861 1.56111
63400 1 0 0.597222 1.56944
63500 1 0 0.607639 1.56389
63600 2 0 0.611111 1.58125
63700 2 0 0.584028 1.55556
63800 1 0 0.613889 1.58611
63900 3 0 0.604167 1.61042
64000 1 0 0.599306 1.54583
64100 3 0 0.625 1.55625
64200 2.8 0 0.617361 1.55347
64300 1 0 0.604861 1.56042
64400 1 0 0.599306 1.55764
64500 1 0 0.605556 1.53194
64600 1 0 0.579167 1.54514
64700 2 0 0.621528 1.55417
64800 1.5 0 0.616667 1.57917
64900 3 0 0.583333 1.57639
65000 3.9 0 0.590278 1.54861
65100 2 0 0.593056 1.55417
65200 2 0 0.63125 1.57847
65300 1 0 0.616667 1.56597
65400 1.6 0 0.594444 1.58056
65500 1 0 0.60625 1.55694
65600 1.5 0 0.604167 1.54861
65700 2 0 0.591667 1.57986
65800 2.7 0 0.577083 1.54444
65900 1.1 0 0.590972 1.51597
66000 1 0 0.603472 1.55486
66100 2 0 0.589583 1.52639
66200 3 0 0.590278 1.53264
66300 1.4 0 0.579861 1.48472
66400 3 0 0.597917 1.51736
66500 1 0 0.577778 1.52639
66600 1 0 0.580556 1.51528
66700 1 0 0.583333 1.54861
66800 1 0 0.590278 1.54583
66900 1 0 0.595833 1.51528
67000 2 1 0.593056 1.53681
67100 1.6 1 0.570833 1.57361
67200 1 1 0.554167 1.53472
67300 1 1 0.567361 1.54375
67400 2 1 0.586111 1.54306
67500 1 1 0.576389 1.53611
67600 1 1 0.559028 1.55556
67700 1 1 0.554861 1.55764
67800 1 1 0.585417 1.54861
67900 2.1 1 0.6125 1.49931
68000 2.9 1 0.59375 1.52569
68100 1 1 0.600694 1.51667
68200 1 2 0.579861 1.52153
68300 1 2 0.576389 1.53056
68400 1 1.3 0.584028 1.53958
68500 1 1 0.579861 1.54861
68600 1 1 0.59375 1.55694
68700 1 1 0.605556 1.56181
68800 0.2 1 0.579861 1.54514
68900 0 1 0.575694 1.55556
69000 1 1 0.597917 1.54653
69100 0 1 0.548611 1.50903
69200 0 1 0.55625 1.53056
69300 1 1 0.586111 1.52569
69400 2 1 0.560417 1.51944
69500 1.9 1 0.55 1.55764
69600 2 1 0.565972 1.52431
69700 0 1 0.544444 1.52569
69800 0 1 0.529861 1.53681
69900 1 1 0.548611 1.55069
70000 0.8 1 0.552778 1.55
70100 0 1 0.576389 1.54167
70200 0 1 0.557639 1.52847
70300 0.8 1 0.527778 1.51597
70400 0 1 0.540278 1.52361
70500 0.4 1 0.535417 1.49375
70600 0.4 0 0.555556 1.51806
70700 0 0 0.556944 1.53194
70800 1.3 0 0.545139 1.54861
70900 0 0 0.565278 1.51875
71000 1 0 0.567361 1.50694
71100 1 0 0.533333 1.50417
71200 0 0 0.555556 1.50694
71300 0 0 0.557639 1.51319
71400 1 0 0.555556 1.53403
71500 1.3 0 0.563889 1.53542
71600 0.5 0 0.575694 1.50347
71700 0 0 0.5625 1.50208
