# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
1 4.93699e-07 1.51075e-07
2 4.53994e-07 5.09434e-10
3 0.0144645 0.0444445
4 0.0144654 0.0444446
44000 4
1 3.95662e-06 1.21116e-06
2 3.63851e-06 4.08411e-09
3 0.058078 0.120507
4 0.0580856 0.120508
44100 4
1 1.07305e-05 3.28568e-06
2 9.86803e-06 1.10795e-08
3 0.0922163 0.00509947
4 0.0922369 0.00510277
44200 4
1 2.08134e-05 6.37463e-06
2 1.91405e-05 2.14957e-08
3 0.132194 0.000745246
4 0.132234 0.000751642
44300 4
1 3.42062e-05 1.0478e-05
2 3.14568e-05 3.53326e-08
3 0.198485 0.00664409
4 0.198551 0.0066546
44400 4
1 5.09094e-05 1.55958e-05
2 4.68173e-05 5.25903e-08
3 0.266091 0.0900736
4 0.266189 0.0900893
44500 4
1 7.09231e-05 2.17281e-05
2 6.52222e-05 7.32687e-08
3 0.323052 0.0605956
4 0.323188 0.0606174
44600 4
1 9.42471e-05 2.88748e-05
2 8.66715e-05 9.73678e-08
3 0.421651 0.047841
4 0.421832 0.04787
44700 4
1 0.000120882 3.70359e-05
2 0.000111165 1.24888e-07
3 0.496931 0.00625226
4 0.497163 0.00628942
44800 4
1 0.000150827 4.62115e-05
2 0.000138703 1.55828e-07
3 0.560097 0.00693745
4 0.560387 0.00698381
44900 4
1 0.000184082 5.64015e-05
2 0.000169285 1.9019e-07
3 0.649983 0.0348348
4 0.650336 0.0348914
45000 4
1 0.000220648 6.76059e-05
2 0.000202912 2.27972e-07
3 0.720763 0.00275605
4 0.721186 0.00282388
45100 4
1 0.000260524 7.98247e-05
2 0.000239583 2.69175e-07
3 0.753102 0.119861
4 0.753602 0.119942
45200 4
1 0.000303711 9.3058e-05
2 0.000279298 3.13798e-07
3 0.791539 0.000781453
4 0.792122 0.000874825
45300 4
1 0.000350208 0.000107306
2 0.000322057 3.61843e-07
3 0.855555 0.0351566
4 0.856227 0.0352643
45400 4
1 0.000400015 0.000122568
2 0.000367861 4.13308e-07
3 0.93246 0.0115384
4 0.933227 0.0116614
45500 4
1 0.000453133 0.000138845
2 0.000416709 4.68194e-07
3 0.991339 0.0150814
4 0.992209 0.0152207
45600 4
1 0.000509562 0.000156136
2 0.000468602 5.265e-07
3 1.03895 0.103951
4 1.03993 0.104108
45700 4
1 0.000569301 0.000174441
2 0.000523539 5.88228e-07
3 1.11178 0.0283144
4 1.11287 0.0284894
45800 4
1 0.00063235 0.000193761
2 0.00058152 6.53376e-07
3 1.24036 0.102537
4 1.24157 0.102732
45900 4
1 0.00069871 0.000214095
2 0.000642546 7.21944e-07
3 1.34076 0.0439843
4 1.3421 0.0441991
46000 4
1 0.00076838 0.000235444
2 0.000706615 7.93934e-07
3 1.38847 0.0649768
4 1.38995 0.065213
46100 4
1 0.00084136 0.000257807
2 0.00077373 8.69344e-07
3 1.44473 0.0326201
4 1.44634 0.0328788
46200 4
1 0.000917651 0.000281185
2 0.000843888 9.48175e-07
3 1.50542 0.0278253
4 1.50718 0.0281074
46300 4
1 0.000997253 0.000305577
2 0.000917091 1.03043e-06
3 1.57649 0.0403718
4 1.5784 0.0406784
46400 4
1 0.00108016 0.000330983
2 0.000993338 1.1161e-06
3 1.6446 0.0224735
4 1.64667 0.0228056
46500 4
1 0.00116639 0.000357404
2 0.00107263 1.20519e-06
3 1.73589 0.0413235
4 1.73813 0.0416821
46600 4
1 0.00125592 0.00038484
2 0.00115497 1.29771e-06
3 1.84234 0.00490332
4 1.84475 0.00528946
46700 4
1 0.00134876 0.00041329
2 0.00124035 1.39364e-06
3 1.907 0.000253373
4 1.90959 0.000668056
46800 4
1 0.00144492 0.000442754
2 0.00132877 1.493e-06
3 1.97699 0.097245
4 1.97976 0.0976892
46900 4
1 0.00154438 0.000473232
2 0.00142024 1.59577e-06
3 2.0886 0.0010702
4 2.09157 0.00154503
47000 4
1 0.00164716 0.000504726
2 0.00151475 1.70197e-06
3 2.18074 0.0514128
4 2.1839 0.0519192
47100 4
1 0.00175324 0.000537233
2 0.00161231 1.81159e-06
3 2.31116 0.00110865
4 2.31453 0.0016477
47200 4
1 0.00186264 0.000570755
2 0.00171291 1.92463e-06
3 2.39791 0.020093
4 2.40149 0.0206656
47300 4
1 0.00197534 0.000605292
2 0.00181656 2.04109e-06
3 2.49233 0.00246362
4 2.49612 0.00307095
47400 4
1 0.00209136 0.000640842
2 0.00192325 2.16097e-06
3 2.54859 0.047648
4 2.5526 0.048291
47500 4
1 0.00221068 0.000677408
2 0.00203298 2.28427e-06
3 2.62731 0.0247803
4 2.63155 0.02546
47600 4
1 0.00233332 0.000714987
2 0.00214576 2.41099e-06
3 2.74079 0.153541
4 2.74527 0.154259
47700 4
1 0.00245927 0.000753582
2 0.00226159 2.54113e-06
3 2.82283 0.000378308
4 2.82755 0.00113443
47800 4
1 0.00258853 0.00079319
2 0.00238045 2.67469e-06
3 2.9179 0.00174214
4 2.92287 0.002538
47900 4
1 0.00272109 0.000833813
2 0.00250237 2.81168e-06
3 3.05916 0.0114886
4 3.06438 0.0123253
48000 4
1 0.00285697 0.000875451
2 0.00262732 2.95208e-06
3 3.21616 0.0235837
4 3.22165 0.0244621
48100 4
1 0.00299616 0.000918102
2 0.00275532 3.09591e-06
3 3.37417 0.0251993
4 3.37992 0.0261205
48200 4
