# Time-averaged data for fix rdf_CaO_save
# TimeStep Number-of-rows
# Row c_rdf_CaO[1] c_rdf_CaO[2] c_rdf_CaO[3]
44000 100
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0.240766 0.00375
27 1.59 0.198185 0.00708333
28 1.65 0.62869 0.0184722
29 1.71 0.763831 0.0333333
30 1.77 0.979544 0.05375
31 1.83 1.14696 0.0793056
32 1.89 2.69411 0.143333
33 1.95 3.26662 0.225972
34 2.01 4.06657 0.335278
35 2.07 5.96807 0.505417
36 2.13 7.03101 0.717639
37 2.19 8.41815 0.98625
38 2.25 8.60196 1.27597
39 2.31 9.59659 1.61667
40 2.37 12.321 2.07708
41 2.43 9.2027 2.43861
42 2.49 8.92963 2.80694
43 2.55 7.08539 3.11347
44 2.61 5.8289 3.37764
45 2.67 6.05018 3.66458
46 2.73 5.32494 3.92861
47 2.79 4.94813 4.18486
48 2.85 3.66523 4.38292
49 2.91 3.05702 4.55514
50 2.97 3.28495 4.74792
51 3.03 2.76279 4.91667
52 3.09 2.23018 5.05833
53 3.15 2.28288 5.20903
54 3.21 2.22053 5.36125
55 3.27 1.75525 5.48611
56 3.33 2.31006 5.65653
57 3.39 2.18717 5.82375
58 3.45 2.09771 5.98986
59 3.51 1.81149 6.13833
60 3.57 1.69541 6.28208
61 3.63 1.76338 6.43667
62 3.69 2.31521 6.64639
63 3.75 2.70336 6.89931
64 3.81 3.0821 7.19694
65 3.87 3.17953 7.51375
66 3.93 3.54827 7.87833
67 3.99 3.89603 8.29097
68 4.05 3.44925 8.66736
69 4.11 3.27271 9.03514
70 4.17 3.41443 9.43014
71 4.23 3.12119 9.80167
72 4.29 3.08765 10.1797
73 4.35 3.35847 10.6025
74 4.41 3.30521 11.0301
75 4.47 3.1325 11.4465
76 4.53 3.22802 11.8872
77 4.59 3.21062 12.3372
78 4.65 3.31949 12.8147
79 4.71 3.33238 13.3065
80 4.77 3.20411 13.7915
81 4.83 3.14019 14.2789
82 4.89 2.57994 14.6893
83 4.95 2.70949 15.131
84 5.01 2.62253 15.5689
85 5.07 2.67528 16.0264
86 5.13 2.34025 16.4361
87 5.19 2.18335 16.8274
88 5.25 2.32838 17.2543
89 5.31 2.45229 17.7143
90 5.37 2.56431 18.2063
91 5.43 2.3529 18.6678
92 5.49 2.51717 19.1725
93 5.55 2.63114 19.7117
94 5.61 2.73964 20.2853
95 5.67 2.96967 20.9204
96 5.73 2.5352 21.4742
97 5.79 2.97856 22.1385
98 5.85 2.67509 22.7475
99 5.91 3.12304 23.4732
100 5.97 2.47778 24.0607
44300 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
