# Time-averaged data for fix system_stability
# TimeStep v_temp_current v_press_current v_vol_current c_temp_mobile_prod c_temp_system_prod
44000 1724.53 6089.17 114196 1982.34 1724.53
45000 1695.34 7199.15 114329 1940.33 1695.34
46000 1566.08 5618.51 114422 1790.34 1566.08
47000 1541.75 5869.53 114126 1783.3 1541.75
48000 1471.03 6083.75 114541 1670.54 1471.03
49000 1376.16 5600.24 114601 1564.6 1376.16
50000 1388.69 6962.01 114643 1599.09 1388.69
51000 1298.9 5532.02 114280 1465.27 1298.9
52000 1368.4 5409.57 114433 1560.23 1368.4
53000 1254.7 6403.39 114589 1437.36 1254.7
54000 1241.56 5690.19 114488 1398.76 1241.56
55000 1175.2 5070.04 114461 1333.26 1175.2
56000 1152.68 6331.08 114474 1312.92 1152.68
57000 1136.03 5403.93 114374 1274.24 1136.03
58000 1081.7 3479.27 114363 1223.38 1081.7
59000 1103.21 4430.92 114465 1248.77 1103.21
60000 994.723 3669.79 114367 1105.83 994.723
61000 1030.37 4914.7 114344 1161.22 1030.37
62000 1010.33 5237.36 114329 1129.4 1010.33
63000 976.445 4004.88 114438 1084.64 976.445
64000 1025.35 2764.07 114322 1153.52 1025.35
65000 973.993 3935.54 114403 1077.93 973.993
66000 963.495 2419.17 114312 1070.51 963.495
67000 895.959 3408.92 114475 996.93 895.959
68000 986.9 2365.35 114414 1088.94 986.9
69000 949.877 2617.11 114401 1056.77 949.877
70000 870.458 4623.72 114316 965.238 870.458
71000 892.993 3611.36 114373 974.883 892.993
72000 893.376 2561.8 114576 992.543 893.376
73000 933.455 3040.8 114315 1039.45 933.455
74000 926.282 2653.98 114304 1014.14 926.282
75000 829.079 3154.12 114323 918.569 829.079
76000 879.4 1769.77 114363 972.103 879.4
77000 944.838 1646.75 114290 1034.83 944.838
78000 862.244 2158.03 114318 958.772 862.244
79000 874.525 3154.26 114492 962.379 874.525
80000 980.862 3425.97 114342 1076.02 980.862
81000 918.813 798.149 114474 1023.83 918.813
82000 882.958 1615.53 114371 968.248 882.958
83000 943.631 2430.94 114221 1030.93 943.631
84000 849.612 1931.03 114501 937.757 849.612
85000 887.786 1052.2 114330 970.609 887.786
86000 844.768 -2186.85 114601 914.427 844.768
87000 853.568 -685.184 114275 941.587 853.568
88000 890.848 922.105 114245 972.214 890.848
89000 878.047 1453.03 114438 958.377 878.047
90000 870.838 -293.925 114286 962.37 870.838
91000 769.169 -165.042 114346 825.382 769.169
92000 765.682 91.363 114390 828.281 765.682
93000 819.496 123.656 114486 899.426 819.496
