# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0.804347 0.00462963
17 0.99 0 0.00462963
18 1.05 0 0.00462963
19 1.11 0 0.00462963
20 1.17 0 0.00462963
21 1.23 0.299016 0.00763889
22 1.29 1.44237 0.0236111
23 1.35 7.46341 0.11412
24 1.41 18.9179 0.364352
25 1.47 34.1813 0.855787
26 1.53 39.712 1.47431
27 1.59 33.8413 2.04352
28 1.65 23.7438 2.47361
29 1.71 14.0051 2.74606
30 1.77 8.20698 2.91713
31 1.83 5.05956 3.02986
32 1.89 3.30197 3.10833
33 1.95 1.53716 3.14722
34 2.01 0.895506 3.1713
35 2.07 0.422348 3.18333
36 2.13 0.667238 3.20347
37 2.19 1.1027 3.23866
38 2.25 0.680374 3.26157
39 2.31 0.469507 3.27824
40 2.37 0.613241 3.30116
41 2.43 0.671657 3.32755
42 2.49 0.791307 3.36019
43 2.55 0.551178 3.38403
44 2.61 0.567025 3.40972
45 2.67 0.419735 3.42963
46 2.73 0.66757 3.46273
47 2.79 0.281635 3.47731
48 2.85 0.389816 3.49838
49 2.91 0.509549 3.52708
50 2.97 0.930924 3.58171
51 3.03 0.674545 3.62292
52 3.09 1.1953 3.69884
53 3.15 1.42371 3.79282
54 3.21 1.51285 3.89653
55 3.27 1.65953 4.01458
56 3.33 1.32732 4.1125
57 3.39 1.69847 4.24236
58 3.45 2.48487 4.43912
59 3.51 3.34957 4.71366
60 3.57 4.20723 5.07037
61 3.63 4.09556 5.4294
62 3.69 3.94815 5.78704
63 3.75 3.68929 6.13218
64 3.81 3.85437 6.5044
65 3.87 3.49176 6.85231
66 3.93 4.258 7.28981
67 3.99 4.02154 7.71574
68 4.05 3.84175 8.13495
69 4.11 3.75515 8.55694
70 4.17 3.86588 9.00417
71 4.23 4.24139 9.50903
72 4.29 3.85314 9.98079
73 4.35 3.52504 10.4245
74 4.41 4.20804 10.969
75 4.47 3.85029 11.4808
76 4.53 3.04709 11.8968
77 4.59 2.9101 12.3046
78 4.65 2.49433 12.6634
79 4.71 2.50174 13.0326
80 4.77 2.04308 13.3419
81 4.83 2.11646 13.6704
82 4.89 2.16381 14.0146
83 4.95 1.75661 14.3009
84 5.01 1.98798 14.6329
85 5.07 1.70963 14.9252
86 5.13 2.03746 15.2819
87 5.19 2.78773 15.7815
88 5.25 2.90863 16.3148
89 5.31 2.90247 16.8593
90 5.37 2.79582 17.3956
91 5.43 3.36099 18.0549
92 5.49 3.71618 18.8
93 5.55 4.18983 19.6586
94 5.61 4.14161 20.5257
95 5.67 3.45158 21.2639
96 5.73 3.44217 22.0157
97 5.79 2.8979 22.662
98 5.85 2.98924 23.3426
99 5.91 2.66882 23.9627
100 5.97 3.20904 24.7236
44100 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0.321063 0.00185185
17 0.99 0.212605 0.00324074
18 1.05 0.126107 0.00416667
19 1.11 0.0564695 0.00462963
20 1.17 0 0.00462963
21 1.23 0 0.00462963
22 1.29 1.56594 0.0219907
23 1.35 6.99521 0.106944
24 1.41 17.4202 0.337731
25 1.47 34.259 0.831019
26 1.53 41.4929 1.47824
27 1.59 37.5009 2.10995
28 1.65 20.8131 2.4875
29 1.71 14.186 2.76389
30 1.77 7.17449 2.91366
31 1.83 5.3426 3.03287
32 1.89 2.71326 3.09745
33 1.95 1.28839 3.13009
34 2.01 0.963087 3.15602
35 2.07 0.551545 3.17176
36 2.13 0.85762 3.19769
37 2.19 1.05741 3.23148
38 2.25 0.830325 3.25949
39 2.31 0.429809 3.27477
40 2.37 0.389698 3.28935
