# Time-averaged data for fix energy_time
# TimeStep v_pe_inst
43900 -838429
44000 -838451
44100 -838446
44200 -838449
44300 -838447
44400 -838440
44500 -838443
44600 -838427
44700 -838427
44800 -838436
44900 -838454
45000 -838445
45100 -838434
45200 -838432
45300 -838443
45400 -838437
45500 -838446
45600 -838451
45700 -838434
45800 -838448
45900 -838452
46000 -838442
46100 -838430
46200 -838443
46300 -838447
46400 -838449
46500 -838455
46600 -838454
46700 -838443
46800 -838448
46900 -838459
47000 -838458
47100 -838441
47200 -838447
47300 -838450
47400 -838443
47500 -838437
47600 -838424
47700 -838448
47800 -838442
47900 -838427
48000 -838427
48100 -838429
48200 -838426
48300 -838440
48400 -838425
48500 -838415
48600 -838437
48700 -838431
48800 -838418
48900 -838413
49000 -838415
49100 -838421
49200 -838426
49300 -838435
49400 -838419
49500 -838421
49600 -838419
49700 -838431
49800 -838445
49900 -838433
50000 -838412
50100 -838420
50200 -838410
50300 -838416
50400 -838414
50500 -838404
50600 -838395
50700 -838403
50800 -838403
50900 -838405
51000 -838401
51100 -838391
51200 -838403
51300 -838418
51400 -838415
51500 -838412
51600 -838409
51700 -838408
51800 -838423
51900 -838413
52000 -838411
52100 -838408
52200 -838413
52300 -838415
52400 -838416
52500 -838410
52600 -838404
52700 -838407
52800 -838422
52900 -838406
53000 -838398
53100 -838391
53200 -838391
53300 -838378
53400 -838394
53500 -838399
53600 -838384
53700 -838381
53800 -838393
53900 -838395
54000 -838381
54100 -838388
54200 -838372
54300 -838371
54400 -838377
54500 -838367
54600 -838371
54700 -838375
54800 -838375
54900 -838377
55000 -838374
55100 -838377
55200 -838373
55300 -838366
55400 -838380
55500 -838374
55600 -838352
55700 -838354
55800 -838371
55900 -838366
56000 -838360
56100 -838355
56200 -838359
56300 -838355
56400 -838353
56500 -838341
56600 -838352
56700 -838347
56800 -838349
56900 -838341
57000 -838347
57100 -838349
57200 -838327
57300 -838341
57400 -838335
57500 -838339
57600 -838332
57700 -838350
57800 -838343
57900 -838337
58000 -838334
58100 -838325
58200 -838331
58300 -838324
58400 -838334
58500 -838338
58600 -838329
58700 -838342
58800 -838334
58900 -838330
59000 -838325
59100 -838329
59200 -838322
59300 -838324
59400 -838336
59500 -838307
59600 -838305
59700 -838309
59800 -838317
59900 -838305
60000 -838295
60100 -838290
60200 -838292
60300 -838291
60400 -838284
60500 -838279
60600 -838277
60700 -838282
60800 -838280
60900 -838277
61000 -838281
61100 -838281
61200 -838280
61300 -838287
61400 -838276
61500 -838273
61600 -838274
61700 -838279
61800 -838280
61900 -838277
62000 -838271
62100 -838276
62200 -838268
62300 -838267
62400 -838258
62500 -838251
62600 -838252
62700 -838250
62800 -838247
62900 -838256
63000 -838240
63100 -838240
63200 -838231
63300 -838232
63400 -838238
63500 -838233
63600 -838233
63700 -838239
63800 -838255
63900 -838237
64000 -838248
64100 -838225
64200 -838238
64300 -838229
64400 -838226
64500 -838233
64600 -838224
64700 -838236
64800 -838231
64900 -838225
65000 -838211
65100 -838225
65200 -838210
65300 -838210
65400 -838203
65500 -838207
65600 -838213
65700 -838204
65800 -838202
65900 -838202
66000 -838200
66100 -838207
66200 -838199
66300 -838193
66400 -838200
66500 -838187
66600 -838196
66700 -838181
66800 -838189
66900 -838197
67000 -838177
67100 -838175
67200 -838172
67300 -838180
67400 -838162
67500 -838172
67600 -838174
67700 -838181
67800 -838177
67900 -838189
68000 -838184
68100 -838184
68200 -838172
68300 -838163
68400 -838158
68500 -838156
68600 -838161
68700 -838153
68800 -838160
68900 -838160
69000 -838163
69100 -838151
69200 -838153
69300 -838155
69400 -838154
69500 -838152
69600 -838148
69700 -838142
69800 -838142
69900 -838143
70000 -838140
70100 -838139
70200 -838144
70300 -838139
70400 -838145
70500 -838139
70600 -838134
70700 -838145
70800 -838131
70900 -838134
71000 -838126
71100 -838122
71200 -838131
71300 -838134
71400 -838130
71500 -838128
71600 -838118
71700 -838113
71800 -838110
71900 -838118
72000 -838107
72100 -838117
72200 -838112
72300 -838101
72400 -838111
72500 -838112
72600 -838106
72700 -838118
72800 -838110
72900 -838117
73000 -838116
73100 -838104
73200 -838100
73300 -838101
73400 -838107
73500 -838089
73600 -838085
73700 -838100
73800 -838109
73900 -838103
74000 -838100
74100 -838094
74200 -838095
74300 -838096
74400 -838098
74500 -838078
74600 -838074
74700 -838084
74800 -838084
74900 -838085
75000 -838078
75100 -838076
75200 -838081
75300 -838084
75400 -838086
75500 -838081
75600 -838083
75700 -838084
75800 -838089
75900 -838097
76000 -838081
76100 -838078
76200 -838068
76300 -838078
76400 -838072
76500 -838062
76600 -838068
76700 -838074
76800 -838077
76900 -838090
77000 -838075
77100 -838078
77200 -838064
77300 -838054
77400 -838060
77500 -838067
77600 -838061
77700 -838063
77800 -838070
77900 -838061
78000 -838054
78100 -838047
78200 -838056
78300 -838045
78400 -838053
78500 -838054
78600 -838052
78700 -838043
78800 -838046
78900 -838046
79000 -838038
79100 -838053
79200 -838057
79300 -838064
79400 -838056
79500 -838055
79600 -838061
79700 -838056
79800 -838056
79900 -838061
80000 -838063
80100 -838058
80200 -838060
80300 -838062
80400 -838064
80500 -838056
80600 -838054
80700 -838061
80800 -838065
80900 -838060
81000 -838064
81100 -838056
81200 -838053
81300 -838052
81400 -838058
81500 -838053
81600 -838042
81700 -838052
81800 -838041
81900 -838037
82000 -838037
82100 -838038
82200 -838045
82300 -838043
82400 -838035
82500 -838031
82600 -838030
82700 -838031
82800 -838037
82900 -838030
83000 -838036
83100 -838026
83200 -838041
83300 -838047
83400 -838035
83500 -838040
83600 -838044
83700 -838040
83800 -838039
83900 -838029
84000 -838027
84100 -838037
84200 -838033
84300 -838027
84400 -838034
84500 -838033
84600 -838038
84700 -838035
84800 -838036
84900 -838043
85000 -838035
85100 -838025
85200 -838031
85300 -838036
85400 -838030
85500 -838031
85600 -838029
85700 -838022
85800 -838032
85900 -838030
86000 -838029
86100 -838025
86200 -838023
86300 -838015
86400 -838016
86500 -838016
86600 -838020
86700 -838015
86800 -838030
86900 -838022
87000 -838020
87100 -838015
87200 -838018
87300 -838022
87400 -838029
87500 -838025
87600 -838032
87700 -838024
87800 -838021
87900 -838034
88000 -838023
88100 -838020
88200 -838022
88300 -838022
88400 -838015
88500 -838025
88600 -838016
88700 -838008
88800 -838009
88900 -838015
89000 -838006
89100 -837998
89200 -837994
89300 -838003
89400 -838004
89500 -838002
89600 -838002
89700 -838003
89800 -838009
89900 -837998
90000 -838006
90100 -838006
90200 -838004
90300 -837998
90400 -837995
90500 -838006
90600 -838010
90700 -837991
90800 -837995
90900 -837996
91000 -837985
91100 -837998
91200 -837994
91300 -837987
91400 -837990
91500 -837989
91600 -837980
91700 -837978
91800 -837983
91900 -837990
92000 -837983
92100 -837980
92200 -837978
92300 -837988
92400 -837977
92500 -837975
92600 -837972
