# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      8.62e+01    4.82e+01      4.71e+00    4.07e-01      2.56e+00    1.52e+00    1.0e-03
    100      4.44e+01    4.32e+01      2.01e-01    1.63e-01      1.40e+00    1.36e+00    1.0e-03
    200      3.82e+01    3.81e+01      1.94e-01    1.17e-01      1.21e+00    1.20e+00    1.0e-03
    300      4.13e+01    3.91e+01      2.97e-01    3.44e-01      1.31e+00    1.24e+00    1.0e-03
    400      5.02e+01    3.43e+01      1.45e-01    1.62e-01      1.59e+00    1.09e+00    1.0e-03
    500      3.72e+01    3.70e+01      6.79e-01    3.56e-01      1.17e+00    1.17e+00    1.0e-03
    600      3.39e+01    3.21e+01      9.01e-02    1.64e-01      1.07e+00    1.02e+00    1.0e-03
    700      3.70e+01    3.89e+01      3.02e-01    7.73e-01      1.17e+00    1.22e+00    1.0e-03
    800      2.98e+01    2.91e+01      1.60e-01    2.64e-01      9.42e-01    9.20e-01    1.0e-03
    900      3.09e+01    3.09e+01      1.57e-01    3.18e-01      9.78e-01    9.75e-01    1.0e-03
   1000      3.17e+01    3.04e+01      1.21e-01    1.62e-01      1.00e+00    9.61e-01    1.0e-03
   1100      3.17e+01    2.80e+01      2.66e-01    3.21e-01      1.00e+00    8.83e-01    1.0e-03
   1200      3.27e+01    8.67e+01      3.49e-01    2.39e-01      1.03e+00    2.74e+00    1.0e-03
   1300      2.76e+01    2.83e+01      3.29e-01    3.35e-01      8.69e-01    8.92e-01    1.0e-03
   1400      3.05e+01    2.71e+01      6.11e-01    6.24e-01      9.58e-01    8.49e-01    1.0e-03
   1500      4.13e+01    3.74e+01      8.43e-01    7.43e-01      1.30e+00    1.17e+00    1.0e-03
   1600      2.69e+01    2.67e+01      9.40e-02    3.44e-02      8.51e-01    8.45e-01    1.0e-03
   1700      4.54e+01    2.55e+01      1.85e-01    1.19e-01      1.44e+00    8.05e-01    1.0e-03
   1800      4.61e+01    3.67e+01      7.60e-01    8.75e-01      1.45e+00    1.15e+00    1.0e-03
   1900      2.73e+01    2.55e+01      3.24e-02    1.49e-01      8.64e-01    8.07e-01    1.0e-03
   2000      2.47e+01    2.29e+01      7.46e-02    8.34e-02      7.81e-01    7.25e-01    1.0e-03
   2100      2.47e+01    2.60e+01      1.09e-01    1.70e-01      7.80e-01    8.20e-01    1.0e-03
   2200      2.95e+01    2.71e+01      7.70e-02    4.16e-02      9.34e-01    8.58e-01    1.0e-03
   2300      2.81e+01    2.58e+01      2.55e-02    5.44e-02      8.89e-01    8.15e-01    1.0e-03
   2400      5.25e+01    2.76e+01      8.86e-02    9.94e-02      1.66e+00    8.71e-01    1.0e-03
   2500      3.85e+01    2.97e+01      5.22e-02    2.50e-02      1.22e+00    9.39e-01    1.0e-03
   2600      2.53e+01    2.50e+01      1.81e-01    2.52e-01      7.98e-01    7.88e-01    1.0e-03
   2700      4.22e+01    5.55e+01      2.98e-01    1.42e-01      1.33e+00    1.76e+00    1.0e-03
   2800      3.07e+01    3.04e+01      4.80e-02    4.06e-02      9.71e-01    9.62e-01    1.0e-03
   2900      3.54e+01    2.87e+01      4.58e-02    3.64e-02      1.12e+00    9.08e-01    1.0e-03
   3000      2.91e+01    2.84e+01      1.31e-01    5.47e-02      9.20e-01    8.99e-01    1.0e-03
   3100      2.66e+01    2.64e+01      3.99e-02    2.87e-02      8.42e-01    8.34e-01    1.0e-03
   3200      2.76e+01    2.29e+01      6.75e-02    3.55e-02      8.73e-01    7.24e-01    1.0e-03
   3300      2.38e+01    2.57e+01      3.48e-02    3.24e-02      7.54e-01    8.13e-01    1.0e-03
   3400      2.35e+01    2.37e+01      2.56e-01    4.03e-01      7.43e-01    7.46e-01    1.0e-03
   3500      2.23e+01    2.58e+01      4.15e-02    1.72e-02      7.06e-01    8.16e-01    1.0e-03
   3600      2.18e+01    2.12e+01      3.15e-02    1.29e-01      6.88e-01    6.70e-01    1.0e-03
   3700      2.21e+01    2.60e+01      1.20e-01    1.67e-01      6.98e-01    8.20e-01    1.0e-03
   3800      2.37e+01    1.91e+01      3.78e-02    2.55e-02      7.50e-01    6.05e-01    1.0e-03
   3900      2.13e+01    2.13e+01      1.95e-01    1.74e-01      6.72e-01    6.73e-01    1.0e-03
   4000      2.19e+01    2.25e+01      8.89e-02    2.78e-02      6.93e-01    7.10e-01    1.0e-03
   4100      2.25e+01    2.41e+01      1.85e-02    1.15e-01      7.12e-01    7.63e-01    1.0e-03
   4200      2.30e+01    2.03e+01      2.64e-01    2.74e-01      7.27e-01    6.40e-01    1.0e-03
   4300      1.97e+01    2.10e+01      1.02e-01    1.49e-01      6.23e-01    6.63e-01    1.0e-03
   4400      2.09e+01    2.39e+01      1.12e-01    6.49e-02      6.60e-01    7.54e-01    1.0e-03
   4500      2.09e+01    2.32e+01      3.17e-01    3.62e-01      6.57e-01    7.29e-01    1.0e-03
   4600      2.00e+01    1.76e+01      1.21e-01    1.68e-02      6.32e-01    5.57e-01    1.0e-03
   4700      1.83e+01    1.90e+01      4.03e-01    4.64e-01      5.73e-01    5.95e-01    1.0e-03
   4800      2.14e+01    1.97e+01      3.51e-01    4.80e-01      6.74e-01    6.16e-01    1.0e-03
   4900      1.91e+01    1.98e+01      2.23e-02    4.71e-02      6.04e-01    6.25e-01    1.0e-03
   5000      2.06e+01    1.57e+01      1.14e-01    1.67e-01      6.51e-01    4.95e-01    1.0e-03
   5100      1.28e+01    1.51e+01      2.29e-02    3.88e-02      5.23e-01    6.17e-01    6.0e-04
   5200      1.41e+01    1.21e+01      3.14e-02    1.95e-02      5.76e-01    4.96e-01    6.0e-04
   5300      1.46e+01    1.18e+01      6.78e-02    1.03e-02      5.96e-01    4.83e-01    6.0e-04
   5400      1.42e+01    1.43e+01      2.20e-02    1.49e-02      5.80e-01    5.83e-01    6.0e-04
   5500      1.29e+01    1.41e+01      1.49e-02    1.77e-02      5.27e-01    5.74e-01    6.0e-04
   5600      1.14e+01    1.14e+01      3.08e-02    3.60e-02      4.67e-01    4.65e-01    6.0e-04
   5700      1.50e+01    1.22e+01      2.03e-02    2.66e-02      6.11e-01    4.99e-01    6.0e-04
   5800      1.36e+01    1.31e+01      5.77e-02    1.29e-03      5.53e-01    5.35e-01    6.0e-04
   5900      1.27e+01    1.58e+01      1.86e-02    3.13e-02      5.17e-01    6.44e-01    6.0e-04
   6000      1.30e+01    1.18e+01      8.07e-02    1.87e-02      5.29e-01    4.82e-01    6.0e-04
   6100      1.11e+01    1.22e+01      4.87e-02    8.62e-02      4.51e-01    4.97e-01    6.0e-04
   6200      1.22e+01    1.40e+01      7.43e-02    9.20e-02      4.98e-01    5.68e-01    6.0e-04
   6300      1.09e+01    1.16e+01      1.34e-02    4.88e-02      4.46e-01    4.71e-01    6.0e-04
