# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   6400      1.15e+01    1.08e+01      4.03e-02    7.56e-02      4.71e-01    4.39e-01    6.0e-04
   6500      1.16e+01    1.38e+01      2.08e-02    1.27e-01      4.72e-01    5.59e-01    6.0e-04
   6600      1.04e+01    1.21e+01      8.40e-02    1.02e-02      4.23e-01    4.94e-01    6.0e-04
   6700      1.28e+01    1.04e+01      1.67e-02    6.76e-02      5.23e-01    4.22e-01    6.0e-04
   6800      1.85e+01    9.82e+00      2.91e-02    2.99e-03      7.56e-01    4.01e-01    6.0e-04
   6900      1.07e+01    9.66e+00      8.68e-03    4.25e-02      4.36e-01    3.94e-01    6.0e-04
   7000      1.14e+01    9.93e+00      2.27e-02    1.24e-02      4.65e-01    4.06e-01    6.0e-04
   7100      1.11e+01    1.06e+01      8.95e-02    5.93e-02      4.49e-01    4.32e-01    6.0e-04
   7200      1.09e+01    1.12e+01      7.26e-03    5.07e-02      4.44e-01    4.57e-01    6.0e-04
   7300      1.12e+01    1.08e+01      4.86e-02    3.01e-02      4.56e-01    4.42e-01    6.0e-04
   7400      1.00e+01    9.76e+00      2.65e-02    7.02e-02      4.10e-01    3.97e-01    6.0e-04
   7500      1.01e+01    1.39e+01      5.09e-02    7.00e-02      4.11e-01    5.68e-01    6.0e-04
   7600      1.25e+01    1.13e+01      9.17e-02    6.28e-02      5.07e-01    4.59e-01    6.0e-04
   7700      1.08e+01    9.69e+00      8.68e-02    5.76e-02      4.40e-01    3.94e-01    6.0e-04
   7800      1.03e+01    1.11e+01      4.95e-02    3.77e-02      4.20e-01    4.52e-01    6.0e-04
   7900      1.07e+01    1.40e+01      9.33e-03    3.39e-02      4.37e-01    5.71e-01    6.0e-04
   8000      1.01e+01    1.38e+01      7.44e-02    6.60e-02      4.11e-01    5.63e-01    6.0e-04
   8100      1.00e+01    9.39e+00      2.57e-02    4.32e-02      4.09e-01    3.83e-01    6.0e-04
   8200      1.03e+01    1.03e+01      7.09e-03    1.28e-01      4.19e-01    4.14e-01    6.0e-04
   8300      1.69e+01    9.46e+00      1.86e-02    3.49e-04      6.90e-01    3.86e-01    6.0e-04
   8400      9.73e+00    1.01e+01      2.44e-02    4.25e-02      3.97e-01    4.10e-01    6.0e-04
   8500      9.36e+00    1.11e+01      5.28e-02    4.46e-02      3.81e-01    4.54e-01    6.0e-04
   8600      9.79e+00    8.28e+00      4.81e-02    9.25e-02      3.99e-01    3.34e-01    6.0e-04
   8700      1.12e+01    2.12e+01      9.61e-02    9.59e-02      4.53e-01    8.64e-01    6.0e-04
   8800      1.19e+01    1.32e+01      2.77e-02    7.76e-02      4.85e-01    5.36e-01    6.0e-04
   8900      9.53e+00    8.75e+00      8.75e-03    8.45e-02      3.89e-01    3.54e-01    6.0e-04
   9000      1.09e+01    1.16e+01      3.72e-02    1.56e-01      4.44e-01    4.66e-01    6.0e-04
   9100      9.43e+00    8.73e+00      2.88e-02    5.11e-03      3.85e-01    3.57e-01    6.0e-04
   9200      8.75e+00    9.26e+00      7.74e-02    2.71e-02      3.55e-01    3.78e-01    6.0e-04
   9300      1.07e+01    8.88e+00      5.01e-02    2.99e-02      4.35e-01    3.63e-01    6.0e-04
   9400      1.18e+01    9.34e+00      3.90e-02    4.91e-02      4.80e-01    3.80e-01    6.0e-04
   9500      9.94e+00    8.15e+00      1.52e-02    4.79e-02      4.06e-01    3.32e-01    6.0e-04
   9600      9.82e+00    7.47e+00      5.09e-03    1.95e-02      4.01e-01    3.05e-01    6.0e-04
   9700      9.14e+00    7.45e+00      6.65e-02    1.28e-02      3.72e-01    3.04e-01    6.0e-04
   9800      8.29e+00    9.09e+00      6.01e-02    1.39e-02      3.37e-01    3.71e-01    6.0e-04
   9900      8.48e+00    9.81e+00      7.74e-02    5.87e-03      3.44e-01    4.01e-01    6.0e-04
  10000      1.14e+01    1.15e+01      5.24e-02    2.33e-03      4.67e-01    4.69e-01    6.0e-04
  10100      6.29e+00    7.84e+00      3.39e-03    6.80e-03      3.32e-01    4.14e-01    3.6e-04
  10200      5.49e+00    9.40e+00      9.07e-03    2.49e-02      2.89e-01    4.96e-01    3.6e-04
  10300      7.73e+00    7.05e+00      7.06e-03    1.99e-02      4.08e-01    3.72e-01    3.6e-04
  10400      5.81e+00    5.61e+00      1.42e-02    2.02e-03      3.06e-01    2.96e-01    3.6e-04
  10500      6.71e+00    5.37e+00      1.35e-02    2.50e-02      3.54e-01    2.83e-01    3.6e-04
  10600      6.99e+00    5.93e+00      5.88e-03    3.09e-03      3.69e-01    3.13e-01    3.6e-04
  10700      6.27e+00    5.99e+00      1.91e-02    2.97e-02      3.30e-01    3.15e-01    3.6e-04
  10800      6.52e+00    7.04e+00      2.24e-02    3.03e-02      3.43e-01    3.71e-01    3.6e-04
  10900      7.67e+00    9.81e+00      3.49e-02    4.58e-02      4.04e-01    5.16e-01    3.6e-04
  11000      5.70e+00    8.23e+00      7.43e-03    1.35e-02      3.01e-01    4.34e-01    3.6e-04
  11100      6.73e+00    5.31e+00      1.34e-02    8.79e-04      3.55e-01    2.80e-01    3.6e-04
  11200      6.03e+00    7.62e+00      9.54e-03    6.95e-03      3.18e-01    4.02e-01    3.6e-04
  11300      6.66e+00    6.45e+00      7.26e-03    3.79e-04      3.51e-01    3.40e-01    3.6e-04
  11400      5.35e+00    9.54e+00      2.36e-02    2.78e-02      2.82e-01    5.03e-01    3.6e-04
  11500      5.86e+00    9.75e+00      8.19e-03    2.49e-02      3.09e-01    5.14e-01    3.6e-04
  11600      7.31e+00    5.07e+00      2.66e-02    1.54e-02      3.85e-01    2.67e-01    3.6e-04
  11700      6.52e+00    7.27e+00      1.30e-01    5.95e-02      3.25e-01    3.80e-01    3.6e-04
  11800      6.46e+00    7.64e+00      4.04e-02    3.41e-02      3.39e-01    4.02e-01    3.6e-04
  11900      5.61e+00    5.24e+00      9.73e-03    1.16e-02      2.96e-01    2.76e-01    3.6e-04
  12000      6.81e+00    5.30e+00      1.43e-02    2.11e-02      3.59e-01    2.79e-01    3.6e-04
  12100      5.64e+00    1.06e+01      2.23e-03    2.15e-02      2.97e-01    5.59e-01    3.6e-04
  12200      5.83e+00    5.00e+00      1.14e-02    1.36e-02      3.07e-01    2.64e-01    3.6e-04
  12300      5.12e+00    5.32e+00      3.40e-02    2.55e-02      2.69e-01    2.80e-01    3.6e-04
  12400      5.44e+00    7.13e+00      2.45e-02    6.23e-02      2.86e-01    3.73e-01    3.6e-04
  12500      6.57e+00    5.08e+00      5.87e-03    1.00e-02      3.47e-01    2.68e-01    3.6e-04
  12600      5.27e+00    5.04e+00      5.53e-02    1.60e-03      2.74e-01    2.66e-01    3.6e-04
  12700      5.25e+00    6.83e+00      6.43e-03    2.39e-02      2.77e-01    3.60e-01    3.6e-04
  12800      4.83e+00    4.83e+00      1.36e-02    4.66e-02      2.55e-01    2.52e-01    3.6e-04
  12900      7.03e+00    7.26e+00      6.53e-03    2.06e-02      3.71e-01    3.83e-01    3.6e-04
  13000      7.18e+00    7.62e+00      7.17e-02    2.35e-02      3.74e-01    4.02e-01    3.6e-04
  13100      7.97e+00    5.41e+00      5.22e-02    4.12e-02      4.18e-01    2.83e-01    3.6e-04
  13200      5.48e+00    6.42e+00      1.27e-02    5.92e-02      2.89e-01    3.35e-01    3.6e-04
  13300      7.37e+00    1.00e+01      1.09e-02    1.40e-02      3.89e-01    5.29e-01    3.6e-04
  13400      5.53e+00    6.47e+00      1.78e-03    2.97e-04      2.92e-01    3.42e-01    3.6e-04
  13500      6.42e+00    5.16e+00      4.60e-03    2.56e-02      3.39e-01    2.71e-01    3.6e-04
  13600      7.07e+00    4.56e+00      1.66e-02    8.72e-03      3.73e-01    2.40e-01    3.6e-04
  13700      6.37e+00    4.81e+00      2.06e-02    1.03e-02      3.36e-01    2.54e-01    3.6e-04
  13800      4.91e+00    5.28e+00      1.12e-03    3.15e-02      2.59e-01    2.77e-01    3.6e-04
  13900      7.33e+00    8.28e+00      4.52e-03    1.18e-02      3.87e-01    4.37e-01    3.6e-04
  14000      6.71e+00    4.80e+00      1.34e-02    8.92e-03      3.54e-01    2.53e-01    3.6e-04
  14100      9.20e+00    8.92e+00      3.65e-03    1.92e-02      4.85e-01    4.70e-01    3.6e-04
  14200      6.69e+00    5.76e+00      1.38e-02    3.14e-02      3.53e-01    3.03e-01    3.6e-04
  14300      5.75e+00    4.81e+00      3.08e-02    2.98e-02      3.02e-01    2.53e-01    3.6e-04
  14400      5.90e+00    7.17e+00      1.92e-02    2.91e-02      3.11e-01    3.78e-01    3.6e-04
  14500      7.14e+00    9.10e+00      3.13e-02    2.69e-04      3.76e-01    4.80e-01    3.6e-04
  14600      4.99e+00    4.62e+00      2.59e-03    2.97e-03      2.63e-01    2.44e-01    3.6e-04
  14700      6.43e+00    5.45e+00      3.32e-02    4.13e-02      3.38e-01    2.86e-01    3.6e-04
  14800      6.25e+00    4.44e+00      3.36e-02    1.11e-02      3.28e-01    2.34e-01    3.6e-04
  14900      7.54e+00    6.06e+00      5.59e-03    3.51e-02      3.98e-01    3.18e-01    3.6e-04
  15000      6.83e+00    5.58e+00      2.72e-02    1.82e-02      3.59e-01    2.94e-01    3.6e-04
  15100      5.69e+00    4.72e+00      1.08e-02    1.90e-02      3.88e-01    3.21e-01    2.1e-04
  15200      5.19e+00    3.35e+00      7.09e-03    4.72e-03      3.53e-01    2.28e-01    2.1e-04
  15300      7.48e+00    5.31e+00      1.26e-02    1.46e-02      5.09e-01    3.61e-01    2.1e-04
  15400      4.62e+00    7.82e+00      2.27e-02    1.02e-02      3.14e-01    5.32e-01    2.1e-04
  15500      4.50e+00    3.42e+00      1.11e-02    1.92e-02      3.06e-01    2.32e-01    2.1e-04
  15600      5.26e+00    3.43e+00      1.44e-02    2.27e-02      3.58e-01    2.32e-01    2.1e-04
  15700      4.53e+00    3.76e+00      9.08e-03    9.19e-03      3.08e-01    2.56e-01    2.1e-04
  15800      4.42e+00    4.11e+00      1.70e-02    1.28e-02      3.00e-01    2.80e-01    2.1e-04
  15900      4.00e+00    3.18e+00      2.61e-03    5.25e-03      2.73e-01    2.16e-01    2.1e-04
  16000      3.45e+00    3.71e+00      1.86e-02    1.24e-03      2.34e-01    2.53e-01    2.1e-04
  16100      3.91e+00    5.52e+00      7.62e-03    3.18e-02      2.67e-01    3.74e-01    2.1e-04
  16200      4.03e+00    3.30e+00      7.22e-03    2.18e-02      2.74e-01    2.24e-01    2.1e-04
  16300      5.55e+00    5.13e+00      1.78e-02    3.70e-03      3.78e-01    3.50e-01    2.1e-04
  16400      4.16e+00    3.75e+00      3.88e-02    2.42e-02      2.79e-01    2.54e-01    2.1e-04
  16500      4.68e+00    3.35e+00      2.88e-02    2.04e-02      3.17e-01    2.27e-01    2.1e-04
  16600      3.73e+00    5.61e+00      1.28e-03    2.14e-03      2.54e-01    3.82e-01    2.1e-04
  16700      3.44e+00    5.53e+00      2.16e-02    2.32e-03      2.33e-01    3.77e-01    2.1e-04
  16800      5.76e+00    3.33e+00      2.05e-02    3.23e-02      3.91e-01    2.24e-01    2.1e-04
  16900      4.69e+00    3.23e+00      1.46e-02    2.73e-02      3.19e-01    2.18e-01    2.1e-04
  17000      4.14e+00    4.38e+00      2.42e-03    1.58e-02      2.82e-01    2.98e-01    2.1e-04
  17100      4.50e+00    3.24e+00      3.62e-02    4.40e-02      3.03e-01    2.14e-01    2.1e-04
  17200      3.97e+00    3.81e+00      4.89e-03    7.92e-03      2.71e-01    2.59e-01    2.1e-04
  17300      5.01e+00    3.55e+00      1.78e-02    2.23e-02      3.40e-01    2.40e-01    2.1e-04
  17400      5.28e+00    3.07e+00      4.18e-02    1.16e-03      3.56e-01    2.09e-01    2.1e-04
  17500      3.96e+00    3.51e+00      5.54e-02    3.39e-02      2.61e-01    2.36e-01    2.1e-04
  17600      4.93e+00    3.22e+00      1.84e-02    8.51e-03      3.35e-01    2.19e-01    2.1e-04
  17700      5.22e+00    4.59e+00      5.75e-03    4.13e-03      3.56e-01    3.13e-01    2.1e-04
  17800      3.36e+00    4.83e+00      1.71e-02    8.19e-03      2.28e-01    3.29e-01    2.1e-04
  17900      4.86e+00    4.03e+00      3.65e-03    9.60e-03      3.31e-01    2.75e-01    2.1e-04
  18000      5.33e+00    4.93e+00      6.10e-03    1.65e-02      3.63e-01    3.35e-01    2.1e-04
  18100      6.35e+00    3.06e+00      8.39e-04    1.90e-02      4.33e-01    2.07e-01    2.1e-04
  18200      5.26e+00    3.53e+00      2.82e-03    2.31e-02      3.58e-01    2.39e-01    2.1e-04
  18300      3.61e+00    3.89e+00      1.74e-02    8.81e-03      2.45e-01    2.65e-01    2.1e-04
  18400      4.33e+00    6.62e+00      3.65e-02    1.26e-02      2.92e-01    4.51e-01    2.1e-04
  18500      5.22e+00    3.55e+00      4.82e-02    1.49e-02      3.51e-01    2.41e-01    2.1e-04
  18600      3.35e+00    3.50e+00      2.23e-02    4.14e-03      2.27e-01    2.39e-01    2.1e-04
  18700      3.79e+00    3.59e+00      2.01e-02    1.28e-02      2.57e-01    2.44e-01    2.1e-04
  18800      4.90e+00    3.07e+00      6.41e-03    4.13e-03      3.34e-01    2.09e-01    2.1e-04
  18900      3.53e+00    3.55e+00      2.60e-02    3.54e-02      2.39e-01    2.38e-01    2.1e-04
  19000      3.69e+00    3.70e+00      1.25e-02    1.24e-02      2.51e-01    2.52e-01    2.1e-04
  19100      3.10e+00    4.02e+00      6.98e-03    1.50e-03      2.11e-01    2.74e-01    2.1e-04
  19200      4.25e+00    3.10e+00      1.32e-02    2.18e-02      2.89e-01    2.09e-01    2.1e-04
  19300      3.23e+00    7.24e+00      4.49e-03    4.64e-02      2.20e-01    4.90e-01    2.1e-04
  19400      6.63e+00    3.09e+00      2.77e-02    1.75e-02      4.50e-01    2.10e-01    2.1e-04
  19500      6.08e+00    4.38e+00      2.29e-02    2.84e-02      4.13e-01    2.96e-01    2.1e-04
  19600      3.81e+00    2.89e+00      1.09e-02    1.00e-02      2.59e-01    1.96e-01    2.1e-04
  19700      3.22e+00    3.11e+00      1.96e-02    5.39e-02      2.18e-01    2.02e-01    2.1e-04
  19800      3.48e+00    3.21e+00      1.23e-02    2.49e-02      2.36e-01    2.17e-01    2.1e-04
  19900      3.56e+00    4.94e+00      1.13e-02    2.61e-02      2.42e-01    3.35e-01    2.1e-04
  20000      3.19e+00    3.00e+00      2.39e-02    7.10e-04      2.15e-01    2.04e-01    2.1e-04
  20100      2.28e+00    2.24e+00      2.21e-02    1.48e-02      1.97e-01    1.95e-01    1.3e-04
  20200      3.30e+00    2.29e+00      1.16e-02    1.31e-03      2.89e-01    2.01e-01    1.3e-04
  20300      2.70e+00    5.79e+00      2.58e-02    5.84e-03      2.34e-01    5.09e-01    1.3e-04
  20400      2.58e+00    4.03e+00      3.23e-03    8.35e-03      2.27e-01    3.54e-01    1.3e-04
  20500      3.65e+00    2.89e+00      6.39e-03    2.15e-02      3.21e-01    2.52e-01    1.3e-04
  20600      2.26e+00    2.61e+00      2.92e-02    2.69e-02      1.93e-01    2.25e-01    1.3e-04
  20700      2.71e+00    2.25e+00      1.83e-02    9.04e-03      2.36e-01    1.97e-01    1.3e-04
  20800      3.85e+00    2.71e+00      3.69e-03    2.15e-02      3.38e-01    2.36e-01    1.3e-04
  20900      3.28e+00    2.21e+00      9.30e-03    8.45e-03      2.88e-01    1.94e-01    1.3e-04
  21000      2.70e+00    3.50e+00      7.86e-03    1.12e-02      2.37e-01    3.07e-01    1.3e-04
  21100      4.19e+00    3.77e+00      2.78e-02    2.01e-02      3.65e-01    3.30e-01    1.3e-04
  21200      2.59e+00    4.03e+00      1.46e-02    8.26e-03      2.26e-01    3.54e-01    1.3e-04
  21300      2.52e+00    2.10e+00      2.82e-03    1.27e-02      2.21e-01    1.84e-01    1.3e-04
  21400      4.32e+00    3.99e+00      1.05e-02    5.99e-03      3.80e-01    3.50e-01    1.3e-04
  21500      2.91e+00    2.24e+00      7.45e-03    1.83e-02      2.56e-01    1.95e-01    1.3e-04
  21600      3.35e+00    2.18e+00      2.26e-02    3.32e-03      2.92e-01    1.92e-01    1.3e-04
  21700      3.32e+00    2.27e+00      7.57e-03    6.58e-03      2.92e-01    1.99e-01    1.3e-04
  21800      3.14e+00    3.96e+00      1.13e-02    5.84e-03      2.76e-01    3.48e-01    1.3e-04
  21900      3.55e+00    5.14e+00      3.33e-02    1.17e-03      3.07e-01    4.52e-01    1.3e-04
  22000      2.79e+00    3.95e+00      3.89e-03    1.94e-02      2.45e-01    3.46e-01    1.3e-04
  22100      3.61e+00    2.18e+00      1.52e-02    2.02e-02      3.16e-01    1.89e-01    1.3e-04
  22200      3.47e+00    5.82e+00      1.29e-02    1.53e-02      3.04e-01    5.11e-01    1.3e-04
  22300      3.40e+00    5.12e+00      3.19e-02    6.39e-03      2.95e-01    4.50e-01    1.3e-04
  22400      3.26e+00    5.23e+00      3.29e-02    4.02e-02      2.81e-01    4.55e-01    1.3e-04
  22500      4.07e+00    2.23e+00      2.17e-02    2.56e-03      3.56e-01    1.96e-01    1.3e-04
  22600      2.89e+00    3.01e+00      2.62e-02    1.32e-02      2.50e-01    2.64e-01    1.3e-04
  22700      2.30e+00    2.04e+00      5.35e-03    1.73e-03      2.02e-01    1.79e-01    1.3e-04
  22800      2.23e+00    2.22e+00      1.33e-02    3.84e-02      1.95e-01    1.85e-01    1.3e-04
  22900      4.06e+00    2.19e+00      3.32e-02    6.74e-04      3.52e-01    1.92e-01    1.3e-04
  23000      2.64e+00    5.64e+00      2.11e-03    4.96e-03      2.32e-01    4.96e-01    1.3e-04
  23100      3.09e+00    2.47e+00      1.78e-02    6.09e-03      2.70e-01    2.17e-01    1.3e-04
  23200      2.36e+00    2.40e+00      2.85e-02    3.57e-02      2.03e-01    2.03e-01    1.3e-04
  23300      3.51e+00    5.11e+00      2.70e-03    2.20e-02      3.08e-01    4.48e-01    1.3e-04
  23400      2.17e+00    2.59e+00      7.00e-03    2.26e-02      1.90e-01    2.24e-01    1.3e-04
  23500      2.78e+00    5.02e+00      3.04e-03    1.34e-03      2.44e-01    4.41e-01    1.3e-04
  23600      2.74e+00    2.18e+00      7.10e-03    2.35e-02      2.41e-01    1.88e-01    1.3e-04
  23700      3.29e+00    2.19e+00      1.92e-02    1.24e-02      2.88e-01    1.91e-01    1.3e-04
  23800      3.25e+00    3.35e+00      7.69e-03    5.70e-03      2.86e-01    2.95e-01    1.3e-04
  23900      3.04e+00    2.24e+00      1.35e-02    2.62e-02      2.66e-01    1.92e-01    1.3e-04
  24000      2.47e+00    2.20e+00      4.58e-03    4.44e-03      2.17e-01    1.93e-01    1.3e-04
  24100      3.21e+00    3.12e+00      1.18e-02    5.99e-03      2.81e-01    2.74e-01    1.3e-04
  24200      3.66e+00    3.90e+00      2.06e-02    2.38e-02      3.20e-01    3.41e-01    1.3e-04
  24300      2.25e+00    2.48e+00      6.56e-03    1.90e-02      1.97e-01    2.15e-01    1.3e-04
  24400      3.05e+00    2.11e+00      1.46e-02    7.01e-03      2.67e-01    1.85e-01    1.3e-04
  24500      4.52e+00    3.57e+00      1.49e-02    6.83e-03      3.96e-01    3.14e-01    1.3e-04
  24600      3.76e+00    2.13e+00      2.31e-02    1.55e-02      3.28e-01    1.86e-01    1.3e-04
  24700      2.72e+00    3.61e+00      4.62e-03    1.21e-02      2.39e-01    3.17e-01    1.3e-04
  24800      3.67e+00    2.05e+00      2.74e-02    4.83e-03      3.19e-01    1.80e-01    1.3e-04
  24900      2.63e+00    2.27e+00      9.25e-03    4.13e-02      2.30e-01    1.88e-01    1.3e-04
  25000      3.58e+00    4.99e+00      1.95e-02    1.13e-03      3.12e-01    4.39e-01    1.3e-04
  25100      2.73e+00    1.61e+00      4.75e-03    1.49e-02      3.09e-01    1.79e-01    7.7e-05
  25200      2.20e+00    2.53e+00      1.22e-02    1.64e-02      2.48e-01    2.85e-01    7.7e-05
  25300      1.83e+00    2.61e+00      3.25e-03    1.09e-02      2.07e-01    2.95e-01    7.7e-05
  25400      2.76e+00    1.56e+00      2.84e-03    1.67e-02      3.13e-01    1.73e-01    7.7e-05
  25500      1.79e+00    2.45e+00      1.65e-03    5.72e-03      2.03e-01    2.77e-01    7.7e-05
  25600      2.20e+00    1.61e+00      6.56e-03    1.40e-02      2.49e-01    1.80e-01    7.7e-05
  25700      1.73e+00    1.65e+00      1.22e-03    2.43e-02      1.96e-01    1.79e-01    7.7e-05
  25800      2.29e+00    1.61e+00      1.00e-02    1.84e-02      2.58e-01    1.78e-01    7.7e-05
  25900      2.29e+00    4.36e+00      5.90e-03    8.68e-03      2.59e-01    4.93e-01    7.7e-05
  26000      1.91e+00    1.52e+00      2.94e-02    1.51e-04      2.07e-01    1.72e-01    7.7e-05
