# Time-averaged data for fix thermodynamic_data
# TimeStep c_pe_total c_ke_total v_E_total v_E_interaction v_E_HAP v_E_CO2 v_E_binding v_E_interaction_kcal v_E_HAP_kcal v_E_CO2_kcal v_E_binding_kcal v_temp_current v_press_current v_vol_current v_coverage v_CO2_height c_temp_mobile_prod c_temp_system_prod
43900 -832838 99.2591 -832739 687.099 -832737 -689.733 -687.099 15845.1 -1.92037e+07 -15905.9 -15845.1 443.874 23965.5 26868 0.000577701 9.3295 470.272 443.874
44000 -832840 103.635 -832736 687.128 -832734 -689.727 -687.128 15845.8 -1.92036e+07 -15905.7 -15845.8 463.443 23142.4 26920.4 0.000577701 9.76615 498.388 463.443
44100 -832841 109.543 -832731 686.584 -832728 -689.727 -686.584 15833.2 -1.92035e+07 -15905.7 -15833.2 489.864 21996.4 27026.1 0.000577701 10.0348 517.322 489.864
44200 -832831 99.0522 -832732 686.485 -832729 -689.726 -686.485 15831 -1.92035e+07 -15905.7 -15831 442.949 20603.1 27234.8 0.000577701 10.1484 477.803 442.949
44300 -832828 100.472 -832728 686.952 -832725 -689.73 -686.952 15841.7 -1.92034e+07 -15905.8 -15841.7 449.297 24114.4 27397.7 0.000577701 10.4127 485.218 449.297
44400 -832832 106.325 -832725 687.232 -832723 -689.734 -687.232 15848.2 -1.92033e+07 -15905.9 -15848.2 475.473 26517.3 27490.4 0.000577701 10.8663 509.976 475.473
44500 -832824 99.068 -832725 686.84 -832722 -689.731 -686.84 15839.2 -1.92033e+07 -15905.8 -15839.2 443.019 25759.5 27553.7 0.000577701 11.1592 480.842 443.019
44600 -832821 99.7174 -832721 686.409 -832718 -689.73 -686.409 15829.2 -1.92032e+07 -15905.8 -15829.2 445.923 25375.3 27786.2 0.000577701 11.284 486.997 445.923
44700 -832814 99.1902 -832715 686.751 -832712 -689.735 -686.751 15837.1 -1.92031e+07 -15905.9 -15837.1 443.566 24984.4 27943.3 0.000577701 11.4568 464.517 443.566
44800 -832809 92.1998 -832717 687.186 -832715 -689.741 -687.186 15847.1 -1.92031e+07 -15906 -15847.1 412.305 24986.4 28054.1 0.000577701 11.702 447.957 412.305
