# Time-averaged data for fix co2_chemical
# TimeStep c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_coord_avg_extended c_coord_avg_CH c_coord_avg_CH_close c_count_molecular c_count_polarized c_count_carbonate c_count_bicarbonate
43900 1 1 1 1 0 0 0 0 0 0
44000 1 1 1 1 0 0 0 0 0 0
44100 1 1 1 1 0 0 0 0 0 0
44200 1 1 1 1 0 0 0 0 0 0
44300 1 1 1 1 0 0 0 0 0 0
44400 1 1 1 1 0 0 0 0 0 0
44500 1 1 1 1 0 0 0 0 0 0
44600 1 1 1 1 0 0 0 0 0 0
44700 1 1 1 1 0 0 0 0 0 0
44800 1 1 1 1 0 0 0 0 0 0
44900 1 1 1 1 0 0 0 0 0 0
45000 1 1 1 1 0 0 0 0 0 0
45100 1 1 1 1 0 0 0 0 0 0
45200 1 1 1 1 0 0 0 0 0 0
45300 1 1 1 1 0 0 0 0 0 0
45400 1 1 1 1 0 0 0 0 0 0
45500 1 1 1 1 0 0 0 0 0 0
45600 1 1 1 1 0 0 0 0 0 0
45700 1 1 1 1 0 0 0 0 0 0
45800 1 1 1 1 0 0 0 0 0 0
45900 1 1 1 1 0 0 0 0 0 0
46000 1 1 1 1 0 0 0 0 0 0
46100 1 1 1 1 0 0 0 0 0 0
46200 1 1 1 1 0 0 0 0 0 0
46300 1 1 1 1 0 0 0 0 0 0
46400 1 1 1 1 0 0 0 0 0 0
46500 1 1 1 1 0 0 0 0 0 0
46600 1 1 1 1 0 0 0 0 0 0
46700 1 1 1 1 0 0 0 0 0 0
46800 1 1 1 1 0 0 0 0 0 0
46900 1 1 1 1 0 0 0 0 0 0
47000 1 1 1 1 0 0 0 0 0 0
47100 1 1 1 1 0 0 0 0 0 0
47200 1 1 1 1 0 0 0 0 0 0
47300 1 1 1 1 0 0 0 0 0 0
47400 1 1 1 1 0 0 0 0 0 0
47500 1 1 1 1 0 0 0 0 0 0
47600 1 1 1 1 0 0 0 0 0 0
47700 1 1 1 1 0 0 0 0 0 0
47800 1 1 1 1 0 0 0 0 0 0
47900 1 1 1 1 0 0 0 0 0 0
48000 1 1 1 1 0 0 0 0 0 0
48100 1 1 1 1 0 0 0 0 0 0
48200 1 1 1 1 0 0 0 0 0 0
48300 1 1 1 1 0 0 0 0 0 0
48400 1 1 1 1 0 0 0 0 0 0
48500 1 1 1 1 0 0 0 0 0 0
48600 1 1 1 1 0 0 0 0 0 0
48700 1 1 1 1 0 0 0 0 0 0
48800 1 1 1 1 0 0 0 0 0 0
48900 1 1 1 1 0 0 0 0 0 0
49000 1 1 1 1 0 0 0 0 0 0
49100 1 1 1 1 0 0 0 0 0 0
49200 1 1 1 1 0 0 0 0 0 0
49300 1 1 1 1 0 0 0 0 0 0
49400 1 1 1 1 0 0 0 0 0 0
49500 1 1 1 1 0 0 0 0 0 0
49600 1 1 1 1 0 0 0 0 0 0
49700 1 1 1 1 0 0 0 0 0 0
49800 1 1 1 1 0 0 0 0 0 0
49900 1 1 1 1 0 0 0 0 0 0
50000 1 1 1 1 0 0 0 0 0 0
50100 1 1 1 1 0 0 0 0 0 0
50200 1 1 1 1 0 0 0 0 0 0
50300 1 1 1 1 0 0 0 0 0 0
50400 1 1 1 1 0 0 0 0 0 0
50500 1 1 1 1 0 0 0 0 0 0
50600 1 1 1 1 0 0 0 0 0 0
50700 1 1 1 1 0 0 0 0 0 0
50800 1 1 1 1 0 0 0 0 0 0
50900 1 1 1 1 0 0 0 0 0 0
51000 1 1 1 1 0 0 0 0 0 0
51100 1 1 1 1 0 0 0 0 0 0
51200 1 1 1 1 0 0 0 0 0 0
51300 1 1 1 1 0 0 0 0 0 0
51400 1 1 1 1 0 0 0 0 0 0
51500 1 1 1 1 0 0 0 0 0 0
51600 1 1 1 1 0 0 0 0 0 0
51700 1 1 1 1 0 0 0 0 0 0
51800 1 1 1 1 0 0 0 0 0 0
51900 0 1 1 1 0 0 0 1 0 0
52000 0 1 1 1 0 0 0 1 0 0
52100 0 1 1 1 0 0 0 1 0 0
52200 1 1 1 1 0 0 0 0 0 0
52300 1 1 1 1 0 0 0 0 0 0
52400 1 1 1 1 0 0 0 0 0 0
52500 1 1 1 1 0 0 0 0 0 0
52600 0 1 1 1 0 0 0 1 0 0
52700 0 1 1 1 0 0 0 1 0 0
52800 1 1 1 1 0 0 0 0 0 0
52900 1 1 1 1 0 0 0 0 0 0
53000 1 1 1 1 0 0 0 0 0 0
53100 1 1 1 1 0 0 0 0 0 0
53200 1 1 1 1 0 0 0 0 0 0
53300 0 1 1 1 0 0 0 1 0 0
53400 0 1 1 1 0 0 0 1 0 0
53500 1 1 1 1 0 0 0 0 0 0
53600 1 1 1 1 0 0 0 0 0 0
53700 1 1 1 1 0 0 0 0 0 0
53800 1 1 1 1 0 0 0 0 0 0
53900 1 1 1 1 0 0 0 0 0 0
54000 1 1 1 1 0 0 0 0 0 0
54100 0 1 1 1 0 0 0 1 0 0
54200 1 1 1 1 0 0 0 0 0 0
54300 1 1 1 1 0 0 0 0 0 0
54400 1 1 1 1 0 0 0 0 0 0
54500 0 1 1 1 0 0 0 1 0 0
54600 1 1 1 1 0 0 0 0 0 0
54700 1 1 1 1 0 0 0 0 0 0
54800 1 1 1 1 0 0 0 0 0 0
54900 0 1 1 1 0 0 0 1 0 0
55000 1 1 1 1 0 0 0 0 0 0
55100 1 1 1 1 0 0 0 0 0 0
55200 0 1 1 1 0 0 0 1 0 0
55300 0 1 1 1 0 0 0 1 0 0
55400 1 1 1 1 0 0 0 0 0 0
55500 1 1 1 1 0 0 0 0 0 0
55600 0 1 1 1 0 0 0 1 0 0
55700 1 1 1 1 0 0 0 0 0 0
55800 1 1 1 1 0 0 0 0 0 0
55900 0.1 1 1 1 0 0 0 0.9 0 0
56000 0 1 1 1 0 0 0 1 0 0
56100 0 1 1 1 0 0 0 1 0 0
56200 1 1 1 1 0 0 0 0 0 0
56300 1 1 1 1 0 0 0 0 0 0
56400 1 1 1 1 0 0 0 0 0 0
56500 0.2 1 1 1 0 0 0 0.8 0 0
56600 0 1 1 1 0 0 0 1 0 0
56700 0 1 1 1 0 0 0 1 0 0
56800 1 1 1 1 0 0 0 0 0 0
56900 1 1 1 1 0 0 0 0 0 0
57000 1 1 1 1 0 0 0 0 0 0
57100 1 1 1 1 0 0 0 0 0 0
57200 0 1 1 1 0 0 0 1 0 0
57300 0 1 1 1 0 0 0 1 0 0
57400 0 1 1 1 0 0 0 1 0 0
