# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
28 1.65 9.05133 2.92361
29 1.71 5.01627 3.22894
30 1.77 2.51672 3.39306
31 1.83 1.56072 3.50185
32 1.89 1.49746 3.61319
33 1.95 1.09963 3.70023
34 2.01 0.583554 3.74931
35 2.07 0.173894 3.76481
36 2.13 0.421619 3.80463
37 2.19 0.120581 3.81667
38 2.25 0.107632 3.82801
39 2.31 0.0937756 3.83843
40 2.37 0.168311 3.8581
41 2.43 0.0941602 3.86968
42 2.49 0.105822 3.88333
43 2.55 0.0855217 3.89491
44 2.61 0.0685674 3.90463
45 2.67 0.149749 3.92685
46 2.73 0.086557 3.94028
47 2.79 0.0785754 3.95301
48 2.85 0.123222 3.97384
49 2.91 0.15234 4.00069
50 2.97 0.22065 4.0412
51 3.03 0.245904 4.08819
52 3.09 0.421636 4.17199
53 3.15 0.505474 4.27639
54 3.21 0.808427 4.44977
55 3.27 0.91006 4.65231
56 3.33 0.930709 4.86713
57 3.39 0.934833 5.09074
58 3.45 1.17731 5.38241
59 3.51 1.34683 5.72778
60 3.57 1.44855 6.11204
61 3.63 1.75214 6.59259
62 3.69 2.1359 7.19792
63 3.75 2.13059 7.82153
64 3.81 2.26164 8.50486
65 3.87 2.07325 9.15116
66 3.93 2.23511 9.86968
67 3.99 2.43735 10.6773
68 4.05 1.96765 11.3491
69 4.11 2.27732 12.1498
70 4.17 2.11252 12.9144
71 4.23 1.99022 13.6556
72 4.29 1.92223 14.3919
73 4.35 1.94719 15.1588
74 4.41 1.72758 15.8581
75 4.47 1.72881 16.5771
76 4.53 1.63511 17.2755
77 4.59 1.70136 18.0215
78 4.65 1.64282 18.7609
79 4.71 1.67994 19.5366
80 4.77 1.63845 20.3125
81 4.83 1.37392 20.9796
82 4.89 1.16414 21.559
83 4.95 1.16834 22.1549
84 5.01 1.21361 22.7889
85 5.07 1.12578 23.3912
86 5.13 1.16259 24.028
87 5.19 1.21387 24.7086
88 5.25 1.35052 25.4833
89 5.31 1.57735 26.409
90 5.37 1.62983 27.3873
91 5.43 1.66494 28.409
92 5.49 1.69037 29.4694
93 5.55 1.88438 30.6775
94 5.61 1.68419 31.7808
95 5.67 2.13203 33.2074
96 5.73 2.3044 34.7822
97 5.79 2.10262 36.2493
98 5.85 2.00251 37.6757
99 5.91 2.11203 39.2111
100 5.97 1.98303 40.6822
52400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0.00904558 0.000231481
20 1.17 0.203862 0.00601852
21 1.23 0.177149 0.0115741
22 1.29 0.422741 0.0261574
23 1.35 1.04161 0.0655093
24 1.41 3.36985 0.204398
25 1.47 14.2988 0.844907
26 1.53 17.311 1.68495
27 1.59 14.2053 2.4294
28 1.65 8.11723 2.8875
29 1.71 5.30847 3.20926
30 1.77 2.6483 3.38125
31 1.83 1.65392 3.49606
32 1.89 1.52561 3.60903
33 1.95 1.13945 3.69884
34 2.01 0.591516 3.74838
35 2.07 0.208496 3.7669
36 2.13 0.398764 3.8044
37 2.19 0.11643 3.81597
38 2.25 0.147763 3.83148
39 2.31 0.142317 3.84722
40 2.37 0.157086 3.86551
41 2.43 0.068066 3.87384
42 2.49 0.0630712 3.88194
43 2.55 0.0910165 3.89421
44 2.61 0.0541124 3.90185
45 2.67 0.0877218 3.91481
46 2.73 0.127382 3.93449
47 2.79 0.0889273 3.94884
48 2.85 0.105879 3.96667
49 2.91 0.177998 3.99792
50 2.97 0.249398 4.04352
51 3.03 0.334547 4.10718
52 3.09 0.294744 4.16551
53 3.15 0.522196 4.27292
54 3.21 0.750047 4.4331
55 3.27 0.839762 4.61921
56 3.33 0.993012 4.84745
57 3.39 1.02032 5.09051
58 3.45 1.24223 5.39699
59 3.51 1.1567 5.69236
60 3.57 1.56065 6.10463
61 3.63 1.85775 6.61204
62 3.69 1.98328 7.17176
63 3.75 2.1871 7.80926
64 3.81 2.27111 8.49259
65 3.87 1.99988 9.11343
66 3.93 2.4194 9.88796
67 3.99 2.32831 10.6563
68 4.05 2.02418 11.3444
69 4.11 2.23071 12.1255
70 4.17 2.03905 12.8604
71 4.23 2.01108 13.6063
72 4.29 1.87754 14.3225
73 4.35 2.02607 15.1171
74 4.41 1.70664 15.8051
75 4.47 1.84169 16.5678
76 4.53 1.67616 17.2808
77 4.59 1.61941 17.988
78 4.65 1.60376 18.7067
79 4.71 1.67891 19.4787
80 4.77 1.65704 20.2602
81 4.83 1.33468 20.9056
82 4.89 1.17786 21.4894
83 4.95 1.26073 22.1296
84 5.01 1.20981 22.759
85 5.07 1.10829 23.3495
86 5.13 1.26632 24.0403
87 5.19 1.18163 24.7
88 5.25 1.36832 25.4817
89 5.31 1.58631 26.4088
90 5.37 1.51 27.3113
91 5.43 1.78625 28.403
92 5.49 1.63334 29.4234
93 5.55 1.79078 30.5667
94 5.61 1.86506 31.7833
95 5.67 2.14891 33.2153
96 5.73 2.25415 34.7493
97 5.79 1.98185 36.1264
98 5.85 2.12378 37.6329
99 5.91 2.05816 39.1229
100 5.97 1.96351 40.5734
52500 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0.162574 0.00416667
20 1.17 0.170725 0.00902778
21 1.23 0.154479 0.0138889
22 1.29 0.401268 0.0277778
23 1.35 0.958759 0.0641204
24 1.41 4.05848 0.231944
25 1.47 12.9022 0.811806
26 1.53 17.8955 1.6831
27 1.59 13.5821 2.39722
28 1.65 8.86676 2.89931
29 1.71 4.71614 3.18611
30 1.77 2.938 3.37755
31 1.83 1.798 3.50278
32 1.89 1.35241 3.60324
33 1.95 0.992301 3.68171
34 2.01 0.669412 3.73796
35 2.07 0.296124 3.76435
36 2.13 0.448898 3.80671
37 2.19 0.148509 3.82153
38 2.25 0.189085 3.84144
39 2.31 0.0667703 3.84884
40 2.37 0.101105 3.86065
41 2.43 0.090464 3.87176
42 2.49 0.061022 3.87963
43 2.55 0.0530924 3.88681
44 2.61 0.0865908 3.89907
45 2.67 0.0858588 3.91181
46 2.73 0.0627195 3.92153
47 2.79 0.177304 3.95023
48 2.85 0.0931959 3.96597
49 2.91 0.206398 4.00231
50 2.97 0.266262 4.05116
51 3.03 0.320012 4.11227
52 3.09 0.393996 4.19051
53 3.15 0.403929 4.27384
54 3.21 0.705387 4.425
55 3.27 0.839987 4.61181
56 3.33 0.971663 4.83588
57 3.39 1.19908 5.12245
58 3.45 1.10175 5.39514
59 3.51 1.18078 5.69769
60 3.57 1.55801 6.11065
61 3.63 1.83648 6.61389
62 3.69 2.03469 7.19005
63 3.75 2.16803 7.82407
64 3.81 2.14174 8.4706
65 3.87 2.12401 9.13218
66 3.93 2.36752 9.89259
67 3.99 2.18843 10.6171
68 4.05 2.07723 11.3257
69 4.11 2.14884 12.0806
70 4.17 2.14181 12.8551
71 4.23 1.8004 13.525
72 4.29 2.05748 14.3125
73 4.35 2.00123 15.1
74 4.41 1.62718 15.7581
75 4.47 1.88795 16.5426
76 4.53 1.64629 17.2451
77 4.59 1.59504 17.944
78 4.65 1.57932 18.6542
79 4.71 1.7436 19.4586
80 4.77 1.59389 20.2127
81 4.83 1.31789 20.8521
82 4.89 1.35639 21.5266
83 4.95 1.10527 22.0898
84 5.01 1.19514 22.7137
85 5.07 1.1324 23.319
86 5.13 1.17797 23.9637
87 5.19 1.3715 24.7319
88 5.25 1.342 25.5012
89 5.31 1.54987 26.41
90 5.37 1.56366 27.3477
91 5.43 1.75742 28.4252
92 5.49 1.52744 29.3826
93 5.55 1.72627 30.4884
94 5.61 1.96714 31.7759
95 5.67 2.18194 33.2347
96 5.73 2.19861 34.7359
97 5.79 1.95896 36.1016
98 5.85 2.08196 37.5833
99 5.91 1.99281 39.0308
100 5.97 1.9372 40.4667
52600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.0162628 0.000462963
21 1.23 0.368268 0.012037
22 1.29 0.495511 0.0291667
23 1.35 1.20445 0.0747685
24 1.41 3.43527 0.216667
25 1.47 12.2986 0.76875
26 1.53 18.6167 1.67407
27 1.59 13.8933 2.4037
28 1.65 8.84908 2.90417
29 1.71 4.51197 3.17824
30 1.77 3.20468 3.38681
31 1.83 1.67043 3.50301
32 1.89 1.16048 3.58912
33 1.95 1.12827 3.67824
34 2.01 0.695055 3.73657
35 2.07 0.358933 3.76852
36 2.13 0.471571 3.81296
37 2.19 0.15335 3.82824
38 2.25 0.041804 3.83264
39 2.31 0.156638 3.85
40 2.37 0.053581 3.85625
41 2.43 0.10381 3.86898
42 2.49 0.0880551 3.88032
43 2.55 0.0599908 3.88843
44 2.61 0.0376209 3.89375
45 2.67 0.0640745 3.90324
46 2.73 0.107681 3.91991
47 2.79 0.191844 3.95093
48 2.85 0.0987966 3.96759
49 2.91 0.17632 3.99861
50 2.97 0.269053 4.04792
51 3.03 0.308334 4.10671
52 3.09 0.366473 4.1794
53 3.15 0.434656 4.26898
54 3.21 0.613213 4.40023
55 3.27 0.985946 4.61921
56 3.33 1.10948 4.87477
57 3.39 1.00465 5.11458
58 3.45 1.17976 5.40625
59 3.51 1.24193 5.72407
60 3.57 1.75755 6.18935
61 3.63 1.54764 6.61296
62 3.69 2.06739 7.19769
63 3.75 2.03908 7.79329
64 3.81 2.25936 8.47454
65 3.87 2.14519 9.1419
66 3.93 2.3306 9.88958
67 3.99 2.25475 10.6352
68 4.05 1.97642 11.3086
69 4.11 1.98115 12.0037
70 4.17 2.20071 12.7986
71 4.23 1.83616 13.481
72 4.29 2.16116 14.3072
73 4.35 2.11196 15.1373
74 4.41 1.73685 15.8389
75 4.47 1.4869 16.456
76 4.53 1.72312 17.1905
77 4.59 1.69694 17.9331
78 4.65 1.59207 18.6481
79 4.71 1.77477 19.466
80 4.77 1.53801 20.1928
81 4.83 1.3285 20.8366
82 4.89 1.49836 21.5808
83 4.95 1.20534 22.1942
84 5.01 1.11128 22.7736
85 5.07 1.10031 23.3611
86 5.13 1.20898 24.022
87 5.19 1.37318 24.7903
88 5.25 1.25744 25.5102
89 5.31 1.55648 26.4218
90 5.37 1.67415 27.4245
91 5.43 1.62485 28.4197
92 5.49 1.54264 29.3854
93 5.55 1.86072 30.5759
94 5.61 1.96772 31.8623
95 5.67 2.03928 33.2241
96 5.73 2.2348 34.7481
97 5.79 2.06304 36.1847
98 5.85 2.07305 37.6583
99 5.91 1.97758 39.0931
100 5.97 1.88421 40.488
52700 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.46473 0.0145833
22 1.29 0.576755 0.0344907
23 1.35 1.08389 0.075463
24 1.41 3.20542 0.207639
25 1.47 12.6952 0.77662
26 1.53 17.9793 1.64954
27 1.59 14.9087 2.43125
28 1.65 8.47786 2.90995
29 1.71 4.77505 3.19954
30 1.77 2.62203 3.36991
31 1.83 1.94971 3.50532
32 1.89 1.07172 3.58472
33 1.95 1.1066 3.67199
34 2.01 0.668569 3.72801
35 2.07 0.432405 3.76644
36 2.13 0.415763 3.80556
37 2.19 0.19782 3.82523
38 2.25 0.0440918 3.82986
39 2.31 0.0690247 3.8375
40 2.37 0.166924 3.85694
41 2.43 0.0964051 3.86875
42 2.49 0.0396033 3.87384
43 2.55 0.0583604 3.88171
44 2.61 0.0917617 3.89468
45 2.67 0.0563645 3.90301
46 2.73 0.0943516 3.91759
47 2.79 0.146259 3.9412
48 2.85 0.210258 3.97662
49 2.91 0.133125 4
50 2.97 0.198666 4.03634
51 3.03 0.323396 4.09792
52 3.09 0.441891 4.18542
53 3.15 0.455591 4.27917
54 3.21 0.540547 4.39468
55 3.27 0.94052 4.60324
56 3.33 1.09215 4.8544
57 3.39 0.944081 5.0794
58 3.45 1.35042 5.41273
59 3.51 1.26748 5.73657
60 3.57 1.66666 6.17708
61 3.63 1.67808 6.63565
62 3.69 1.96008 7.18912
63 3.75 2.07563 7.79444
64 3.81 2.40526 8.51852
65 3.87 2.01152 9.14329
66 3.93 2.40299 9.91296
67 3.99 2.26746 10.6616
68 4.05 1.98845 11.338
69 4.11 1.87135 11.9935
70 4.17 2.02266 12.7229
71 4.23 1.92575 13.4375
72 4.29 2.24711 14.2951
73 4.35 2.10175 15.1199
74 4.41 1.67878 15.797
75 4.47 1.61671 16.4669
76 4.53 1.58721 17.1424
77 4.59 1.71606 17.8921
78 4.65 1.64626 18.6303
79 4.71 1.51199 19.3259
80 4.77 1.75874 20.1558
81 4.83 1.4555 20.86
82 4.89 1.46668 21.5873
83 4.95 1.23774 22.2162
84 5.01 1.08196 22.7794
85 5.07 1.07127 23.3505
86 5.13 1.22323 24.0181
87 5.19 1.32771 24.7597
88 5.25 1.3587 25.5363
89 5.31 1.49602 26.4111
90 5.37 1.60251 27.3694
91 5.43 1.74788 28.4382
92 5.49 1.57358 29.4218
93 5.55 1.75681 30.544
94 5.61 1.93579 31.8074
95 5.67 2.13773 33.2326
96 5.73 2.16628 34.7076
97 5.79 2.07002 36.1468
98 5.85 2.00852 37.5722
99 5.91 2.0715 39.0727
100 5.97 1.84653 40.4375
52800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.368145 0.0115741
22 1.29 0.602398 0.0324074
23 1.35 1.06961 0.0729167
24 1.41 3.74245 0.227546
25 1.47 12.764 0.800694
26 1.53 17.3114 1.64282
27 1.59 14.6951 2.41481
28 1.65 9.27979 2.93981
29 1.71 4.39986 3.20718
30 1.77 2.8126 3.39028
31 1.83 1.57013 3.49954
32 1.89 1.18823 3.58773
33 1.95 1.02833 3.66898
34 2.01 0.686538 3.72662
35 2.07 0.408161 3.76296
36 2.13 0.4199 3.80255
37 2.19 0.211355 3.82361
38 2.25 0.0703985 3.83102
39 2.31 0.102304 3.84236
40 2.37 0.130917 3.85764
41 2.43 0.0547106 3.86435
42 2.49 0.0413107 3.86968
43 2.55 0.066824 3.8787
44 2.61 0.114465 3.89491
45 2.67 0.0531397 3.90278
46 2.73 0.0896797 3.91667
47 2.79 0.13882 3.93912
48 2.85 0.204356 3.97361
49 2.91 0.176281 4.00463
50 2.97 0.238696 4.04838
51 3.03 0.361596 4.11736
52 3.09 0.403733 4.19745
53 3.15 0.445702 4.28935
54 3.21 0.496279 4.3956
55 3.27 0.917897 4.59954
56 3.33 1.02172 4.83495
57 3.39 0.958686 5.06389
58 3.45 1.24306 5.3713
59 3.51 1.3094 5.70648
60 3.57 1.65904 6.14583
61 3.63 1.8042 6.63981
62 3.69 1.99714 7.20486
63 3.75 2.08196 7.81319
64 3.81 2.43439 8.54745
65 3.87 1.92958 9.14792
66 3.93 2.51948 9.95648
67 3.99 2.20429 10.6856
68 4.05 2.02061 11.3743
69 4.11 1.82426 12.0146
70 4.17 1.91114 12.7051
71 4.23 2.08699 13.481
72 4.29 2.02004 14.2535
73 4.35 2.0106 15.044
74 4.41 1.88055 15.8039
75 4.47 1.68107 16.5019
76 4.53 1.58308 17.1769
77 4.59 1.5499 17.8553
78 4.65 1.56636 18.559
79 4.71 1.54974 19.2734
80 4.77 1.63833 20.0479
81 4.83 1.54298 20.7958
82 4.89 1.46149 21.522
83 4.95 1.09396 22.0789
84 5.01 1.22633 22.7185
85 5.07 1.16413 23.3403
86 5.13 1.17134 23.9808
87 5.19 1.25403 24.6826
88 5.25 1.40057 25.4847
89 5.31 1.48398 26.3542
90 5.37 1.62029 27.325
91 5.43 1.69088 28.3609
92 5.49 1.61228 29.3706
93 5.55 1.74874 30.4898
94 5.61 1.98727 31.7894
95 5.67 2.10622 33.1963
96 5.73 2.16585 34.6738
97 5.79 2.01949 36.0806
98 5.85 2.00046 37.503
99 5.91 1.99221 38.9488
100 5.97 1.94988 40.3928
52900 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0.0180126 0.000462963
20 1.17 0.0648515 0.00231481
21 1.23 0.469888 0.0171296
22 1.29 0.413841 0.0314815
23 1.35 1.0605 0.0717593
24 1.41 4.1681 0.244444
25 1.47 11.8893 0.779861
26 1.53 18.4635 1.68056
27 1.59 13.9591 2.41597
28 1.65 8.6989 2.90949
29 1.71 5.28022 3.23125
30 1.77 2.49982 3.39444
31 1.83 1.49589 3.49884
32 1.89 1.06978 3.57847
33 1.95 0.838408 3.64491
34 2.01 0.885307 3.71944
35 2.07 0.513376 3.76528
36 2.13 0.261986 3.79005
37 2.19 0.275618 3.81759
38 2.25 0.0833912 3.82639
39 2.31 0.141562 3.84213
40 2.37 0.112693 3.85532
41 2.43 0.0677258 3.86366
42 2.49 0.0537672 3.8706
43 2.55 0.0939567 3.88333
44 2.61 0.0896837 3.89606
45 2.67 0.052976 3.90394
46 2.73 0.149038 3.92708
47 2.79 0.162695 3.95347
48 2.85 0.206544 3.98843
49 2.91 0.115441 4.0088
50 2.97 0.225418 4.05023
51 3.03 0.402961 4.12731
52 3.09 0.322291 4.19144
53 3.15 0.450038 4.28449
54 3.21 0.624185 4.41852
55 3.27 0.810364 4.59907
56 3.33 1.01686 4.83403
57 3.39 0.986055 5.07014
58 3.45 1.14332 5.3537
59 3.51 1.33804 5.69722
60 3.57 1.56204 6.11204
61 3.63 1.88682 6.63009
62 3.69 2.02091 7.20347
63 3.75 2.07684 7.81204
64 3.81 2.22166 8.48403
65 3.87 2.11695 9.14468
66 3.93 2.51456 9.95394
67 3.99 2.24486 10.6986
68 4.05 2.03725 11.3949
69 4.11 1.70724 11.9958
70 4.17 1.87373 12.6748
71 4.23 2.25194 13.5144
72 4.29 1.97682 14.2725
73 4.35 1.97496 15.0512
74 4.41 1.87817 15.8123
75 4.47 1.72246 16.5294
76 4.53 1.52719 17.1824
77 4.59 1.57343 17.8731
78 4.65 1.43808 18.5211
79 4.71 1.54886 19.237
80 4.77 1.57171 19.9822
81 4.83 1.47625 20.6998
82 4.89 1.48478 21.4396
83 4.95 1.23637 22.0708
84 5.01 1.15119 22.6729
85 5.07 1.07531 23.2488
86 5.13 1.30985 23.9671
87 5.19 1.2076 24.6449
88 5.25 1.30427 25.394
89 5.31 1.65007 26.3634
90 5.37 1.58525 27.316
91 5.43 1.67926 28.3477
92 5.49 1.5466 29.319
93 5.55 1.82856 30.4926
94 5.61 1.94424 31.7676
95 5.67 2.16558 33.2183
96 5.73 2.09442 34.6512
97 5.79 1.92071 35.9928
98 5.85 2.05025 37.4549
99 5.91 2.05687 38.9519
100 5.97 1.94404 40.3956
53000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.0893943 0.0025463
21 1.23 0.286563 0.0115741
22 1.29 0.441051 0.0268519
23 1.35 1.09249 0.068287
24 1.41 3.659 0.219676
25 1.47 12.141 0.765741
26 1.53 18.384 1.66134
27 1.59 14.643 2.43171
28 1.65 8.30538 2.90231
29 1.71 5.27982 3.22361
30 1.77 2.22273 3.36852
31 1.83 1.72704 3.48889
32 1.89 1.05255 3.56713
33 1.95 0.918576 3.63981
34 2.01 0.996762 3.72361
35 2.07 0.363354 3.75602
36 2.13 0.272106 3.78171
37 2.19 0.29462 3.81111
38 2.25 0.0812931 3.81968
39 2.31 0.152156 3.83657
40 2.37 0.106902 3.84907
41 2.43 0.0998486 3.86134
42 2.49 0.120299 3.87685
43 2.55 0.094061 3.88958
44 2.61 0.0636663 3.89861
45 2.67 0.0858506 3.91134
46 2.73 0.116358 3.9294
47 2.79 0.245836 3.96921
48 2.85 0.113691 3.98843
49 2.91 0.20622 4.02477
50 2.97 0.266137 4.07361
51 3.03 0.301609 4.13125
52 3.09 0.308772 4.19259
53 3.15 0.516874 4.29931
54 3.21 0.709285 4.45139
55 3.27 0.808336 4.63125
56 3.33 0.932768 4.84653
57 3.39 0.938148 5.07083
58 3.45 1.28956 5.39028
59 3.51 1.30117 5.72384
60 3.57 1.38769 6.0919
61 3.63 2.00163 6.64074
62 3.69 2.06044 7.22454
63 3.75 1.97363 7.80208
64 3.81 2.25593 8.48356
65 3.87 2.20676 9.1713
66 3.93 2.36078 9.93009
67 3.99 2.1899 10.6556
68 4.05 2.05768 11.3579
69 4.11 1.88607 12.0208
70 4.17 1.9383 12.7222
71 4.23 2.14803 13.522
72 4.29 1.94865 14.2683
73 4.35 1.94396 15.0338
74 4.41 1.74621 15.7405
75 4.47 1.81996 16.4972
76 4.53 1.53363 17.1521
77 4.59 1.58354 17.8463
78 4.65 1.43485 18.4919
79 4.71 1.62558 19.2424
80 4.77 1.50689 19.9558
81 4.83 1.57735 20.7215
82 4.89 1.42032 21.4282
83 4.95 1.27435 22.078
84 5.01 1.13448 22.6706
85 5.07 1.06159 23.2384
86 5.13 1.3158 23.959
87 5.19 1.08697 24.5683
88 5.25 1.3605 25.3486
89 5.31 1.6539 26.319
90 5.37 1.65523 27.3123
91 5.43 1.60077 28.2944
92 5.49 1.60218 29.2993
93 5.55 1.7425 30.4162
94 5.61 1.91505 31.6704
95 5.67 2.12382 33.0912
96 5.73 2.16806 34.5725
97 5.79 1.98204 35.9551
98 5.85 2.03019 37.4009
99 5.91 2.1361 38.9535
100 5.97 1.93134 40.3859
53100 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.163105 0.00462963
21 1.23 0.147584 0.00925926
22 1.29 0.362303 0.0217593
23 1.35 1.1456 0.0650463
24 1.41 2.8359 0.181944
25 1.47 12.3333 0.734491
26 1.53 18.8908 1.65139
27 1.59 14.875 2.43102
28 1.65 7.28315 2.84213
29 1.71 5.36094 3.16713
30 1.77 3.06834 3.36644
31 1.83 1.52018 3.47199
32 1.89 1.23754 3.56366
33 1.95 1.00444 3.64282
34 2.01 0.978226 3.72477
35 2.07 0.302351 3.75162
36 2.13 0.332115 3.78287
37 2.19 0.274777 3.81019
38 2.25 0.132332 3.82407
39 2.31 0.096217 3.83472
40 2.37 0.148972 3.85208
41 2.43 0.175911 3.87361
42 2.49 0.0721307 3.88287
43 2.55 0.106399 3.89722
44 2.61 0.0917943 3.91019
45 2.67 0.0391892 3.91597
46 2.73 0.125862 3.93542
47 2.79 0.240963 3.97431
48 2.85 0.142981 3.99838
49 2.91 0.195143 4.03264
50 2.97 0.210123 4.07106
51 3.03 0.336879 4.13519
52 3.09 0.339103 4.20231
53 3.15 0.57502 4.3206
54 3.21 0.669772 4.46366
55 3.27 0.903242 4.66389
56 3.33 0.873989 4.86481
57 3.39 1.00567 5.1044
58 3.45 1.05537 5.36481
59 3.51 1.48893 5.74514
60 3.57 1.42809 6.12245
61 3.63 1.85083 6.62801
62 3.69 2.15666 7.23681
63 3.75 1.95233 7.80602
64 3.81 2.26871 8.48866
65 3.87 2.27149 9.19398
66 3.93 2.20217 9.89907
67 3.99 2.1926 10.6227
68 4.05 2.10969 11.34
69 4.11 2.03721 12.0535
70 4.17 2.06108 12.7965
71 4.23 2.01466 13.5438
72 4.29 1.97291 14.2965
73 4.35 1.8617 15.0269
74 4.41 1.68093 15.7046
75 4.47 1.76603 16.4361
76 4.53 1.66405 17.144
77 4.59 1.60863 17.8465
78 4.65 1.39007 18.4697
79 4.71 1.50601 19.1623
80 4.77 1.65146 19.9412
81 4.83 1.60279 20.7164
82 4.89 1.4784 21.4493
83 4.95 1.18408 22.0507
84 5.01 1.117 22.6319
85 5.07 1.08944 23.2125
86 5.13 1.20038 23.8674
87 5.19 1.23147 24.5551
88 5.25 1.36759 25.3366
89 5.31 1.77025 26.3713
90 5.37 1.4866 27.26
91 5.43 1.61899 28.2495
92 5.49 1.57672 29.2347
93 5.55 1.77074 30.3655
94 5.61 2.00744 31.6752
95 5.67 2.11792 33.0868
96 5.73 2.10424 34.519
97 5.79 2.06077 35.9512
98 5.85 1.97394 37.3516
99 5.91 2.12847 38.8928
100 5.97 1.94804 40.3322
53200 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.259309 0.00740741
21 1.23 0.0587398 0.00925926
22 1.29 0.500045 0.0266204
23 1.35 1.0656 0.0671296
24 1.41 3.05879 0.193981
25 1.47 12.0064 0.735185
26 1.53 19.0987 1.66782
27 1.59 13.5856 2.38426
28 1.65 8.20883 2.85046
29 1.71 4.80095 3.14329
30 1.77 2.90113 3.33287
31 1.83 1.87882 3.46412
32 1.89 1.64646 3.58681
33 1.95 0.691731 3.64167
34 2.01 0.83235 3.71181
35 2.07 0.427286 3.75
36 2.13 0.354676 3.78356
37 2.19 0.263787 3.80995
38 2.25 0.133745 3.82407
39 2.31 0.266162 3.8537
40 2.37 0.114617 3.86713
41 2.43 0.118384 3.88171
42 2.49 0.0483279 3.88796
43 2.55 0.11266 3.90324
44 2.61 0.0586451 3.91157
45 2.67 0.0155681 3.91389
46 2.73 0.134026 3.93472
47 2.79 0.236672 3.97315
48 2.85 0.146178 3.99792
49 2.91 0.133701 4.02153
50 2.97 0.246583 4.0669
51 3.03 0.381959 4.14005
52 3.09 0.330121 4.20579
53 3.15 0.584989 4.32685
54 3.21 0.598803 4.45556
55 3.27 0.975574 4.67315
56 3.33 0.839717 4.86736
