# Time-averaged data for fix rdf_PO_save
# TimeStep Number-of-rows
# Row c_rdf_PO[1] c_rdf_PO[2] c_rdf_PO[3]
44000 100
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.0710387 0.00300926
22 1.29 0.31246 0.0175926
23 1.35 0.901447 0.0636574
24 1.41 2.4217 0.198611
25 1.47 10.1106 0.811111
26 1.53 15.8347 1.85023
27 1.59 12.6631 2.74769
28 1.65 6.52994 3.24606
29 1.71 2.72785 3.46968
30 1.77 1.51309 3.60255
31 1.83 1.48683 3.74213
32 1.89 0.631225 3.80532
33 1.95 0.36262 3.84398
34 2.01 0.0450302 3.84907
35 2.07 0.0500247 3.85509
36 2.13 0.200285 3.88056
37 2.19 0.0774521 3.89097
38 2.25 0.0505983 3.89815
39 2.31 0 3.89815
40 2.37 0 3.89815
41 2.43 0 3.89815
42 2.49 0.0332794 3.90394
43 2.55 0.0393643 3.91111
44 2.61 0.055791 3.92176
45 2.67 0.0463355 3.93102
46 2.73 0.0941933 3.95069
47 2.79 0.102926 3.97315
48 2.85 0.0782719 3.99097
49 2.91 0.145324 4.02546
50 2.97 0.25646 4.08889
51 3.03 0.331108 4.17407
52 3.09 0.445321 4.29329
53 3.15 0.367016 4.39537
54 3.21 0.623563 4.57546
55 3.27 0.603044 4.75625
56 3.33 0.835603 5.01597
57 3.39 0.908405 5.30856
58 3.45 1.1566 5.69444
59 3.51 1.03229 6.05093
60 3.57 1.13772 6.45741
61 3.63 1.58439 7.04259
62 3.69 1.84018 7.74491
63 3.75 1.61261 8.38056
64 3.81 1.85165 9.13403
65 3.87 1.99336 9.97083
66 3.93 1.87566 10.7829
67 3.99 1.69626 11.5398
68 4.05 1.62725 12.288
69 4.11 1.87135 13.1741
70 4.17 1.60726 13.9574
71 4.23 1.89172 14.9063
72 4.29 1.75419 15.8111
73 4.35 1.80883 16.7706
74 4.41 1.65654 17.6736
75 4.47 1.57878 18.5579
76 4.53 1.33804 19.3275
77 4.59 1.22504 20.0509
78 4.65 1.00855 20.6623
79 4.71 1.07931 21.3333
80 4.77 1.00103 21.9718
81 4.83 0.87327 22.5428
82 4.89 0.672423 22.9935
83 4.95 0.714446 23.4843
84 5.01 0.650859 23.9421
85 5.07 0.616563 24.3863
86 5.13 0.726435 24.9222
87 5.19 0.894539 25.5977
88 5.25 1.0605 26.4169
89 5.31 1.3094 27.4519
90 5.37 1.44931 28.6234
91 5.43 1.57637 29.9262
92 5.49 1.57775 31.259
93 5.55 1.63028 32.6667
94 5.61 1.97134 34.4058
95 5.67 1.97262 36.1833
96 5.73 1.89143 37.9241
97 5.79 1.83923 39.6523
98 5.85 1.65365 41.2387
99 5.91 1.54253 42.7488
100 5.97 1.54411 44.2914
44300 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.109875 0.00462963
22 1.29 0.204777 0.0141204
23 1.35 0.953249 0.0625
24 1.41 2.75512 0.215046
25 1.47 10.0586 0.82037
26 1.53 16.5223 1.89745
27 1.59 12.2636 2.76088
28 1.65 6.4361 3.24884
29 1.71 2.4558 3.44884
30 1.77 1.9238 3.61667
31 1.83 1.08208 3.71759
32 1.89 0.737608 3.79097
33 1.95 0.376024 3.83079
34 2.01 0.0925995 3.8412
35 2.07 0.145588 3.85856
36 2.13 0.0585848 3.86597
37 2.19 0.0814143 3.87685
38 2.25 0.1166 3.89329
39 2.31 0.0155863 3.8956
40 2.37 0.00444488 3.8963
41 2.43 0.0211291 3.89977
42 2.49 0.0308499 3.90509
43 2.55 0.0153153 3.90787
44 2.61 0.06348 3.91991
45 2.67 0.0349784 3.92685
46 2.73 0.103669 3.94838
47 2.79 0.149538 3.98079
48 2.85 0.0737227 3.99745
49 2.91 0.162936 4.03588
50 2.97 0.267724 4.10162
51 3.03 0.256151 4.16713
52 3.09 0.423076 4.27963
53 3.15 0.423233 4.39653
54 3.21 0.535554 4.55023
55 3.27 0.628186 4.73727
56 3.33 0.798394 4.9838
57 3.39 1.00977 5.30694
58 3.45 1.13494 5.6831
59 3.51 1.00261 6.02708
60 3.57 1.28505 6.4831
61 3.63 1.55954 7.05532
62 3.69 1.84685 7.75556
63 3.75 1.74621 8.43935
64 3.81 1.60456 9.08796
65 3.87 2.08363 9.95694
66 3.93 1.9415 10.7919
67 3.99 1.72101 11.5549
68 4.05 1.68618 12.325
69 4.11 1.87212 13.2056
70 4.17 1.63253 13.9961
71 4.23 1.84073 14.9132
72 4.29 1.82032 15.8461
73 4.35 1.76733 16.7773
74 4.41 1.64188 17.6664
75 4.47 1.5659 18.5377
76 4.53 1.29917 19.2801
77 4.59 1.31512 20.0516
78 4.65 1.0158 20.6632
79 4.71 1.0942 21.3391
80 4.77 1.04418 22.0007
81 4.83 0.806464 22.5245
82 4.89 0.755774 23.0278
83 4.95 0.694806 23.5019
84 5.01 0.596115 23.9185
85 5.07 0.647141 24.3817
86 5.13 0.839363 24.9968
87 5.19 0.93207 25.6958
88 5.25 1.11105 26.5486
89 5.31 1.15164 27.4528
90 5.37 1.50801 28.6637
91 5.43 1.58076 29.9616
92 5.49 1.60585 31.3093
93 5.55 1.64168 32.7174
94 5.61 1.94274 34.4199
95 5.67 1.9556 36.1706
96 5.73 1.89793 37.9058
97 5.79 1.83941 39.6229
98 5.85 1.66159 41.2062
99 5.91 1.55511 42.7188
100 5.97 1.59121 44.2979
44400 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0.110345 0.00462963
22 1.29 0.200642 0.0138889
23 1.35 1.04887 0.0668981
24 1.41 2.52329 0.206019
25 1.47 10.7203 0.84838
26 1.53 17.081 1.95718
27 1.59 11.9959 2.79815
