# Fix print output for fix temp_monitor
Mobile temp: 510.17740371356592277 K (Target: 973K)
Mobile temp: 515.90321453163812748 K (Target: 973K)
Mobile temp: 499.73292384432761537 K (Target: 973K)
Mobile temp: 487.98648017435277779 K (Target: 973K)
Mobile temp: 496.74226994673500712 K (Target: 973K)
Mobile temp: 458.12630560538786995 K (Target: 973K)
Mobile temp: 469.0211036484631677 K (Target: 973K)
Mobile temp: 467.45374771017714011 K (Target: 973K)
Mobile temp: 477.54799002526829099 K (Target: 973K)
Mobile temp: 499.14577618663014391 K (Target: 973K)
Mobile temp: 516.23239572444924761 K (Target: 973K)
Mobile temp: 493.99211777994440808 K (Target: 973K)
Mobile temp: 476.88787957172479537 K (Target: 973K)
Mobile temp: 496.9379377040324357 K (Target: 973K)
Mobile temp: 499.17389985275445952 K (Target: 973K)
Mobile temp: 483.99777753304340422 K (Target: 973K)
Mobile temp: 482.2919807657117417 K (Target: 973K)
Mobile temp: 491.52453857631127221 K (Target: 973K)
Mobile temp: 480.34585002312269353 K (Target: 973K)
Mobile temp: 501.04899089783538102 K (Target: 973K)
Mobile temp: 479.18821322292092191 K (Target: 973K)
Mobile temp: 497.70474282292155976 K (Target: 973K)
Mobile temp: 485.59333153376849168 K (Target: 973K)
Mobile temp: 473.93780750839181337 K (Target: 973K)
Mobile temp: 466.13383635343467404 K (Target: 973K)
Mobile temp: 471.88132697315330688 K (Target: 973K)
Mobile temp: 501.24919340588490968 K (Target: 973K)
Mobile temp: 493.7347800033979297 K (Target: 973K)
Mobile temp: 482.33098978137070389 K (Target: 973K)
Mobile temp: 479.44596356792663983 K (Target: 973K)
Mobile temp: 484.10886515399835162 K (Target: 973K)
Mobile temp: 497.15224376819406871 K (Target: 973K)
Mobile temp: 512.21943239050074226 K (Target: 973K)
Mobile temp: 513.89228037357815992 K (Target: 973K)
Mobile temp: 508.54802609913872402 K (Target: 973K)
Mobile temp: 497.76440511209221995 K (Target: 973K)
Mobile temp: 490.71029895240104679 K (Target: 973K)
Mobile temp: 467.02732339183376098 K (Target: 973K)
Mobile temp: 497.19385158488313436 K (Target: 973K)
Mobile temp: 508.33836246952239435 K (Target: 973K)
Mobile temp: 472.18031942338780027 K (Target: 973K)
Mobile temp: 493.78583715032550572 K (Target: 973K)
Mobile temp: 510.71212674325829539 K (Target: 973K)
Mobile temp: 482.83697654473212424 K (Target: 973K)
Mobile temp: 475.72416065570592991 K (Target: 973K)
Mobile temp: 476.48897422464955298 K (Target: 973K)
Mobile temp: 504.00146519660074773 K (Target: 973K)
Mobile temp: 500.62340198391143531 K (Target: 973K)
Mobile temp: 485.40316454561479986 K (Target: 973K)
Mobile temp: 470.51491922917659849 K (Target: 973K)
Mobile temp: 480.73242593427914926 K (Target: 973K)
Mobile temp: 482.47086595263408526 K (Target: 973K)
Mobile temp: 477.50881421296202234 K (Target: 973K)
Mobile temp: 479.55249186201609746 K (Target: 973K)
Mobile temp: 499.42241700256187187 K (Target: 973K)
Mobile temp: 503.14918089702842963 K (Target: 973K)
Mobile temp: 510.5461761275901722 K (Target: 973K)
Mobile temp: 503.93644299592494917 K (Target: 973K)
Mobile temp: 503.46497179658786081 K (Target: 973K)
Mobile temp: 507.91204122683444666 K (Target: 973K)
Mobile temp: 510.78917805956848497 K (Target: 973K)
Mobile temp: 515.4420927670397532 K (Target: 973K)
Mobile temp: 504.73272896889062622 K (Target: 973K)
Mobile temp: 505.25053345899493706 K (Target: 973K)
Mobile temp: 480.68550723250842793 K (Target: 973K)
Mobile temp: 490.23726153138051131 K (Target: 973K)
Mobile temp: 478.56912581475040724 K (Target: 973K)
Mobile temp: 492.01826854570219894 K (Target: 973K)
Mobile temp: 490.86596781740286133 K (Target: 973K)
Mobile temp: 494.10238102695205953 K (Target: 973K)
Mobile temp: 484.62337841137440364 K (Target: 973K)
Mobile temp: 480.1865354110555586 K (Target: 973K)
Mobile temp: 487.52524378801149396 K (Target: 973K)
Mobile temp: 482.04161903899824893 K (Target: 973K)
Mobile temp: 500.41450559938283504 K (Target: 973K)
Mobile temp: 500.12069849455770054 K (Target: 973K)
Mobile temp: 512.88005935547028002 K (Target: 973K)
Mobile temp: 509.91201996216125281 K (Target: 973K)
Mobile temp: 499.2384730854839745 K (Target: 973K)
Mobile temp: 498.06014085836227423 K (Target: 973K)
Mobile temp: 490.86188325994305615 K (Target: 973K)
Mobile temp: 481.631603214197753 K (Target: 973K)
Mobile temp: 481.55798110878231455 K (Target: 973K)
Mobile temp: 486.36486534765185752 K (Target: 973K)
Mobile temp: 467.833351620869621 K (Target: 973K)
Mobile temp: 486.98291002550786288 K (Target: 973K)
Mobile temp: 494.84150596726476579 K (Target: 973K)
Mobile temp: 492.95638910726694348 K (Target: 973K)
Mobile temp: 462.0670532910496604 K (Target: 973K)
Mobile temp: 469.77980612140908079 K (Target: 973K)
Mobile temp: 455.01672659136767152 K (Target: 973K)
Mobile temp: 473.80935971622045599 K (Target: 973K)
Mobile temp: 490.41714422945898377 K (Target: 973K)
Mobile temp: 483.93897605263111927 K (Target: 973K)
Mobile temp: 486.60567198131599298 K (Target: 973K)
Mobile temp: 506.47796103573523396 K (Target: 973K)
Mobile temp: 487.32779481940343658 K (Target: 973K)
Mobile temp: 483.01515501486017001 K (Target: 973K)
Mobile temp: 469.2776747940228006 K (Target: 973K)
Mobile temp: 471.26953862947260632 K (Target: 973K)
Mobile temp: 469.85660449030831387 K (Target: 973K)
Mobile temp: 459.45316125175060051 K (Target: 973K)
Mobile temp: 464.49330686225869158 K (Target: 973K)
Mobile temp: 453.62060212053609121 K (Target: 973K)
Mobile temp: 466.45252474757143091 K (Target: 973K)
Mobile temp: 458.90778883707776004 K (Target: 973K)
Mobile temp: 467.52512606955315277 K (Target: 973K)
Mobile temp: 468.59970244888279467 K (Target: 973K)
Mobile temp: 470.8711964709956419 K (Target: 973K)
Mobile temp: 456.14763503419283097 K (Target: 973K)
Mobile temp: 457.99452081508775336 K (Target: 973K)
Mobile temp: 459.23530063854934724 K (Target: 973K)
Mobile temp: 456.41370800966956267 K (Target: 973K)
Mobile temp: 478.74131269052486459 K (Target: 973K)
Mobile temp: 460.18532849178461674 K (Target: 973K)
Mobile temp: 466.17077343527802213 K (Target: 973K)
Mobile temp: 473.09550709012688685 K (Target: 973K)
Mobile temp: 478.08886995145587662 K (Target: 973K)
Mobile temp: 454.75771684863235578 K (Target: 973K)
Mobile temp: 460.76843903319263518 K (Target: 973K)
Mobile temp: 478.97120568514981187 K (Target: 973K)
Mobile temp: 461.29454090170025893 K (Target: 973K)
Mobile temp: 468.03501600596359822 K (Target: 973K)
Mobile temp: 480.23185277314280484 K (Target: 973K)
Mobile temp: 479.07738746767972771 K (Target: 973K)
Mobile temp: 446.21156356854953628 K (Target: 973K)
Mobile temp: 458.56097154785959447 K (Target: 973K)
Mobile temp: 468.70362170439290139 K (Target: 973K)
Mobile temp: 465.38166041915303595 K (Target: 973K)
Mobile temp: 476.84547605073049681 K (Target: 973K)
Mobile temp: 468.10840900260302533 K (Target: 973K)
Mobile temp: 473.7914823093395853 K (Target: 973K)
Mobile temp: 472.12981730287657456 K (Target: 973K)
Mobile temp: 475.85644445343774578 K (Target: 973K)
Mobile temp: 496.06513441422862343 K (Target: 973K)
Mobile temp: 491.49327795455957357 K (Target: 973K)
Mobile temp: 488.89864034838029738 K (Target: 973K)
Mobile temp: 496.81766266008889943 K (Target: 973K)
Mobile temp: 476.30056216151513127 K (Target: 973K)
Mobile temp: 475.02173275251448104 K (Target: 973K)
Mobile temp: 485.88359403110592893 K (Target: 973K)
Mobile temp: 487.85171450037961449 K (Target: 973K)
Mobile temp: 452.83932082603195113 K (Target: 973K)
Mobile temp: 472.21727720157440444 K (Target: 973K)
Mobile temp: 464.73857858695578216 K (Target: 973K)
Mobile temp: 470.19254360358996792 K (Target: 973K)
Mobile temp: 464.85227924410270361 K (Target: 973K)
Mobile temp: 478.464204225747892 K (Target: 973K)
Mobile temp: 476.60387846613281226 K (Target: 973K)
Mobile temp: 471.22694549265366959 K (Target: 973K)
Mobile temp: 466.49668393890493689 K (Target: 973K)
Mobile temp: 491.86415588365423446 K (Target: 973K)
Mobile temp: 466.92622374282683495 K (Target: 973K)
Mobile temp: 454.42811251693785835 K (Target: 973K)
Mobile temp: 487.06894144294477655 K (Target: 973K)
Mobile temp: 487.35343205993996207 K (Target: 973K)
Mobile temp: 476.4614076681909296 K (Target: 973K)
