# Fix print output for fix temp_monitor
Mobile temp: 464.31309699686596559 K (Target: 973K)
Mobile temp: 438.56262144841599593 K (Target: 973K)
Mobile temp: 441.53971513515210745 K (Target: 973K)
Mobile temp: 473.14740434560212634 K (Target: 973K)
Mobile temp: 479.68103403737825374 K (Target: 973K)
Mobile temp: 454.66234446139765168 K (Target: 973K)
Mobile temp: 473.3935552467061143 K (Target: 973K)
Mobile temp: 480.6958385946648491 K (Target: 973K)
Mobile temp: 482.16042249826881516 K (Target: 973K)
Mobile temp: 458.77212842541200644 K (Target: 973K)
Mobile temp: 478.4866660240766123 K (Target: 973K)
Mobile temp: 472.01244928327844264 K (Target: 973K)
Mobile temp: 455.85888823946714865 K (Target: 973K)
Mobile temp: 474.60534374959598836 K (Target: 973K)
Mobile temp: 496.41420591731838385 K (Target: 973K)
Mobile temp: 496.94912232619373071 K (Target: 973K)
Mobile temp: 473.29080897090562985 K (Target: 973K)
Mobile temp: 473.686546881723757 K (Target: 973K)
Mobile temp: 456.04991602675778495 K (Target: 973K)
Mobile temp: 471.40159391065515138 K (Target: 973K)
Mobile temp: 462.29487903989297592 K (Target: 973K)
Mobile temp: 473.44560575498888966 K (Target: 973K)
Mobile temp: 482.1371098989372399 K (Target: 973K)
Mobile temp: 485.4227147266059319 K (Target: 973K)
Mobile temp: 460.80165703337070227 K (Target: 973K)
Mobile temp: 485.35363683145715186 K (Target: 973K)
Mobile temp: 486.0429112184568794 K (Target: 973K)
Mobile temp: 467.18753558714968221 K (Target: 973K)
Mobile temp: 485.52955175147832279 K (Target: 973K)
Mobile temp: 469.5378995941760536 K (Target: 973K)
Mobile temp: 482.20728069950854433 K (Target: 973K)
Mobile temp: 494.70415143984962469 K (Target: 973K)
Mobile temp: 498.18371115071198574 K (Target: 973K)
Mobile temp: 498.885168819429623 K (Target: 973K)
Mobile temp: 496.06770017625319724 K (Target: 973K)
Mobile temp: 484.63248097397297443 K (Target: 973K)
Mobile temp: 465.88189378246198658 K (Target: 973K)
Mobile temp: 473.8523285322315246 K (Target: 973K)
Mobile temp: 463.59631751576108627 K (Target: 973K)
Mobile temp: 477.92575193496111297 K (Target: 973K)
Mobile temp: 488.96422367485178029 K (Target: 973K)
Mobile temp: 462.99944135799398737 K (Target: 973K)
Mobile temp: 469.30047657141608397 K (Target: 973K)
