# Time-averaged data for fix rdf_CaO_save
# TimeStep Number-of-rows
# Row c_rdf_CaO[1] c_rdf_CaO[2] c_rdf_CaO[3]
44000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.143352 0.00555556
21 1.23 0.12971 0.0111111
22 1.29 0 0.0111111
23 1.35 0 0.0111111
24 1.41 0.190015 0.0218056
25 1.47 0.00681543 0.0222222
26 1.53 0 0.0222222
27 1.59 0 0.0222222
28 1.65 0 0.0222222
29 1.71 0 0.0222222
30 1.77 0 0.0222222
31 1.83 0.0190525 0.0240278
32 1.89 0.133245 0.0375
33 1.95 0.303229 0.0701389
34 2.01 0.58053 0.136528
35 2.07 1.47596 0.315556
36 2.13 1.93264 0.56375
37 2.19 2.74583 0.936528
38 2.25 3.54928 1.44514
39 2.31 3.64043 1.995
40 2.37 4.20524 2.66361
41 2.43 4.11492 3.35139
42 2.49 3.55175 3.97472
43 2.55 2.81083 4.49208
44 2.61 2.42948 4.96056
45 2.67 2.14197 5.39278
46 2.73 1.74339 5.76056
47 2.79 1.42647 6.07486
48 2.85 1.34051 6.38306
49 2.91 1.06791 6.63903
50 2.97 1.06747 6.90556
51 3.03 0.734337 7.09639
52 3.09 0.634683 7.26792
53 3.15 0.615669 7.44083
54 3.21 0.569059 7.60681
55 3.27 0.634634 7.79889
56 3.33 0.656217 8.00486
57 3.39 0.75359 8.25
58 3.45 0.740823 8.49958
59 3.51 0.75354 8.76236
60 3.57 0.681839 9.00833
61 3.63 0.634158 9.24486
62 3.69 0.799311 9.55292
63 3.75 0.957796 9.93417
64 3.81 0.936347 10.3189
65 3.87 1.25777 10.8521
66 3.93 1.28985 11.416
67 3.99 1.43535 12.0628
68 4.05 1.36655 12.6972
69 4.11 1.31879 13.3278
70 4.17 1.50683 14.0694
71 4.23 1.41039 14.7837
72 4.29 1.60586 15.6203
73 4.35 1.51983 16.4343
74 4.41 1.29331 17.1462
75 4.47 1.291 17.8764
76 4.53 1.40722 18.6938
77 4.59 1.41068 19.535
78 4.65 1.46077 20.429
79 4.71 1.28111 21.2335
80 4.77 1.27391 22.0539
81 4.83 1.205 22.8496
82 4.89 1.11427 23.6038
83 4.95 1.03272 24.32
84 5.01 0.982538 25.0181
85 5.07 0.936527 25.6994
86 5.13 1.02045 26.4596
87 5.19 0.939819 27.1761
88 5.25 0.920387 27.8942
89 5.31 1.03304 28.7186
90 5.37 1.1176 29.6308
91 5.43 1.21555 30.6453
92 5.49 1.35744 31.8033
93 5.55 1.33112 32.9639
94 5.61 1.19802 34.0311
95 5.67 1.20592 35.1285
96 5.73 1.15333 36.2003
97 5.79 1.11928 37.2624
98 5.85 1.14603 38.3725
99 5.91 1.05281 39.4133
100 5.97 1.13622 40.5596
44100 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0.143824 0.00555556
21 1.23 0.130138 0.0111111
22 1.29 0 0.0111111
23 1.35 0 0.0111111
24 1.41 0.170866 0.0206944
25 1.47 0.0250318 0.0222222
26 1.53 0 0.0222222
27 1.59 0 0.0222222
28 1.65 0 0.0222222
29 1.71 0 0.0222222
30 1.77 0 0.0222222
31 1.83 0.0117446 0.0233333
32 1.89 0.0978308 0.0331944
33 1.95 0.264074 0.0615278
34 2.01 0.755549 0.147639
35 2.07 1.37171 0.313472
36 2.13 2.04424 0.575139
37 2.19 2.6554 0.934444
38 2.25 3.36049 1.41444
39 2.31 3.98455 2.01431
40 2.37 4.18862 2.67806
41 2.43 3.99812 3.34417
42 2.49 3.66683 3.98556
43 2.55 2.90571 4.51861
