# Time-averaged data for fix proton_water
# TimeStep c_count_H_water c_count_O_carbonate c_avg_H_strong c_avg_H_mobile
43900 0 1 0.569444 2.50833
44000 0 1 0.577083 2.43889
44100 0 1 0.569444 2.48819
44200 0 1 0.534722 2.41736
44300 0 1 0.554861 2.47083
44400 0 1 0.548611 2.41875
44500 0 1 0.527778 2.43611
44600 0 1 0.531944 2.49028
44700 0 1 0.5375 2.49375
44800 0 1 0.517361 2.46944
44900 0 1 0.528472 2.40972
45000 0 1 0.523611 2.42778
45100 0 1 0.534028 2.49236
45200 0 1 0.545833 2.49375
45300 0 1 0.561806 2.47847
45400 0 1 0.524306 2.46736
45500 0 1 0.513889 2.44514
45600 0 1 0.538889 2.42014
45700 0.2 1 0.513889 2.44514
45800 0 1 0.519444 2.49722
45900 0 1 0.515278 2.47292
46000 0 1 0.516667 2.49792
46100 1 1 0.535417 2.41111
46200 1 1 0.534722 2.4375
46300 0 1 0.569444 2.48125
46400 1 1 0.53125 2.4375
46500 1 1 0.564583 2.37708
46600 1 1 0.563194 2.40625
46700 1 1 0.541667 2.42083
46800 1 1 0.522222 2.41597
46900 0 1 0.543056 2.38889
47000 0 1 0.534722 2.40069
47100 0 1 0.534722 2.39167
47200 1 1 0.5625 2.42708
47300 1 1 0.558333 2.36458
47400 1 1 0.548611 2.41875
47500 1 1 0.566667 2.4125
47600 1 1 0.539583 2.41389
47700 1 1 0.548611 2.36042
47800 1 1 0.54375 2.40556
47900 0 1 0.541667 2.37708
48000 1 1 0.5375 2.37153
48100 0 1 0.536806 2.40486
48200 1 1 0.545833 2.36875
48300 0.4 1 0.529861 2.38194
48400 1 1 0.54375 2.40278
48500 0 1 0.534722 2.41944
48600 1 1 0.536111 2.40833
48700 0.2 1 0.498611 2.41806
48800 1 1 0.547222 2.38125
48900 0 1 0.524306 2.38472
49000 1 1 0.541667 2.35972
49100 1 1 0.543056 2.34653
49200 1 1 0.543056 2.40694
49300 0 1 0.529861 2.41042
49400 1 1 0.510417 2.32639
49500 0 1 0.525694 2.33681
49600 1 1 0.5 2.32986
49700 0 1 0.502083 2.40833
49800 1 1 0.540278 2.37986
49900 0 1 0.542361 2.35069
50000 0 1 0.520833 2.39792
50100 0 1 0.519444 2.33264
50200 0 1 0.511806 2.35486
50300 1 1 0.518056 2.32847
50400 0 1 0.518056 2.40903
50500 1 1 0.5375 2.25208
50600 0 1 0.523611 2.35972
50700 1 1 0.522917 2.33542
50800 0 1 0.520833 2.40208
50900 1 1 0.543056 2.37778
51000 0 1 0.525 2.36875
51100 0.6 1 0.54375 2.36667
51200 0 1 0.538889 2.35208
51300 0 1 0.520139 2.31806
51400 0 1 0.522222 2.37986
51500 0 1 0.486806 2.36597
51600 0 1 0.506944 2.31736
51700 0 1 0.543056 2.29931
51800 0 1 0.54375 2.3125
51900 0 1 0.556944 2.27639
52000 0 1 0.569444 2.33333
52100 1 1 0.5625 2.3625
52200 0 1 0.583333 2.32986
52300 1.8 1 0.55 2.40972
52400 0 1 0.557639 2.32847
52500 0 1 0.589583 2.29444
52600 1 1 0.572222 2.32083
52700 0 1 0.588889 2.31042
52800 0.4 1 0.583333 2.31111
52900 1 1 0.583333 2.32778
53000 0.5 1 0.590278 2.33194
53100 0 1 0.597917 2.43194
53200 0 1 0.602083 2.35903
53300 0 1 0.584722 2.32917
53400 0 1 0.579861 2.36944
53500 0 1 0.599306 2.34722
53600 0 1 0.597222 2.36944
53700 0 1 0.615972 2.30625
53800 0 1 0.594444 2.30625
53900 2 1 0.611111 2.34375
54000 2 1 0.599306 2.31736
54100 0.5 1 0.602083 2.28958
54200 0 1 0.589583 2.32917
54300 0 1 0.574306 2.35208
54400 0 1 0.625 2.34653
54500 1.9 1 0.60625 2.33889
54600 0.2 1 0.579167 2.34792
54700 0 1 0.626389 2.30208
54800 1.9 1 0.589583 2.31736
54900 0.2 1 0.597222 2.34375
55000 1 1 0.597222 2.33333
55100 2 1 0.597917 2.27986
55200 1 1 0.590972 2.30139
55300 1 1 0.6 2.29792
55400 1.9 1 0.590278 2.32361
55500 1 1 0.638889 2.28819
55600 2.2 1 0.595139 2.34167
55700 1 1 0.631944 2.34167
55800 1 1 0.604167 2.28611
55900 1 1 0.618056 2.28125
56000 1 1 0.598611 2.33819
56100 1.7 1 0.628472 2.29444
56200 2.5 1 0.628472 2.31042
56300 1.6 1 0.622222 2.32222
56400 2.8 1 0.651389 2.25208
56500 1 1 0.647222 2.27083
56600 3 1 0.620139 2.27292
56700 1 1 0.611806 2.30903
56800 2 1 0.617361 2.25764
56900 1.3 1 0.613194 2.28333
57000 2 1 0.632639 2.27917
57100 1 1 0.627778 2.29306
57200 1 1 0.63125 2.275
57300 1.5 1 0.634722 2.23403
57400 1 1 0.618056 2.27917
57500 1 1 0.625 2.25
57600 1 1 0.604167 2.28958
57700 1 1 0.625 2.26319
57800 1.8 1 0.615972 2.30208
57900 1 1 0.622222 2.27431
58000 1 1 0.619444 2.30764
58100 1 1 0.631944 2.31528
