# Time-averaged data for fix rdf_OH_save
# TimeStep Number-of-rows
# Row c_rdf_OH_bond[1] c_rdf_OH_bond[2] c_rdf_OH_bond[3]
44000 100
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0.125007 9.90099e-05
40 0.79 0.237517 0.00029703
41 0.81 0.113117 0.00039604
42 0.83 0.48528 0.000841584
43 0.85 1.80062 0.00257426
44 0.87 2.65151 0.00524752
45 0.89 2.25113 0.00762376
46 0.91 9.42454 0.0180198
47 0.93 6.10159 0.0250495
48 0.95 5.68036 0.0318812
49 0.97 4.97527 0.0381188
50 0.99 6.1796 0.0461881
51 1.01 3.60735 0.0510891
52 1.03 1.61082 0.0533663
53 1.05 2.09015 0.0564356
54 1.07 1.75336 0.0591089
55 1.09 2.03387 0.0623267
56 1.11 2.29139 0.0660891
57 1.13 1.13608 0.0680198
58 1.15 0.955623 0.069703
59 1.17 1.27554 0.0720297
60 1.19 1.83631 0.075495
61 1.21 1.47256 0.0783663
62 1.23 1.35086 0.0810891
63 1.25 1.64093 0.084505
64 1.27 1.47445 0.0876733
65 1.29 1.54062 0.0910891
66 1.31 1.42971 0.0943564
67 1.33 1.87029 0.0987624
68 1.35 1.51035 0.102426
69 1.37 1.66368 0.106584
70 1.39 1.73208 0.11104
71 1.41 1.4766 0.11495
72 1.43 2.43533 0.121584
73 1.45 1.59019 0.12604
74 1.47 1.66839 0.130842
75 1.49 1.50674 0.135297
76 1.51 1.30456 0.139257
77 1.53 1.66614 0.144455
78 1.55 2.16554 0.151386
79 1.57 1.80899 0.157327
80 1.59 2.54298 0.165891
81 1.61 3.842 0.179158
82 1.63 2.88091 0.189356
83 1.65 2.74351 0.199307
84 1.67 2.91846 0.210149
85 1.69 4.307 0.226535
86 1.71 1.9691 0.234208
87 1.73 1.65051 0.240792
88 1.75 3.68923 0.255842
89 1.77 2.43175 0.26599
90 1.79 1.94821 0.274307
91 1.81 1.64473 0.281485
92 1.83 2.16346 0.291139
93 1.85 1.8354 0.299505
94 1.87 0.956126 0.30396
95 1.89 1.63334 0.311733
96 1.91 1.35387 0.318317
97 1.93 1.18684 0.324208
98 1.95 1.1632 0.330099
99 1.97 1.88687 0.339851
100 1.99 1.02309 0.345248
44300 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
22 0.43 0 0
23 0.45 0 0
24 0.47 0 0
25 0.49 0 0
26 0.51 0 0
27 0.53 0 0
28 0.55 0 0
29 0.57 0 0
30 0.59 0 0
31 0.61 0 0
32 0.63 0 0
33 0.65 0 0
34 0.67 0 0
35 0.69 0 0
36 0.71 0 0
37 0.73 0 0
38 0.75 0 0
39 0.77 0 0
40 0.79 0 0
41 0.81 0 0
42 0.83 0.488745 0.000445545
43 0.85 2.79586 0.00311881
44 0.87 2.66906 0.00579208
45 0.89 1.18113 0.0070297
46 0.91 10.5704 0.0186139
47 0.93 6.05543 0.0255446
48 0.95 5.47039 0.0320792
49 0.97 7.63417 0.0415842
50 0.99 6.33604 0.049802
51 1.01 4.51025 0.0558911
52 1.03 1.94002 0.0586139
53 1.05 2.07015 0.0616337
54 1.07 2.614 0.0655941
55 1.09 1.25956 0.0675743
56 1.11 1.73042 0.070396
57 1.13 1.17109 0.0723762
58 1.15 1.21588 0.074505
59 1.17 0.929484 0.0761881
60 1.19 1.18888 0.0784158
61 1.21 1.17568 0.0806931
62 1.23 1.0881 0.0828713
63 1.25 1.67616 0.0863366
64 1.27 1.83244 0.0902475
65 1.29 1.14651 0.0927723
66 1.31 0.741134 0.0944554
67 1.33 0.973207 0.0967327
68 1.35 1.88708 0.101287
69 1.37 1.89292 0.10599
70 1.39 1.14174 0.108911
71 1.41 1.54299 0.11297
72 1.43 2.2868 0.119158
73 1.45 1.63617 0.123713
74 1.47 1.21088 0.127178
75 1.49 2.22412 0.133713
76 1.51 1.36141 0.137822
77 1.53 1.42209 0.142228
78 1.55 1.68166 0.147574
79 1.57 1.60876 0.152822
80 1.59 2.50155 0.161188
81 1.61 3.23252 0.172277
82 1.63 3.25308 0.183713
83 1.65 2.54202 0.192871
84 1.67 3.11213 0.204356
85 1.69 4.5712 0.221634
86 1.71 1.81646 0.228663
87 1.73 1.89974 0.236188
88 1.75 4.34845 0.253812
89 1.77 2.62735 0.264703
90 1.79 2.25364 0.274257
91 1.81 2.2151 0.283861
92 1.83 1.93259 0.292426
93 1.85 2.1099 0.30198
94 1.87 1.36952 0.308317
95 1.89 1.50794 0.315446
96 1.91 1.046 0.320495
97 1.93 1.61694 0.328465
98 1.95 1.51502 0.336089
99 1.97 1.89875 0.345842
100 1.99 1.18085 0.35203
44400 100
1 0.01 0 0
2 0.03 0 0
3 0.05 0 0
4 0.07 0 0
5 0.09 0 0
6 0.11 0 0
7 0.13 0 0
8 0.15 0 0
9 0.17 0 0
10 0.19 0 0
11 0.21 0 0
12 0.23 0 0
13 0.25 0 0
14 0.27 0 0
15 0.29 0 0
16 0.31 0 0
17 0.33 0 0
18 0.35 0 0
19 0.37 0 0
20 0.39 0 0
21 0.41 0 0
