# Time-averaged data for fix energy_time
# TimeStep v_pe_inst
89100 -832085
89200 -832087
89300 -832090
89400 -832095
89500 -832083
89600 -832088
89700 -832087
89800 -832084
89900 -832085
90000 -832089
90100 -832088
90200 -832086
90300 -832086
90400 -832084
90500 -832083
90600 -832079
90700 -832086
90800 -832094
90900 -832079
91000 -832079
91100 -832084
91200 -832079
91300 -832082
91400 -832077
91500 -832084
91600 -832078
91700 -832086
91800 -832082
91900 -832076
92000 -832070
92100 -832072
92200 -832071
92300 -832074
92400 -832071
92500 -832059
92600 -832069
92700 -832071
92800 -832064
92900 -832068
93000 -832067
93100 -832071
93200 -832065
93300 -832066
93400 -832062
93500 -832066
93600 -832063
93700 -832059
93800 -832068
