# Time-averaged data for fix co2_dynamics_monitor
# TimeStep v_E_binding v_co2_surf_distance v_coverage v_CO2_height c_coord_avg_short c_coord_avg_medium c_coord_avg_long c_count_molecular c_count_polarized c_count_carbonate
87000 -687.341 16.1753 0.000577701 16.1753 1 1 1 0 0 0
87500 -687.135 16.3276 0.000577701 16.3276 1 1 1 0 0 0
88000 -686.654 16.2983 0.000577701 16.2983 1 1 1 0 0 0
88500 -687.253 15.8347 0.000577701 15.8347 1 1 1 0 0 0
89000 -686.64 16.6039 0.000577701 16.6039 1 1 1 0 0 0
89500 -687.209 15.4237 0.000577701 15.4237 1 1 1 0 0 0
90000 -686.976 16.2931 0.000577701 16.2931 1 1 1 0 0 0
90500 -687.117 15.3796 0.000577701 15.3796 1 1 1 0 0 0
91000 -686.956 15.406 0.000577701 15.406 1 1 1 0 0 0
91500 -686.641 15.3059 0.000577701 15.3059 1 1 1 0 0 0
92000 -686.179 15.4116 0.000577701 15.4116 1 1 1 0 0 0
92500 -686.472 15.1929 0.000577701 15.1929 1 1 1 0 0 0
93000 -687.134 14.8882 0.000577701 14.8882 1 1 1 0 0 0
93500 -686.977 15.6639 0.000577701 15.6639 1 1 1 0 0 0
