# Time-averaged data for fix msd_output
# TimeStep Number-of-rows
# Row c_msd_HAP c_msd_CO2
43900 4
1 0.00420002 0.00141163
2 0.00334115 4.76012e-06
3 0.579109 134.311
4 0.58665 134.312
49200 4
1 0.00436076 0.00146565
2 0.00346901 4.94229e-06
3 0.613232 136.721
4 0.621061 136.722
49300 4
1 0.00452451 0.00152069
2 0.00359928 5.12789e-06
3 0.639444 143.171
4 0.647567 143.172
49400 4
1 0.00469128 0.00157675
2 0.00373195 5.3169e-06
3 0.690982 150.505
4 0.699405 150.507
49500 4
1 0.00486107 0.00163381
2 0.00386702 5.50933e-06
3 0.720063 153.02
4 0.728791 153.022
49600 4
1 0.00503388 0.00169189
2 0.00400449 5.70519e-06
3 0.749231 156.176
4 0.758269 156.178
49700 4
1 0.00520971 0.00175099
2 0.00414436 5.90446e-06
3 0.799165 163.746
4 0.808519 163.748
49800 4
1 0.00538855 0.0018111
2 0.00428663 6.10716e-06
3 0.841174 170.608
4 0.85085 170.61
49900 4
1 0.00557042 0.00187222
2 0.0044313 6.31328e-06
3 0.879251 172.655
4 0.889253 172.657
50000 4
1 0.0057553 0.00193436
2 0.00457838 6.52281e-06
3 0.916191 177.19
4 0.926525 177.192
50100 4
1 0.0059432 0.00199752
2 0.00472785 6.73577e-06
3 0.969241 185.988
4 0.979913 185.99
50200 4
1 0.00613411 0.00206169
2 0.00487973 6.95215e-06
3 1.01694 191.587
4 1.02796 191.589
50300 4
1 0.00632805 0.00212687
2 0.00503401 7.17195e-06
3 1.06925 193.848
4 1.08061 193.85
50400 4
1 0.006525 0.00219307
2 0.00519068 7.39517e-06
3 1.137 200.669
4 1.14871 200.671
50500 4
1 0.00672498 0.00226028
2 0.00534976 7.62181e-06
3 1.18209 210.142
4 1.19417 210.144
50600 4
1 0.00692797 0.0023285
2 0.00551124 7.85188e-06
3 1.22251 214.088
4 1.23495 214.091
50700 4
1 0.00713398 0.00239774
2 0.00567513 8.08536e-06
3 1.27809 218.27
4 1.2909 218.273
50800 4
1 0.007343 0.002468
