# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      6.81e+03    3.21e+03      6.25e+00    8.90e+00      2.15e+02    1.02e+02    1.0e-03
    100      1.95e+04    3.44e+03      2.67e+01    1.27e+01      6.17e+02    1.09e+02    1.0e-03
    200      2.91e+03    1.11e+04      1.64e+01    3.07e+01      9.19e+01    3.52e+02    1.0e-03
    300      1.94e+04    2.71e+03      3.21e+01    1.84e+01      6.15e+02    8.56e+01    1.0e-03
    400      3.03e+03    2.90e+03      3.20e+01    3.13e+01      9.55e+01    9.16e+01    1.0e-03
    500      5.75e+03    2.84e+03      4.77e+01    4.27e+01      1.82e+02    8.95e+01    1.0e-03
    600      1.88e+04    2.54e+03      8.14e+01    6.51e+01      5.95e+02    7.92e+01    1.0e-03
    700      4.25e+03    3.13e+03      8.21e+01    8.04e+01      1.33e+02    9.77e+01    1.0e-03
    800      3.89e+03    2.43e+03      9.67e+01    9.11e+01      1.21e+02    7.48e+01    1.0e-03
    900      1.84e+04    5.09e+03      1.02e+02    9.79e+01      5.82e+02    1.60e+02    1.0e-03
   1000      3.69e+03    2.20e+03      1.15e+02    1.10e+02      1.14e+02    6.60e+01    1.0e-03
   1100      6.66e+03    5.20e+03      8.96e+01    8.87e+01      2.10e+02    1.64e+02    1.0e-03
   1200      2.89e+03    2.40e+03      1.26e+02    1.26e+02      8.81e+01    7.16e+01    1.0e-03
   1300      4.76e+03    2.16e+03      1.28e+02    1.23e+02      1.48e+02    6.38e+01    1.0e-03
   1400      3.79e+03    2.13e+03      1.58e+02    1.53e+02      1.15e+02    6.02e+01    1.0e-03
   1500      2.44e+03    4.97e+04      1.55e+02    1.95e+02      7.08e+01    1.57e+03    1.0e-03
   1600      2.43e+03    4.62e+03      1.45e+02    1.51e+02      7.12e+01    1.43e+02    1.0e-03
   1700      1.82e+04    2.40e+03      1.75e+02    1.67e+02      5.70e+02    6.83e+01    1.0e-03
   1800      1.83e+04    2.39e+03      1.82e+02    1.69e+02      5.75e+02    6.77e+01    1.0e-03
   1900      2.45e+03    2.33e+03      2.03e+02    2.03e+02      6.58e+01    6.19e+01    1.0e-03
   2000      3.50e+04    2.40e+03      2.57e+02    2.34e+02      1.10e+03    6.05e+01    1.0e-03
   2100      5.03e+03    2.36e+03      2.03e+02    1.99e+02      1.53e+02    6.35e+01    1.0e-03
   2200      2.26e+03    4.86e+04      2.01e+02    2.32e+02      5.96e+01    1.54e+03    1.0e-03
   2300      2.65e+03    4.97e+04      2.00e+02    2.28e+02      7.40e+01    1.57e+03    1.0e-03
   2400      1.85e+04    2.74e+03      2.48e+02    2.34e+02      5.75e+02    7.33e+01    1.0e-03
   2500      3.30e+03    5.13e+03      2.47e+02    2.50e+02      9.04e+01    1.55e+02    1.0e-03
   2600      3.72e+03    5.18e+03      2.67e+02    2.67e+02      1.04e+02    1.55e+02    1.0e-03
