# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   2700      4.39e+03    2.56e+03      2.52e+02    2.50e+02      1.28e+02    6.41e+01    1.0e-03
   2800      1.74e+04    3.16e+03      2.52e+02    2.42e+02      5.42e+02    8.77e+01    1.0e-03
   2900      1.73e+04    3.03e+03      3.36e+02    3.24e+02      5.29e+02    7.14e+01    1.0e-03
   3000      1.95e+04    5.54e+03      3.42e+02    3.36e+02      6.05e+02    1.62e+02    1.0e-03
   3100      4.53e+03    2.87e+03      3.25e+02    3.23e+02      1.23e+02    6.49e+01    1.0e-03
   3200      2.95e+03    5.05e+04      3.16e+02    3.45e+02      6.95e+01    1.59e+03    1.0e-03
   3300      1.85e+04    3.08e+03      3.39e+02    3.31e+02      5.67e+02    7.24e+01    1.0e-03
   3400      2.97e+03    4.43e+03      3.26e+02    3.32e+02      6.81e+01    1.24e+02    1.0e-03
   3500      4.10e+03    2.67e+03      3.11e+02    3.09e+02      1.13e+02    5.87e+01    1.0e-03
   3600      3.43e+04    5.02e+04      3.40e+02    3.51e+02      1.07e+03    1.59e+03    1.0e-03
   3700      2.87e+03    4.97e+04      3.00e+02    3.22e+02      6.87e+01    1.57e+03    1.0e-03
   3800      3.33e+03    2.81e+03      2.82e+02    2.81e+02      8.74e+01    6.95e+01    1.0e-03
   3900      3.70e+03    4.48e+03      2.40e+02    2.41e+02      1.06e+02    1.33e+02    1.0e-03
   4000      1.89e+04    2.90e+03      3.08e+02    3.00e+02      5.86e+02    7.01e+01    1.0e-03
   4100      3.66e+03    2.93e+03      3.13e+02    3.11e+02      9.53e+01    6.97e+01    1.0e-03
   4200      4.50e+03    2.76e+03      3.32e+02    3.26e+02      1.23e+02    5.92e+01    1.0e-03
   4300      2.81e+03    5.36e+03      3.16e+02    3.21e+02      6.37e+01    1.57e+02    1.0e-03
   4400      2.84e+03    2.36e+03      6.45e+01    6.58e+01      8.90e+01    7.34e+01    1.0e-03
   4500      1.89e+04    2.14e+03      4.39e+01    5.41e+01      5.97e+02    6.70e+01    1.0e-03
   4600      2.95e+03    2.17e+03      4.25e+01    4.37e+01      9.29e+01    6.82e+01    1.0e-03
   4700      1.93e+03    2.47e+03      4.38e+01    4.41e+01      6.05e+01    7.76e+01    1.0e-03
   4800      3.80e+03    2.63e+03      2.14e+01    2.29e+01      1.20e+02    8.30e+01    1.0e-03
   4900      1.84e+04    2.11e+03      1.40e+01    1.01e+01      5.83e+02    6.66e+01    1.0e-03
   5000      2.23e+03    2.65e+03      6.16e+00    4.58e+00      7.04e+01    8.37e+01    1.0e-03
   5100      1.44e+04    3.90e+04      1.18e+01    3.03e+01      5.88e+02    1.59e+03    6.0e-04
   5200      1.41e+04    1.33e+03      1.16e+01    5.58e-01      5.76e+02    5.45e+01    6.0e-04
   5300      1.38e+03    1.25e+03      1.97e+00    1.57e+00      5.65e+01    5.09e+01    6.0e-04
   5400      1.38e+04    1.45e+03      1.48e+01    4.59e+00      5.64e+02    5.94e+01    6.0e-04
   5500      1.41e+04    1.62e+03      1.84e+01    9.64e+00      5.75e+02    6.61e+01    6.0e-04
   5600      1.77e+03    1.43e+03      9.63e+00    8.02e+00      7.23e+01    5.83e+01    6.0e-04
   5700      1.42e+04    3.86e+04      1.98e+01    3.64e+01      5.81e+02    1.58e+03    6.0e-04
   5800      1.95e+03    1.36e+03      9.77e+00    7.81e+00      7.97e+01    5.54e+01    6.0e-04
   5900      1.84e+03    1.85e+03      1.48e+01    1.42e+01      7.46e+01    7.52e+01    6.0e-04
   6000      2.30e+03    1.60e+03      1.32e+01    1.11e+01      9.35e+01    6.53e+01    6.0e-04
   6100      1.47e+03    1.60e+03      1.46e+01    1.50e+01      5.96e+01    6.49e+01    6.0e-04
   6200      1.41e+04    1.26e+03      2.29e+01    1.37e+01      5.77e+02    5.08e+01    6.0e-04
   6300      1.30e+03    1.31e+03      1.59e+01    1.58e+01      5.25e+01    5.27e+01    6.0e-04
   6400      2.05e+03    1.39e+03      1.92e+01    1.53e+01      8.31e+01    5.60e+01    6.0e-04
   6500      1.38e+03    3.90e+04      1.44e+01    4.27e+01      5.60e+01    1.60e+03    6.0e-04
   6600      1.30e+03    1.21e+03      1.20e+01    1.20e+01      5.28e+01    4.92e+01    6.0e-04
   6700      2.66e+04    2.24e+03      3.26e+01    1.83e+01      1.09e+03    9.08e+01    6.0e-04
   6800      1.83e+03    1.28e+03      1.83e+01    1.62e+01      7.39e+01    5.15e+01    6.0e-04
   6900      1.42e+03    1.44e+03      1.41e+01    1.37e+01      5.75e+01    5.85e+01    6.0e-04
   7000      1.41e+04    1.55e+03      2.66e+01    1.73e+01      5.77e+02    6.28e+01    6.0e-04
   7100      1.44e+03    3.17e+03      1.85e+01    2.24e+01      5.78e+01    1.29e+02    6.0e-04
   7200      1.70e+03    2.40e+03      1.39e+01    1.57e+01      6.90e+01    9.78e+01    6.0e-04
   7300      1.41e+04    2.32e+03      2.32e+01    1.62e+01      5.76e+02    9.43e+01    6.0e-04
   7400      1.98e+03    3.93e+04      1.70e+01    3.96e+01      8.03e+01    1.60e+03    6.0e-04
   7500      1.39e+04    1.29e+03      2.29e+01    1.54e+01      5.66e+02    5.20e+01    6.0e-04
   7600      1.53e+03    1.27e+03      1.50e+01    1.36e+01      6.21e+01    5.12e+01    6.0e-04
   7700      1.48e+03    1.40e+03      1.28e+01    1.24e+01      6.02e+01    5.69e+01    6.0e-04
   7800      1.80e+03    2.44e+03      1.32e+01    1.49e+01      7.31e+01    9.95e+01    6.0e-04
   7900      1.49e+04    1.65e+03      2.69e+01    1.72e+01      6.09e+02    6.69e+01    6.0e-04
   8000      1.50e+03    3.86e+04      2.88e+01    5.46e+01      5.94e+01    1.58e+03    6.0e-04
   8100      1.40e+04    1.42e+03      3.01e+01    2.15e+01      5.72e+02    5.66e+01    6.0e-04
   8200      1.70e+03    1.61e+03      1.83e+01    1.86e+01      6.89e+01    6.52e+01    6.0e-04
   8300      1.59e+03    1.19e+03      1.42e+01    1.25e+01      6.43e+01    4.79e+01    6.0e-04
   8400      1.39e+04    1.44e+03      1.68e+01    1.07e+01      5.68e+02    5.84e+01    6.0e-04
   8500      1.38e+04    1.32e+03      1.29e+01    5.84e+00      5.64e+02    5.38e+01    6.0e-04
   8600      1.37e+03    1.31e+03      5.26e+00    3.92e+00      5.58e+01    5.36e+01    6.0e-04
   8700      1.41e+03    1.41e+03      3.46e+00    2.47e+00      5.75e+01    5.76e+01    6.0e-04
   8800      1.25e+03    1.19e+03      2.02e-01    2.88e-01      5.13e+01    4.86e+01    6.0e-04
   8900      1.24e+03    1.36e+03      3.70e-01    1.06e+00      5.08e+01    5.56e+01    6.0e-04
   9000      2.63e+04    1.25e+03      1.33e+01    1.24e+00      1.08e+03    5.11e+01    6.0e-04
   9100      1.36e+03    1.26e+03      2.15e-01    6.10e-01      5.56e+01    5.16e+01    6.0e-04
   9200      1.33e+03    1.33e+03      1.42e+00    1.16e+00      5.41e+01    5.43e+01    6.0e-04
   9300      1.11e+03    3.88e+04      2.91e+00    1.76e+01      4.53e+01    1.59e+03    6.0e-04
   9400      1.41e+03    1.22e+03      8.56e-01    2.39e+00      5.76e+01    4.98e+01    6.0e-04
   9500      1.37e+04    3.88e+04      7.40e+00    1.87e+01      5.59e+02    1.59e+03    6.0e-04
   9600      1.20e+03    1.57e+03      3.89e+00    2.48e+00      4.90e+01    6.41e+01    6.0e-04
   9700      2.09e+03    1.28e+03      1.34e+00    1.51e+00      8.56e+01    5.24e+01    6.0e-04
   9800      1.28e+03    1.12e+03      1.15e+01    1.19e+01      5.20e+01    4.53e+01    6.0e-04
   9900      2.22e+03    1.36e+03      1.48e+01    1.28e+01      9.03e+01    5.51e+01    6.0e-04
  10000      1.40e+04    1.44e+03      2.10e+01    1.22e+01      5.74e+02    5.86e+01    6.0e-04
  10100      1.08e+04    8.75e+02      1.89e+01    8.35e+00      5.70e+02    4.56e+01    3.6e-04
  10200      1.08e+04    1.64e+03      1.45e+01    1.01e+01      5.69e+02    8.61e+01    3.6e-04
  10300      1.09e+04    3.05e+04      1.43e+01    3.08e+01      5.73e+02    1.61e+03    3.6e-04
  10400      9.44e+02    1.04e+03      2.09e+00    2.79e+00      4.98e+01    5.47e+01    3.6e-04
  10500      9.20e+02    1.32e+03      1.62e-01    4.24e+00      4.85e+01    6.98e+01    3.6e-04
  10600      1.08e+04    1.02e+03      1.09e+01    1.25e+00      5.67e+02    5.38e+01    3.6e-04
  10700      9.59e+02    3.00e+04      1.19e+00    2.46e+01      5.06e+01    1.59e+03    3.6e-04
  10800      9.58e+02    8.64e+02      2.42e+00    3.20e+00      5.05e+01    4.55e+01    3.6e-04
  10900      9.28e+02    8.57e+02      3.05e+00    3.48e+00      4.89e+01    4.51e+01    3.6e-04
  11000      1.07e+04    9.59e+02      8.76e+00    2.29e+00      5.63e+02    5.06e+01    3.6e-04
  11100      8.70e+02    3.00e+04      3.02e+00    2.20e+01      4.58e+01    1.59e+03    3.6e-04
  11200      1.01e+03    9.58e+02      1.93e+00    3.42e+00      5.32e+01    5.04e+01    3.6e-04
  11300      9.30e+02    9.69e+02      2.25e+00    2.41e+00      4.90e+01    5.11e+01    3.6e-04
  11400      8.67e+02    1.07e+03      3.41e+00    3.57e-01      4.57e+01    5.65e+01    3.6e-04
  11500      9.76e+02    1.06e+03      2.69e+00    5.93e-01      5.14e+01    5.60e+01    3.6e-04
  11600      2.03e+04    8.74e+02      1.59e+01    2.42e+00      1.07e+03    4.61e+01    3.6e-04
  11700      9.21e+02    8.90e+02      3.26e+00    3.84e+00      4.85e+01    4.69e+01    3.6e-04
  11800      1.10e+04    1.71e+03      1.03e+01    5.13e+00      5.78e+02    9.02e+01    3.6e-04
  11900      8.53e+02    8.95e+02      1.08e+00    1.19e+00      4.50e+01    4.72e+01    3.6e-04
  12000      9.06e+02    8.84e+02      8.86e-01    6.65e-01      4.78e+01    4.66e+01    3.6e-04
  12100      9.09e+02    9.39e+02      1.76e+00    1.41e+00      4.80e+01    4.95e+01    3.6e-04
  12200      8.13e+02    9.20e+02      3.32e+00    4.10e+00      4.28e+01    4.84e+01    3.6e-04
  12300      2.04e+04    9.94e+02      1.34e+01    8.49e-01      1.07e+03    5.25e+01    3.6e-04
  12400      8.72e+02    3.00e+04      3.30e+00    2.00e+01      4.59e+01    1.58e+03    3.6e-04
  12500      8.75e+02    8.75e+02      3.43e+00    4.46e+00      4.61e+01    4.60e+01    3.6e-04
  12600      8.55e+02    9.68e+02      2.68e+00    5.90e-02      4.51e+01    5.11e+01    3.6e-04
  12700      1.06e+04    8.51e+02      8.90e+00    4.00e+00      5.58e+02    4.48e+01    3.6e-04
  12800      2.03e+04    8.47e+02      1.35e+01    3.07e+00      1.07e+03    4.46e+01    3.6e-04
  12900      8.02e+02    1.21e+03      2.78e+00    5.30e+00      4.23e+01    6.36e+01    3.6e-04
  13000      2.48e+03    9.93e+02      8.21e+00    6.39e+00      1.31e+02    5.21e+01    3.6e-04
  13100      8.25e+02    1.04e+03      6.11e+00    6.45e+00      4.32e+01    5.47e+01    3.6e-04
  13200      1.06e+03    8.62e+02      2.77e+00    2.11e+00      5.61e+01    4.55e+01    3.6e-04
  13300      1.06e+04    7.51e+02      7.32e+00    5.79e-02      5.57e+02    3.96e+01    3.6e-04
  13400      8.83e+02    8.35e+02      4.96e+00    5.37e+00      4.64e+01    4.38e+01    3.6e-04
  13500      8.86e+02    8.33e+02      4.05e-01    4.81e-01      4.67e+01    4.40e+01    3.6e-04
  13600      8.97e+02    9.03e+02      1.61e+00    1.98e+00      4.73e+01    4.76e+01    3.6e-04
  13700      8.75e+02    8.67e+02      1.35e+00    1.35e+00      4.62e+01    4.57e+01    3.6e-04
  13800      1.06e+04    9.10e+02      6.12e+00    3.08e-01      5.61e+02    4.80e+01    3.6e-04
  13900      8.95e+02    7.25e+02      7.51e+00    7.35e+00      4.68e+01    3.78e+01    3.6e-04
  14000      1.05e+04    8.84e+02      7.73e+00    2.37e+00      5.56e+02    4.66e+01    3.6e-04
  14100      1.05e+04    1.92e+03      1.43e+01    1.23e+01      5.55e+02    1.01e+02    3.6e-04
  14200      1.07e+03    9.28e+02      1.17e+00    8.90e-02      5.65e+01    4.90e+01    3.6e-04
  14300      1.10e+03    8.72e+02      1.04e+00    2.66e+00      5.79e+01    4.60e+01    3.6e-04
  14400      1.06e+04    7.60e+02      6.89e+00    1.43e+00      5.57e+02    4.01e+01    3.6e-04
  14500      1.05e+04    8.44e+02      5.74e+00    2.80e+00      5.57e+02    4.45e+01    3.6e-04
  14600      8.39e+02    7.45e+02      2.23e-01    6.70e-02      4.43e+01    3.93e+01    3.6e-04
  14700      8.40e+02    7.67e+02      1.96e-01    2.75e-01      4.43e+01    4.05e+01    3.6e-04
  14800      8.64e+02    9.04e+02      4.04e+00    3.44e+00      4.55e+01    4.76e+01    3.6e-04
  14900      9.65e+02    3.00e+04      6.11e+00    1.53e+01      5.06e+01    1.58e+03    3.6e-04
  15000      8.41e+02    7.98e+02      3.28e+00    4.16e+00      4.43e+01    4.20e+01    3.6e-04
  15100      1.54e+04    7.32e+02      1.09e+01    4.02e+00      1.05e+03    4.96e+01    2.1e-04
  15200      7.30e+02    6.59e+02      1.53e+00    1.60e+00      4.97e+01    4.49e+01    2.1e-04
  15300      6.84e+02    6.67e+02      6.18e-01    1.32e+00      4.66e+01    4.54e+01    2.1e-04
  15400      7.29e+02    6.68e+02      1.22e+01    1.23e+01      4.74e+01    4.30e+01    2.1e-04
  15500      8.20e+03    7.72e+02      8.94e+00    9.15e+00      5.58e+02    5.14e+01    2.1e-04
  15600      6.90e+02    7.25e+02      4.31e+00    4.53e+00      4.67e+01    4.91e+01    2.1e-04
  15700      8.15e+03    2.30e+04      7.64e+00    9.17e+00      5.55e+02    1.57e+03    2.1e-04
  15800      9.57e+02    1.02e+03      1.46e+01    1.57e+01      6.27e+01    6.72e+01    2.1e-04
  15900      7.07e+02    6.21e+02      3.79e+00    4.26e+00      4.79e+01    4.20e+01    2.1e-04
  16000      8.27e+03    7.92e+02      9.20e+00    7.31e+00      5.62e+02    5.32e+01    2.1e-04
  16100      6.58e+02    6.25e+02      2.32e+00    1.74e+00      4.47e+01    4.25e+01    2.1e-04
  16200      8.25e+03    7.06e+02      1.06e+01    1.26e+01      5.60e+02    4.56e+01    2.1e-04
  16300      8.76e+02    7.86e+02      1.21e+00    4.71e-01      5.96e+01    5.35e+01    2.1e-04
  16400      8.57e+02    7.53e+02      6.47e+00    4.94e+00      5.78e+01    5.10e+01    2.1e-04
  16500      8.06e+03    7.92e+02      1.01e+01    1.17e+01      5.47e+02    5.21e+01    2.1e-04
  16600      6.99e+02    7.34e+02      5.18e+00    4.90e+00      4.72e+01    4.96e+01    2.1e-04
  16700      7.90e+02    8.55e+02      5.01e+00    1.54e+00      5.35e+01    5.82e+01    2.1e-04
  16800      7.94e+02    8.21e+02      7.96e+00    1.07e+01      5.32e+01    5.44e+01    2.1e-04
  16900      7.99e+03    6.95e+02      5.98e+00    1.01e+00      5.44e+02    4.74e+01    2.1e-04
  17000      8.56e+02    8.47e+02      1.41e+01    1.36e+01      5.58e+01    5.53e+01    2.1e-04
  17100      8.11e+02    1.05e+03      1.01e+01    9.70e+00      5.39e+01    7.04e+01    2.1e-04
  17200      8.11e+03    2.29e+04      8.08e+00    1.83e+01      5.52e+02    1.56e+03    2.1e-04
  17300      6.78e+02    7.49e+02      8.25e-01    1.81e+00      4.62e+01    5.10e+01    2.1e-04
  17400      1.54e+04    7.34e+02      8.93e+00    2.69e+00      1.05e+03    4.99e+01    2.1e-04
  17500      6.00e+02    6.61e+02      3.81e-01    6.99e-01      4.08e+01    4.50e+01    2.1e-04
  17600      7.75e+02    7.06e+02      7.90e+00    7.90e+00      5.20e+01    4.72e+01    2.1e-04
  17700      8.08e+03    6.86e+02      6.64e+00    4.51e+00      5.50e+02    4.64e+01    2.1e-04
  17800      9.69e+02    1.02e+03      9.66e+00    9.64e+00      6.50e+01    6.84e+01    2.1e-04
  17900      1.01e+03    9.88e+02      1.19e+01    1.28e+01      6.73e+01    6.55e+01    2.1e-04
  18000      6.01e+02    2.28e+04      1.04e+00    1.77e+01      4.09e+01    1.55e+03    2.1e-04
  18100      8.15e+03    6.76e+02      8.10e+00    2.55e+00      5.55e+02    4.59e+01    2.1e-04
  18200      1.01e+03    8.83e+02      6.82e+00    5.98e+00      6.80e+01    5.98e+01    2.1e-04
  18300      9.12e+02    1.07e+03      8.15e+00    7.43e+00      6.13e+01    7.25e+01    2.1e-04
  18400      8.15e+03    9.50e+02      6.45e+00    2.44e+00      5.55e+02    6.46e+01    2.1e-04
  18500      8.11e+02    6.62e+02      1.00e+01    1.05e+01      5.39e+01    4.33e+01    2.1e-04
  18600      8.62e+02    9.66e+02      5.24e+00    6.45e+00      5.84e+01    6.54e+01    2.1e-04
  18700      9.03e+02    1.03e+03      4.67e+00    4.00e+00      6.12e+01    7.03e+01    2.1e-04
  18800      8.16e+03    6.91e+02      8.86e+00    3.30e+00      5.56e+02    4.69e+01    2.1e-04
  18900      7.85e+03    1.61e+03      7.52e+00    3.48e+00      5.34e+02    1.10e+02    2.1e-04
  19000      1.08e+03    1.54e+03      3.80e+00    4.88e+00      7.32e+01    1.04e+02    2.1e-04
  19100      7.02e+02    8.24e+02      2.91e+00    1.94e+00      4.77e+01    5.61e+01    2.1e-04
  19200      1.27e+03    1.30e+03      2.71e+00    5.27e+00      8.63e+01    8.82e+01    2.1e-04
  19300      8.35e+03    2.37e+04      6.08e+00    1.63e+01      5.69e+02    1.61e+03    2.1e-04
  19400      1.55e+04    2.30e+04      9.08e+00    1.31e+01      1.06e+03    1.56e+03    2.1e-04
  19500      9.97e+02    1.04e+03      1.67e+00    7.83e-01      6.79e+01    7.08e+01    2.1e-04
  19600      1.24e+03    1.12e+03      6.80e+00    6.54e+00      8.39e+01    7.57e+01    2.1e-04
  19700      6.57e+02    5.62e+02      3.13e-01    3.24e-01      4.48e+01    3.83e+01    2.1e-04
  19800      1.06e+03    1.11e+03      5.65e+00    5.61e+00      7.22e+01    7.51e+01    2.1e-04
  19900      9.23e+02    9.28e+02      1.68e+00    1.42e+00      6.29e+01    6.32e+01    2.1e-04
  20000      5.02e+03    1.46e+04      6.70e+00    8.35e+00      3.42e+02    9.95e+02    2.1e-04
  20100      8.28e+02    7.85e+02      4.32e-01    1.84e-01      7.28e+01    6.90e+01    1.3e-04
  20200      6.92e+02    7.06e+02      1.62e+00    6.00e-01      6.08e+01    6.21e+01    1.3e-04
  20300      5.62e+02    5.35e+02      1.56e+00    2.19e+00      4.93e+01    4.69e+01    1.3e-04
  20400      5.35e+02    5.39e+02      1.65e+00    2.54e+00      4.69e+01    4.72e+01    1.3e-04
  20500      1.08e+03    4.52e+02      1.17e+01    4.16e-02      9.32e+01    3.97e+01    1.3e-04
  20600      5.05e+02    5.24e+02      3.35e+00    2.88e+00      4.40e+01    4.58e+01    1.3e-04
  20700      4.93e+02    5.11e+02      9.52e-01    1.55e+00      4.33e+01    4.49e+01    1.3e-04
  20800      7.04e+02    4.37e+02      6.74e+00    2.37e+00      6.08e+01    3.82e+01    1.3e-04
  20900      4.65e+02    4.65e+02      1.42e+00    1.50e+00      4.08e+01    4.08e+01    1.3e-04
  21000      7.10e+02    5.00e+02      6.82e+00    2.81e+00      6.13e+01    4.37e+01    1.3e-04
  21100      4.50e+02    5.20e+02      1.44e+00    6.35e-02      3.95e+01    4.57e+01    1.3e-04
  21200      4.67e+02    4.91e+02      3.43e+00    3.67e+00      4.07e+01    4.27e+01    1.3e-04
  21300      4.84e+02    5.16e+02      2.62e+00    1.01e-01      4.23e+01    4.54e+01    1.3e-04
  21400      8.81e+02    4.52e+02      1.06e+01    2.23e+00      7.53e+01    3.96e+01    1.3e-04
  21500      4.58e+02    4.79e+02      3.06e-01    3.34e-01      4.02e+01    4.21e+01    1.3e-04
  21600      4.57e+02    4.74e+02      1.85e+00    2.07e+00      4.00e+01    4.15e+01    1.3e-04
  21700      6.69e+02    4.74e+02      6.05e+00    1.29e+00      5.75e+01    4.16e+01    1.3e-04
  21800      4.63e+02    1.08e+03      1.58e+00    1.52e+01      4.06e+01    9.20e+01    1.3e-04
  21900      4.63e+02    4.78e+02      2.74e+00    4.13e+00      4.04e+01    4.15e+01    1.3e-04
  22000      6.88e+02    4.73e+02      5.34e+00    4.30e+00      5.95e+01    4.10e+01    1.3e-04
  22100      4.76e+02    4.72e+02      5.24e+00    4.64e+00      4.09e+01    4.08e+01    1.3e-04
  22200      4.30e+02    4.62e+02      2.68e+00    2.66e+00      3.75e+01    4.04e+01    1.3e-04
  22300      4.53e+02    4.39e+02      3.01e+00    2.80e+00      3.95e+01    3.83e+01    1.3e-04
  22400      6.40e+02    4.62e+02      6.18e+00    2.90e+00      5.51e+01    4.04e+01    1.3e-04
  22500      4.40e+02    4.09e+02      1.22e+00    4.62e-01      3.86e+01    3.60e+01    1.3e-04
  22600      3.79e+03    1.13e+04      6.04e+00    8.52e+00      3.33e+02    9.97e+02    1.3e-04
  22700      4.97e+02    4.51e+03      9.57e-01    1.53e+01      4.37e+01    3.96e+02    1.3e-04
  22800      4.68e+02    4.17e+02      4.33e+00    2.97e+00      4.06e+01    3.63e+01    1.3e-04
  22900      6.87e+02    4.35e+02      4.89e+00    1.57e+00      5.95e+01    3.82e+01    1.3e-04
  23000      4.66e+02    1.06e+03      4.89e+00    1.14e+01      4.02e+01    9.09e+01    1.3e-04
  23100      4.44e+02    4.86e+02      3.31e+00    8.54e-01      3.87e+01    4.27e+01    1.3e-04
  23200      4.62e+02    4.51e+02      1.90e+00    2.26e+00      4.05e+01    3.95e+01    1.3e-04
  23300      6.64e+02    4.30e+02      6.07e+00    3.29e+00      5.75e+01    3.74e+01    1.3e-04
  23400      4.20e+02    1.00e+03      3.61e+00    1.20e+01      3.65e+01    8.59e+01    1.3e-04
  23500      6.24e+02    4.80e+02      5.19e+00    1.62e+00      5.37e+01    4.21e+01    1.3e-04
  23600      4.45e+02    4.17e+02      1.23e+00    1.27e+00      3.91e+01    3.66e+01    1.3e-04
  23700      4.41e+02    4.74e+02      1.17e+00    2.03e+00      3.87e+01    4.15e+01    1.3e-04
  23800      4.25e+02    4.17e+02      1.02e+00    1.50e+00      3.73e+01    3.66e+01    1.3e-04
  23900      5.95e+02    4.41e+02      5.04e+00    2.22e+00      5.14e+01    3.86e+01    1.3e-04
  24000      4.33e+02    4.11e+02      2.56e+00    2.30e+00      3.78e+01    3.59e+01    1.3e-04
  24100      6.66e+02    4.35e+02      5.19e+00    2.17e+00      5.77e+01    3.80e+01    1.3e-04
  24200      9.71e+02    4.23e+02      5.49e+00    5.51e-01      8.48e+01    3.71e+01    1.3e-04
  24300      4.62e+02    7.75e+02      3.45e+00    4.80e+00      4.02e+01    6.77e+01    1.3e-04
  24400      4.95e+02    5.22e+02      8.71e-01    1.80e-01      4.35e+01    4.59e+01    1.3e-04
  24500      4.83e+02    4.46e+02      2.82e+00    2.45e+00      4.22e+01    3.90e+01    1.3e-04
  24600      1.94e+03    4.30e+02      6.00e+00    1.26e+00      1.70e+02    3.77e+01    1.3e-04
  24700      4.55e+02    4.21e+02      1.40e+00    7.05e-01      3.99e+01    3.70e+01    1.3e-04
  24800      4.27e+02    4.41e+02      2.51e-01    4.42e-01      3.76e+01    3.88e+01    1.3e-04
  24900      4.23e+02    4.26e+02      1.41e+00    7.43e-01      3.71e+01    3.75e+01    1.3e-04
  25000      5.75e+02    4.01e+02      5.45e+00    1.27e+00      4.95e+01    3.52e+01    1.3e-04
  25100      5.74e+02    3.11e+02      9.64e+00    2.02e-01      6.11e+01    3.53e+01    7.7e-05
  25200      3.29e+02    3.58e+02      1.95e+00    5.06e-01      3.69e+01    4.06e+01    7.7e-05
  25300      3.17e+02    3.34e+02      2.94e+00    2.98e+00      3.54e+01    3.73e+01    7.7e-05
  25400      3.48e+02    3.11e+02      3.70e+00    3.41e+00      3.85e+01    3.45e+01    7.7e-05
  25500      3.22e+02    3.09e+02      1.16e+00    2.03e+00      3.63e+01    3.48e+01    7.7e-05
  25600      3.33e+02    3.22e+02      1.04e+00    9.54e-01      3.76e+01    3.64e+01    7.7e-05
  25700      4.37e+02    3.07e+02      5.07e+00    6.76e-01      4.75e+01    3.47e+01    7.7e-05
  25800      3.17e+02    3.56e+02      4.26e+00    1.99e+00      3.47e+01    4.01e+01    7.7e-05
  25900      3.21e+02    6.99e+02      1.02e+00    1.53e+01      3.63e+01    7.21e+01    7.7e-05
  26000      4.29e+02    3.50e+02      4.88e+00    6.95e-01      4.68e+01    3.96e+01    7.7e-05
