# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      7.47e+00    6.67e+00      6.33e-03    5.93e-02      3.05e-01    2.70e-01    6.0e-04
   6000      9.53e+00    9.58e+00      7.11e-02    5.19e-02      3.87e-01    3.90e-01    6.0e-04
   6100      6.47e+00    6.27e+00      8.10e-02    2.74e-02      2.61e-01    2.56e-01    6.0e-04
   6200      6.19e+00    6.57e+00      1.19e-01    2.54e-02      2.44e-01    2.68e-01    6.0e-04
   6300      6.39e+00    7.57e+00      4.39e-02    8.53e-02      2.60e-01    3.06e-01    6.0e-04
   6400      7.44e+00    8.02e+00      5.95e-02    5.89e-03      3.02e-01    3.28e-01    6.0e-04
   6500      6.56e+00    6.29e+00      1.33e-01    1.55e-01      2.58e-01    2.43e-01    6.0e-04
   6600      6.37e+00    9.44e+00      3.44e-03    2.79e-03      2.60e-01    3.86e-01    6.0e-04
   6700      5.94e+00    9.05e+00      3.79e-03    1.63e-01      2.43e-01    3.59e-01    6.0e-04
   6800      9.26e+00    9.20e+00      2.79e-02    8.13e-02      3.78e-01    3.73e-01    6.0e-04
   6900      8.12e+00    9.35e+00      7.06e-02    2.78e-02      3.29e-01    3.82e-01    6.0e-04
   7000      8.22e+00    1.14e+01      9.39e-02    6.26e-02      3.32e-01    4.65e-01    6.0e-04
   7100      6.01e+00    6.10e+00      1.59e-02    6.77e-02      2.45e-01    2.46e-01    6.0e-04
   7200      6.19e+00    6.60e+00      1.07e-01    7.98e-02      2.46e-01    2.66e-01    6.0e-04
   7300      7.99e+00    7.54e+00      2.25e-02    4.97e-02      3.26e-01    3.07e-01    6.0e-04
   7400      6.11e+00    5.98e+00      1.38e-01    1.33e-02      2.38e-01    2.44e-01    6.0e-04
   7500      6.86e+00    5.52e+00      7.95e-02    7.01e-02      2.77e-01    2.22e-01    6.0e-04
   7600      5.67e+00    1.16e+01      5.45e-03    6.52e-02      2.32e-01    4.72e-01    6.0e-04
